District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,131,617,132.00,618.00,133.00,514.00
2,Barishal,510,1885,465.00,2433.00,472.40,1761.40
3,Bhola,279,1080,283.00,1170.00,295.25,1213.34
4,Jhallokati,395,2250,399.00,2266.00,410.00,2290.00
5,Patuakhali,472,1699,472.00,1699.00,476.45,1662.10
6,Pirojpur,692,3410,705.00,3468.00,712.00,3505.00
Barishal Division,None,2479,10941,2456.00,11654.00,2499.10,10945.84
7,Bandarban,776,3751.55,781.00,3791.04,784.00,3800.00
8,Brahmanbaria,131.40,377.81,137.15,393.17,140.41,417.16
9,Chandpur,235.84,1009.28,228.33,944.94,228.44,973.83
10,Chattogram,481.60,2563.68,484.00,2594.20,478.67,2638.60
11,Cumilla,226,1066.62,224.87,1063.43,233.80,1072.30
12,Cox’s Bazar,255.46,1076.25,246.65,1235.34,240.78,1229.15
13,Feni,222.85,602.92,223.20,945.00,224.20,1085.85
14,Khagrachari,1294.34,5459.11,1332.00,5630.00,1357.00,5840.00
15,Lakshmipur,431,4938.81,823.20,2232.50,823.00,2251.00
16,Noakhali,328.93,1290.60,334.23,1344.00,354.54,1459.75
17,Rangamati,1040.45,5702.32,1076.80,6019.67,1066.80,6001.92
Chattogram Division,None,5423.87,27838.95,5891.43,26193.29,5931.64,26769.56
18,Dhaka,343,1800.17,330.60,1704.62,317.32,1593.32
19,Faridpur,207.10,628.63,230.20,895.32,261.18,1023.53
20,Gazipur,443.50,2310.52,354.13,1819.95,315.58,1572.34
21,Gopalganj,760.50,5221.48,769.70,5294.19,779.75,5360.57
22,Kishoreganj,184.14,2574.09,168.90,2339.67,173.85,2390.11
23,Madaripur,164.27,871.50,168.19,912.91,181.33,1017.61
24,Manikganj,433.26,1231.28,430.95,1346.07,328.05,1235.00
25,Munshiganj,156.95,595.75,161.41,645.44,162.66,684.12
26,Narayanganj,127.97,541.42,119.09,497.71,112.26,463.84
27,Narsingdi,99.04,585.66,101.71,591.65,104.64,640.44
28,Rajbari,1114,11565,1056.00,11263.00,1088.00,11573.50
29,Shariatpur,262,1853,271.00,1950.00,295.00,2246.00
30,Tangail,451.35,2372.53,489.09,2730.90,484.83,2774.40
Dhaka Division,None,4747.08,32151.03,4650.97,31991.43,4604.45,32574.78
31,Bagerhat,637,1978,562.26,1768.15,539.80,1741.32
32,Chuadanga,685,5261,689.00,4991.60,561.00,2862.40
33,Jashore,1290,8577,1301.50,8749.00,1310.50,8813.94
34,Jhenaidah,3280,21041,3311.00,21196.14,3405.08,21650.68
35,Khulna,872,4590,889.40,4715.14,885.55,4745.41
36,Kushtia,598,6115,596.00,6121.00,387.00,4748.00
37,Magura,286,1960,297.00,2422.00,301.74,2462.52
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,352,5446,371.00,5778.12,363.00,5634.89
39,Narail,348,2203,354.00,2302.77,356.00,2324.80
40,Satkhira,1192,7765,1201.73,7832.43,1199.90,7857.16
Khulna Division,None,9540,64936,9572.89,65876.35,9309.57,62841.12
41,Jamalpur,227,911,241.00,971.00,247.00,1010.00
42,Mymensingh,389,2420,397.00,2490.00,417.00,2585.00
43,Netrokona,143,733,122.00,604.00,128.00,640.00
44,Sherpur,266,1642,265.00,1633.00,267.00,1659.00
Mymensingh Division,None,1025,5706,1025.00,5698.00,1059.00,5894.00
45,Bogura,210.16,1768.25,193.49,1691.27,191.85,1654.06
46,Joypurhat,117.97,703.45,126.31,774.50,133.91,879.62
47,Naogaon,666.25,5452.59,688.85,4227.53,694.79,4197.22
48,Natore,467.95,7268.97,640.15,10365.00,517.10,9476.10
49,Chapai Nawabganj,240.22,1544.03,247.50,2092.84,238.40,2058.03
50,Pabna,695.27,6011.28,687.43,6005.02,688.99,6757.47
51,Rajshahi,722.68,8150.27,708.64,7739.22,725.95,8107.21
52,Sirajganj,273.27,1486.12,278.78,1544.39,272.98,1727.41
Rajshahi Division,None,3393.77,32384.96,3571.15,34439.77,3463.97,34857.12
53,Dinajpur,189,862,196.00,872.00,194.00,1030.00
54,Gaibandha,287,1748,296.56,1822.75,287.00,1741.00
55,Kurigram,217,1368,238.00,1511.31,237.00,1569.00
56,Lalmonirhat,211,938,208.00,931.41,213.00,1328.00
57,Nilphamari,153,889,155.40,913.96,160.00,976.00
58,Panchagar,155,629,148.00,602.10,140.00,583.00
59,Rangpur,199,906,198.00,899.00,200.00,1052.00
60,Thakurgaon,141,449,144.00,465.90,151.00,484.00
Rangpur Divison,None,1552,7789,1583.96,8018.43,1582.00,8763.00
61,Habiganj,111.37,403.87,115.62,411.20,129.12,514.75
62,Moulvibazar,130.17,452.98,135.00,467.58,140.62,480.86
63,Sunamganj,10,36,10.00,38.00,12.00,38.00
64,Sylhet,228,799,234.00,866.00,226.00,836.00
Sylhet Division,None,479.54,1691.85,494.62,1782.78,507.74,1869.61
BANGLADESH,None,28640.26,183438.79,29246.023,185654.05,28957.47,184515.03
