District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,104.00,231.00,104.00,232.00,98.00,203.00
2,Barishal,253.00,526.00,262.00,590.00,273.95,565.08
3,Bhola,101.00,114.00,100.00,111.00,117.49,147.82
4,Jhallokati,66.00,79.00,67.00,78.00,69.00,79.00
5,Patuakhali,54.00,70.00,60.00,79.00,109.05,144.53
6,Pirojpur,127.00,192.00,131.00,198.00,135.00,202.00
Barishal Division,None,705.00,1212.00,724.00,1288.00,802.49,1341.43
7,Bandarban,104.00,120.10,107.00,123.53,111.13,128.09
8,Brahmanbaria,259.15,604.71,261.36,609.81,264.67,619.51
9,Chandpur,120.00,132.11,121.54,136.63,123.28,148.14
10,Chattogram,89.83,199.81,88.05,206.07,68.64,113.51
11,Cumilla,384.35,788.73,383.00,794.89,386.25,797.90
12,Cox’s Bazar,23.81,33.93,25.13,36.20,25.46,36.81
13,Feni,53.15,63.60,54.35,96.00,54.70,105.30
14,Khagrachari,234.80,423.55,243.10,439.23,248.49,453.64
15,Lakshmipur,148.70,319.00,151.80,332.42,152.50,334.17
16,Noakhali,120.37,270.81,121.80,236.69,134.49,259.29
17,Rangamati,124.80,266.16,125.55,272.10,123.42,271.38
Chattogram Division,None,1662.96,3222.51,1682.68,3283.57,1693.03,3267.74
18,Dhaka,315.11,655.88,344.60,733.55,352.36,835.66
19,Faridpur,548.00,1330.96,556.50,1368.96,558.70,1403.85
20,Gazipur,234.87,382.69,298.71,509.93,300.47,513.45
21,Gopalganj,312.90,570.73,321.70,575.04,313.85,554.16
22,Kishoreganj,251.36,635.05,261.40,667.77,256.16,655.48
23,Madaripur,164.88,319.70,173.32,335.68,154.22,304.06
24,Manikganj,100.33,259.41,115.35,265.75,125.57,349.22
25,Munshiganj,168.65,411.52,166.35,408.08,169.33,446.06
26,Narayanganj,55.75,78.19,59.71,95.04,62.33,98.92
27,Narsingdi,143.45,230.75,146.44,247.63,146.50,249.16
28,Rajbari,508.00,1730.00,514.00,1748.00,519.00,1815.25
29,Shariatpur,327.00,802.00,330.00,885.00,335.00,900.00
30,Tangail,476.90,1078.70,492.78,1120.83,492.94,1112.22
Dhaka Division,None,3607.20,8485.58,3780.86,8961.26,3786.43,9237.49
31,Bagerhat,169.87,147.27,177.90,153.34,177.40,153.60
32,Chuadanga,78.69,220.73,75.22,212.04,69.15,166.85
33,Jashore,872.00,1544.68,886.00,1576.00,875.00,1551.27
34,Jhenaidah,404.00,1378.80,415.00,1423.44,419.25,1391.80
35,Khulna,587.00,770.61,590.05,814.07,545.70,755.77
36,Kushtia,425.00,1227.00,426.00,1222.00,431.00,2017.00
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
37,Magura,96.54,161.23,99.99,169.47,96.45,219.78
38,Meherpur,80.00,387.12,84.50,413.18,88.00,434.34
39,Narail,131.00,277.82,137.80,297.26,139.80,292.03
40,Satkhira,222.54,434.95,224.18,536.36,237.87,609.10
Khulna Division,None,3066.64,6550.21,3116.64,6817.16,3079.62,7591.54
41,Jamalpur,421.00,1185.00,430.00,1361.00,439.00,1399.00
42,Mymensingh,637.00,1862.00,659.00,1908.00,664.00,1926.00
43,Netrokona,193.00,316.00,192.00,440.00,189.00,420.00
44,Sherpur,66.00,149.00,70.00,159.00,71.00,163.00
Mymensingh Division,None,1317.00,3512.00,1351.00,3868.00,1363.00,3908.00
45,Bogura,146.00,332.00,143.00,430.00,143.00,456.00
46,Joypurhat,57.00,131.00,57.00,137.00,55.00,132.00
47,Naogaon,134.00,387.00,153.00,330.00,176.00,590.00
48,Natore,287.00,552.00,287.00,615.00,295.00,646.00
49,Chapai Nawabganj,240.00,474.00,242.00,481.00,242.00,551.00
50,Pabna,359.00,971.00,357.00,1501.00,357.00,1337.00
51,Rajshahi,136.00,415.00,146.00,531.00,159.00,518.00
52,Sirajganj,172.00,524.00,179.00,656.00,225.00,714.00
Rajshahi Division,None,1531.00,3786.00,1564.00,4681.00,1652.00,4944.00
53,Dinajpur,309.00,1317.00,321.50,1364.00,324.00,1365.00
54,Gaibandha,162.00,266.00,163.43,262.07,163.00,258.00
55,Kurigram,276.00,457.00,282.20,497.56,283.00,469.00
56,Lalmonirhat,98.00,166.00,99.75,166.24,103.00,174.00
57,Nilphamari,113.00,301.00,114.69,285.54,116.00,288.00
58,Panchagar,215.00,458.00,207.00,442.51,200.00,429.00
59,Rangpur,305.00,500.00,302.00,481.00,302.00,477.00
60,Thakurgaon,180.00,295.00,184.00,311.43,189.00,322.00
Rangpur Divison,None,1658.00,3760.00,1674.57,3810.35,1680.00,3782.00
61,Habiganj,187.55,705.06,275.12,809.80,298.40,768.31
62,Moulvibazar,133.28,212.70,158.46,260.67,152.65,258.27
63,Sunamganj,100.00,313.00,103.00,323.00,96.00,300.00
64,Sylhet,230.80,405.90,238.80,605.60,231.30,515.70
Sylhet Division,None,651.63,1636.66,775.38,1999.07,778.35,1842.28
BANGLADESH,None,14199.43,32164.96,14669.13,34708.41,14834.92,35914.48
