District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0,0,0.00,0.00,0.00,0.00
2,Barishal,40.00,168.00,50.00,218.00,50.00,265.00
3,Bhola,0,0,0.00,0.00,0.00,0.00
4,Jhallokati,0,0,0.00,0.00,0.00,0.00
5,Patuakhali,0,0,0.00,0.00,0.00,0.00
6,Pirojpur,22.00,100.00,21.00,92.00,20.00,91.00
Barishal Division,None,62.00,268.00,71.00,310.00,70.00,356.00
7,Bandarban,395.00,766.10,400.00,777.66,398.90,775.16
8,Brahmanbaria,0,0,0.00,0.00,0.00,0.00
9,Chandpur,0,0,0.00,0.00,0.00,0.00
10,Chattogram,15.76,63.70,15.47,62.53,15.42,62.33
11,Cumilla,6.00,10.40,6.65,10.60,6.80,10.90
12,Cox’s Bazar,0,0,0.00,0.00,0.00,0.00
13,Feni,0,0,0.00,0.00,0.00,0.00
14,Khagrachari,395.10,1530.69,402.96,1590.19,417.27,1671.70
15,Lakshmipur,0,0,0.00,0.00,0.00,0.00
16,Noakhali,0,0,0.00,0.00,0.00,0.00
17,Rangamati,379.00,1316.52,363.64,1267.32,353.91,1217.26
Chattogram Division,None,1190.86,3687.41,1188.72,3708.30,1192.30,3737.35
18,Dhaka,0,0,0.00,0.00,0.00,0.00
19,Faridpur,191.00,833.56,180.40,849.84,182.60,847.81
20,Gazipur,58.49,307.63,62.41,282.10,63.46,284.17
21,Gopalganj,29.90,130.34,69.40,452.38,36.60,323.36
22,Kishoreganj,0,0,0.00,0.00,0.00,0.00
23,Madaripur,0,0,0.00,0.00,0.00,0.00
24,Manikganj,0,0,0.00,0.00,0.00,0.00
25,Munshiganj,0,0,0.00,0.00,0.00,0.00
26,Narayanganj,53.65,164.65,51.10,171.40,48.27,163.98
27,Narsingdi,0,0,0.00,0.00,0.00,0.00
28,Rajbari,57.00,202.00,54.00,196.00,65.50,246.25
29,Shariatpur,0,0,0.00,0.00,0.00,0.00
30,Tangail,0,0,12.35,76.04,12.70,78.04
Dhaka Division,None,390.04,1638.18,429.66,2027.76,409.13,1943.61
31,Bagerhat,35.00,69.00,33.45,69.91,35.75,76.28
32,Chuadanga,368.00,2235.00,358.00,2250.60,357.00,2362.11
33,Jashore,197.00,649.00,406.30,1957.93,429.65,2108.25
34,Jhenaidah,407.00,2190.00,417.00,2239.89,437.93,2299.00
35,Khulna,158.00,448.00,155.20,458.13,173.35,525.70
36,Kushtia,255.00,1233.00,273.00,1382.00,281.00,1751.00
37,Magura,29.00,136.00,29.54,139.33,31.68,182.97
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,114.00,918.00,120.50,971.06,135.00,1206.20
39,Narail,98.00,350.00,102.35,365.85,102.90,369.91
40,Satkhira,327.00,1679.00,325.22,1653.67,345.15,1732.53
Khulna Division,None,1988.00,9907.00,2220.56,11488.37,2329.41,12613.95
41,Jamalpur,10.00,20.00,11.00,34.00,12.00,38.00
42,Mymensingh,17.00,70.00,19.00,71.00,17.00,70.00
43,Netrokona,0,0,0.00,0.00,0.00,0.00
44,Sherpur,0,0,0.00,0.00,0.00,0.00
Mymensingh Division,None,27.00,90.00,30.00,105.00,29.00,108.00
45,Bogura,3.28,25.95,7.14,57.48,11.06,72.53
46,Joypurhat,35.82,239.26,35.87,342.14,41.68,427.98
47,Naogaon,27.90,118.98,49.35,264.69,96.26,495.85
48,Natore,57.50,336.62,59.03,392.82,57.95,387.41
49,Chapai Nawabganj,49.60,128.98,53.60,145.38,59.90,162.72
50,Pabna,69.00,268.74,64.60,333.31,74.70,538.56
51,Rajshahi,64.57,398.98,71.00,453.18,73.75,478.81
52,Sirajganj,25.31,89.03,29.95,81.08,24.17,85.52
Rajshahi Division,None,332.98,1606.54,370.54,2070.08,439.47,2649.38
53,Dinajpur,25.88,155.62,34.73,213.55,36.00,211.00
54,Gaibandha,39.00,105.90,36.00,108.40,34.00,97.00
55,Kurigram,1.89,11.64,2.31,13.96,1.00,8.00
56,Lalmonirhat,0,0,0.00,0.00,0.00,0.00
57,Nilphamari,31.25,171.19,31.12,180.29,29.00,167.00
58,Panchagar,0,0,0.00,0.00,0.00,0.00
59,Rangpur,50.00,157.00,47.00,143.00,46.00,138.00
60,Thakurgaon,25.00,24.75,27.00,27.00,25.00,25.00
Rangpur Divison,None,173.02,626.10,178.16,686.20,171.00,646.00
61,Habiganj,6.00,32.00,5.00,12.50,4.50,18.00
62,Moulvibazar,0,0,0.00,0.00,0.00,0.00
63,Sunamganj,0,0,0.00,0.00,0.00,0.00
64,Sylhet,0,0,0.00,0.00,0.00,0.00
Sylhet Division,None,6.00,32.00,5.00,12.50,4.50,18.00
BANGLADESH,None,2181.90,17855.23,2273.08,20408.21,2315.40,22072.29
