District/ Division,None,2021-22,None_1,2022-23,None_2,2022-23_1,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0,0,124.00,435.00,0.00,0.00
2,Barishal,0,0,0.00,0.00,125.00,452.00
3,Bhola,0,0,42.00,89.00,34.00,69.00
4,Jhallokati,0,0,0.00,0.00,0.00,0.00
5,Patuakhali,0,0,0.00,0.00,0.00,0.00
6,Pirojpur,0,0,0.00,0.00,0.00,0.00
Barishal Division,None,0,0,166.00,524.00,159.00,521.00
7,Bandarban,256,432.70,256.70,433.68,258.68,436.67
8,Brahmanbaria,55.50,104.21,54.70,103.40,50.55,96.83
9,Chandpur,0,0,0.00,0.00,0.00,0.00
10,Chattogram,1285.26,6637.49,1241.15,6273.90,1213.08,6173.90
11,Cumilla,55.20,175.30,56.25,178.00,57.45,179.25
12,Cox’s Bazar,84.52,436.78,84.71,422.25,85.75,363.23
13,Feni,37.15,138,37.12,141.00,37.20,153.00
14,Khagrachari,1253.40,7090.73,1361.80,7219.39,1361.50,7185.99
15,Lakshmipur,0,0,0.00,0.00,0.00,0.00
16,Noakhali,37.2,119.34,39.10,129.38,45.50,145.78
17,Rangamati,574.35,1645.60,566.90,1606.03,550.64,1590.58
Chattogram Division,None,3638.58,16780.15,3698.43,16507.03,3660.35,16325.23
18,Dhaka,2.16,6.47,4.70,18.63,5.38,19.81
19,Faridpur,171.39,791.69,175.04,796.51,179.90,815.28
20,Gazipur,170.28,457.77,138.50,402.12,139.99,409.18
21,Gopalganj,118.10,437.33,161.12,731.18,161.60,766.90
22,Kishoreganj,177.04,1088.77,178.68,1105.96,172.31,1063.75
23,Madaripur,17,72.25,25.53,112.80,26.70,117.41
24,Manikganj,0,0,0.00,0.00,0.00,0.00
25,Munshiganj,0,0,0.00,0.00,0.00,0.00
26,Narayanganj,57.10,170.85,55.85,181.80,83.98,175.06
27,Narsingdi,109.90,421.92,84.54,315.54,87.06,322.55
28,Rajbari,447.55,2493.91,462.00,2420.00,459.00,2428.99
29,Shariatpur,25,88,29.00,101.00,30.00,106.00
30,Tangail,723.80,3180.34,689.67,3046.01,670.53,2941.74
Dhaka Division,None,2019.32,9209.30,2004.63,9231.55,2016.45,9166.67
31,Bagerhat,233,864,229.25,868.76,222.50,853.32
32,Chuadanga,873,5618,882.00,6069.48,931.00,6268.02
33,Jashore,475,2178,648.50,3113.90,666.16,3238.98
34,Jhenaidah,745,3458,741.00,3415.98,742.47,3406.23
35,Khulna,262,884,243.50,670.15,239.82,657.01
36,Kushtia,1251,8494,1258.00,7977.00,1175.00,9192.00
37,Magura,86,448,96.79,524.46,94.00,510.44
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,2688,26490,2591.00,25461.41,2577.00,25400.01
39,Narail,108,544,94.80,481.02,96.50,492.51
40,Satkhira,719,3144,728.63,3192.12,744.02,3261.18
Khulna Division,None,6721,52122,7513.47,51774.28,7488.47,53279.70
41,Jamalpur,92,224,99.00,270.00,104.00,284.00
42,Mymensingh,834,3365,839.00,3422.00,836.00,3481.00
43,Netrokona,97,376,141.00,559.00,147.00,584.00
44,Sherpur,151,834,139.00,550.00,141.00,612.00
Mymensingh Division,None,1174,4799,1218.00,4801.00,1228.00,4961.00
45,Bogura,1268.63,8171.49,1306.18,8874.12,1259.83,8377.51
46,Joypurhat,234.40,1084.64,239.10,1862.95,236.36,1851.98
47,Naogaon,475.54,1670.55,473.12,2100.40,460.64,2110.72
48,Natore,379.75,1661.26,377.75,1910.98,339.50,1747.16
49,Chapai Nawabganj,108.80,299.97,107.40,313.66,101.30,312.88
50,Pabna,578,2549.08,531.90,4102.64,530.20,4141.12
51,Rajshahi,789.15,3838.32,784.54,3984.09,796.95,4257.73
52,Sirajganj,83.99,367.73,75.97,345.94,72.56,342.10
Rajshahi Division,None,3918.26,19643.04,3895.96,23494.78,3797.34,23141.20
53,Dinajpur,675,3675,675.83,3641.00,688.00,3707.00
54,Gaibandha,590,2102,580.04,2087.98,574.00,2073.00
55,Kurigram,584,2363,599.10,2445.11,601.00,2494.00
56,Lalmonirhat,208,1309,211.25,1319.06,212.00,1317.00
57,Nilphamari,476,2076,479.71,2068.50,477.00,2082.00
58,Panchagar,1443,4695,1375.00,4475.43,1370.00,4466.00
59,Rangpur,291,1254,299.00,1279.00,301.00,1291.00
60,Thakurgaon,937,2968,950.37,3019.99,939.00,2978.00
Rangpur Divison,None,5204,20442,5170.30,20336.07,5162.00,20408.00
61,Habiganj,498.83,1583.96,599.45,2138.37,614.97,2345.49
62,Moulvibazar,408.83,1228.07,414.25,1242.78,436.38,1285.52
63,Sunamganj,101,345,104.00,358.00,97.00,326.00
64,Sylhet,294.55,983.55,306.15,1139.63,311.35,1120.04
Sylhet Division,None,1303.21,4140.58,1423.85,4878.78,1459.70,5077.05
BANGLADESH,None,23978.37,122995.49,25090.64,131547.49,24971.31,132879.85
