District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,148,240,149.00,285.00,157.00,268.00
2,Barishal,420,620,448.00,568.00,472.00,625.00
3,Bhola,420,907,413.00,946.00,418.00,967.00
4,Jhallokati,362,465,370.00,431.00,365.00,464.00
5,Patuakhali,140,168,154.00,280.00,156.00,286.00
6,Pirojpur,384,442,387.00,440.00,393.00,480.00
Barishal Division,None,1874,2842,1921.00,2950.00,1961.00,3090.00
7,Bandarban,341,550.34,344.50,555.48,347.70,560.47
8,Brahmanbaria,188.94,351.70,185.84,372.19,150.51,266.82
9,Chandpur,252.74,298.95,275.19,414.64,275.72,416.26
10,Chattogram,1425.04,3525.53,1432.66,3553.02,1417.33,3566.39
11,Cumilla,593.53,1591.55,594.05,1592.78,639.98,1811.10
12,Cox’s Bazar,343.66,606.03,309.47,556.53,366.74,656.24
13,Feni,128,198,128.34,198.32,129.32,234.00
14,Khagrachari,643.80,1244.79,668.80,1325.94,687.00,1393.97
15,Lakshmipur,155,187.65,162.37,224.95,163.50,231.48
16,Noakhali,198.51,295.81,208.11,349.58,211.25,354.30
17,Rangamati,506.65,788.77,565.00,755.75,490.99,748.24
Chattogram Division,None,4776.87,9639.12,4874.33,9899.18,4880.04,10239.27
18,Dhaka,507.53,1503.08,460.63,1340.54,475.53,1513.39
19,Faridpur,324.51,394.40,334.65,919.51,368.98,949.02
20,Gazipur,333.69,343.30,332.40,495.54,338.80,513.31
21,Gopalganj,202.80,226.24,211.60,413.05,224.75,440.27
22,Kishoreganj,532.73,1379.79,548.73,1540.95,544.56,1545.01
23,Madaripur,196.09,448.86,195.31,440.30,188.79,426.19
24,Manikganj,324.13,1846.9,372.60,1628.17,386.00,1670.01
25,Munshiganj,527.70,578.83,533.20,720.54,491.69,770.09
26,Narayanganj,252.39,344.37,220.97,303.76,211.89,282.54
27,Narsingdi,531.12,1392.40,359.52,927.54,368.98,949.03
28,Rajbari,334,631,345.00,704.00,353.00,711.00
29,Shariatpur,429,975,428.80,949.00,443.00,1022.00
30,Tangail,511.37,1038.29,521.20,1153.58,528.55,1184.14
Dhaka Division,None,5007.06,11102.46,4864.61,11536.48,4924.52,11976.00
31,Bagerhat,898,1337,972.40,1447.54,991.75,1454.52
32,Chuadanga,429,870,428.00,867.82,438.00,894.00
33,Jashore,937,3025,960.00,3111.39,941.05,3102.56
34,Jhenaidah,638,1548,648.50,1572.80,654.00,1585.45
35,Khulna,278,319,277.62,311.27,285.46,322.59
36,Kushtia,380,909,380.00,838.00,326.00,1104.00
37,Magura,112,298,116.37,301.92,119.72,340.40
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,242,1034,245.60,1074.13,251.00,1113.37
39,Narail,211,617,252.00,755.60,276.00,826.42
40,Satkhira,223,614,235.48,645.81,248.16,695.07
Khulna Division,None,4348,10571,4515.97,10926.28,4531.14,11438.38
41,Jamalpur,410,838,430.00,1036.00,440.00,1057.00
42,Mymensingh,1129,2456,1182.00,4186.00,1215.00,3004.00
43,Netrokona,256,559,263.00,668.00,269.00,645.00
44,Sherpur,272,722,276.00,882.00,282.00,868.00
Mymensingh Division,None,2067,4575,2151.00,6772.00,2206.00,5574.00
45,Bogura,806.24,3736.30,808.00,4295.00,848.00,3979.00
46,Joypurhat,544.82,2601.09,552.00,4116.00,551.00,4346.00
47,Naogaon,1599.62,3837.84,1593.00,6218.00,1353.00,6507.00
48,Natore,494.50,1201.98,500.00,4157.00,512.00,4249.00
49,Chapai Nawabganj,274.06,539.64,276.00,826.00,293.00,918.00
50,Pabna,824.70,1782.74,902.00,5243.00,921.00,5539.00
51,Rajshahi,878.80,2471.51,865.00,4569.00,894.00,4805.00
52,Sirajganj,316.72,661.09,315.00,1312.00,295.00,1242.00
Rajshahi Division,None,5739.46,16832.19,5811.00,30736.00,5667.00,31585.00
53,Dinajpur,645,1240,650.10,1262.46,664.00,1298.89
54,Gaibandha,390,726,380.50,687.80,382.60,669.90
55,Kurigram,570,1004,511.00,1076.40,479.30,1101.00
56,Lalmonirhat,293,634,302.00,656.01,298.25,645.03
57,Nilphamari,295,718,290.14,703.75,296.88,686.03
58,Panchagar,452,1280,453.00,1309.29,448.00,1295.89
59,Rangpur,935,1886,932.00,1909.00,942.00,1913.00
60,Thakurgaon,476,787,478.00,792.99,486.00,808.17
Rangpur Divison,None,4056,8275,3996.74,8397.70,3997.03,8417.91
61,Habiganj,186.88,407.01,196.45,360.84,218.16,395.75
62,Moulvibazar,189.88,412.01,182.41,545.79,217.25,715.26
63,Sunamganj,166,410,163.00,404.00,161.00,399.00
64,Sylhet,350,356,368.00,565.00,370.00,1506.00
Sylhet Division,None,892.76,1585.02,909.86,1875.63,966.41,3016.01
BANGLADESH,None,28761.15,65421.79,29044.51,83093.27,29133.14,85336.57
