District/Division,None,Total Area,Net cropped area,None_1,Gross cropped area,None_2,Intensity of Cropping,None_3
None,None,None,2021-22,2022-23,2021-22,2022-23,2021-22,2022-23
1,Bandarban,1107,80,78,130,128,109,164
2,Khagrachari,679,83,82,173,170,163,207
3,Rangamati,1511,81,80,132,131,208,164
4,Chattogram,1305,423,423,866,866,163,205
5,Cox’s Bazar,616,234,234,434,434,205,185
6,Cumilla,777,510,509,1004,1002,185,197
7,Chandpur,407,230,229,359,358,197,156
8,Brahmmanbaria,465,311,310,526,527,156,170
9,Noakhali,911,337,337,711,711,169,211
10,Lakshmipur,356,237,236,521,521,211,221
11,Feni,245,133,133,289,289,220,217
1,Chattogram Division,8379,2659,2651,5145,5137,217,194
12,Sylhet,853,487,486,775,774,193,159
13,Moulvibazar,692,389,387,637,635,159,164
14,Sunamganj,926,544,544,813,813,164,149
15,Habiganj,651,377,376,705,703,149,187
2,Sylhet Division,3122,1797,1793,2930,2925,187,163
16,Dhaka,362,154,153,234,231,163,151
17,Gazipur,446,201,201,330,330,152,164
18,Manikganj,342,173,172,368,367,164,213
19,Munshiganj,248,125,124,231,230,213,185
20,Narayanganj,169,70,70,118,118,185,169
21,Narsingdi,284,140,140,275,275,169,196
22,Faridpur,507,360,359,774,771,196,215
23,Rajbari,270,221,221,471,471,215,213
24,Madaripur,278,185,184,345,344,213,187
25,Gopalganj,363,231,230,451,451,186,196
26,Shariatpur,290,168,168,305,305,195,182
27,Tangail,844,477,476,910,909,182,191
28,Kishoerganj,664,443,441,740,736,191,167
3,Dhaka Division,5067,2948,2939,5552,5538,167,188
29,Mymensinghh,1086,724,724,1492,1492,188,206
30,Jamalpur,523,380,379,809,808,206,213
31,Sherpur,337,240,239,502,501,213,210
32,Netrokona,690,440,440,805,805,209,183
4,Mymensingh Division,2636,1784,1783,3608,3606,183,202
3,Barishal,688,461,460,684,684,202,149
34,Jhalokathi,175,124,125,248,249,148,199
35,Perojpur,316,197,196,308,307,200,157
36,Bhola,841,411,408,863,857,156,210
37,Patuakhali,796,397,395,556,554,210,140
38,Barguna,453,248,246,365,363,140,148
None,None,None,2021-22,2022-23,2021-22,2022-23,2021-22,2022-23
5,Barishal Division,3269,1838,1830,3024,3018,164,165
39,Jashore,644,409,409,939,939,230,230
40,Jhenaidah,486,351,350,792,791,226,226
41,Magura,257,168,167,400,399,238,239
42,Narail,239,157,154,365,362,232,235
43,Khulna,1086,298,297,440,439,148,148
44,Bagerhat,978,265,268,388,397,146,148
45,Satkhira,943,352,350,519,517,147,148
46,Kushtia,398,280,280,680,680,242,243
47,Chuadanga,290,196,195,517,516,263,265
48,Meherpur,186,124,125,346,348,279,278
6,Khulna Division,5507,2600,2595,5392,5388,207,208
49,Rajshahi,599,472,471,973,972,206,206
50,Naogoan,849,627,626,1268,1267,202,202
51,Natore,470,355,355,725,725,204,204
52,Chapia Nawbganj,421,287,286,570,569,199,199
53,Bogura,716,525,524,1273,1269,243,242
54,Joypurhat,250,210,210,503,503,240,240
55,Pabna,587,373,372,820,818,220,220
56,Sirajganj,594,375,375,856,856,229,228
7,Rajshahi Division,4486,3224,3219,6988,6979,217,217
57,Rangpur,593,466,465,1061,1060,228,228
58,Gaibandah,523,383,382,787,785,206,205
59,Kurigram,555,340,339,714,713,210,210
60,Nilphamari,382,289,289,664,664,230,230
61,Lalmonirhat,308,216,215,501,497,232,231
62,Dinajpur,851,678,676,1532,1528,226,226
63,Thakurgaon,440,388,387,884,882,228,228
64,Panchagarh,347,265,265,576,576,217,217
8,Rangpur Division,3999,3025,3018,6719,6705,222,222
BANGLADESH,None,36465,19875,19829,39358,39296,198,198
