Station,Jan.,Feb.,Mar.,Apr.,May,June,July.,Aug,Sep.,Oct.,Nov.,Dec.,Yearly
Dhaka,20.2,21.6,28.5,30.0,29.5,30.2,31.0,30.8,29.7,28.9,25.9,22.3,27.4
Tangail,18.4,19.9,27.0,29.7,28.8,29.7,30.8,30.3,29.5,28.2,24.5,20.7,26.5
Mymensingh,18.9,19.5,26.3,28.1,28.1,28.4,30.1,30.2,29.3,28.4,24.3,20.6,26.0
Faridpur,19.0,20.4,27.4,29.8,29.1,29.8,30.3,30.1,29.5,29.0,24.6,21.0,26.6
Madaripur,18.5,19.8,26.3,29.7,29.3,29.7,30.3,29.9,29.5,27.7,24.1,20.4,26.3
Srimangal,18.6,19.1,25.1,28.4,27.9,28.4,30.0,29.8,29.5,27.5,24.5,20.7,25.8
Sylhet,20.2,20.3,26.9,27.1,27.2,27.2,29.9,30.3,29.4,28.3,25.4,22.0,26.1
Bogura,18.2,19.8,27.2,29.1,28.6,29.2,30.7,30.5,29.5,28.4,24.7,20.9,26.4
Dinajpur,16.8,18.4,25.8,27.5,28.2,28.6,31.0,30.2,29.5,28.1,23.6,20.1,25.6
Ishwardi,17.7,19.2,26.7,30.7,29.1,30.3,30.9,30.3,29.7,27.9,23.5,19.8,26.3
Rajshahi,17.8,19.3,27.3,31.2,29.5,30.6,31.7,30.7,30.1,28.4,23.7,20.2,26.7
Rangpur,17.9,18.8,26.2,26.8,28.1,28.5,31.0,30.4,29.4,28.0,24.3,20.6,25.8
Syedpur,17.6,18.7,26.1,27.0,28.4,28.7,31.4,30.7,29.9,28.0,23.8,20.3,25.9
Chuadanga,17.6,19.3,26.6,30.6,29.5,30.6,30.8,30.1,29.9,28.0,23.3,19.7,26.3
Jashore,18.6,20.7,27.1,30.8,30.1,30.8,30.5,30.0,29.7,28.0,23.6,20.6,26.7
Khulna,19.3,21.4,27.5,30.8,30.3,30.7,30.4,30.1,29.9,28.8,24.8,21.5,27.1
Mongla,19.8,21.9,27.8,30.8,30.5,30.6,30.3,29.9,29.7,28.4,25.0,22.0,27.2
Satkhira,19.1,20.8,27.2,30.7,29.8,30.6,30.0,29.6,29.6,28.2,24.2,20.0,26.7
Barishal,19.1,20.8,26.6,29.8,29.4,29.8,30.0,29.6,29.4,28.0,24.5,21.0,26.5
Bhola,19.3,20.7,26.7,29.6,29.3,29.7,29.9,29.7,29.5,28.3,25.0,21.1,26.6
Khepupara,19.9,21.7,27.2,30.0,29.8,29.8,29.6,29.4,29.1,28.7,24.9,21.8,26.8
Patuakhali,19.9,21.5,27.3,29.9,29.6,29.8,29.8,29.7,29.6,29.4,25.1,21.7,26.9
chandpur,20.4,21.7,27.9,30.0,29.8,29.8,30.5,30.5,29.8,28.9,26.1,22.4,27.3
Ambagan(Ctg),21.1,22.2,27.5,29.4,28.8,28.7,29.7,29.5,29.1,28.7,26.5,23.2,27.0
Chittagong,21.0,21.8,27.1,29.6,29.2,28.9,29.8,29.8,29.2,29.2,26.7,23.2,27.1
Cumilla,19.8,20.5,26.2,28.9,28.8,28.6,29.9,29.9,29.2,28.3,25.3,21.1,26.4
Cox's Bazar,22.0,22.6,27.4,29.5,29.3,28.2,29.1,29.1,28.8,29.0,27.5,24.4,27.2
Feni,19.7,21.3,26.8,29.3,28.8,28.5,29.7,29.8,29.0,28.3,25.4,21.5,26.5
Hatiya,19.9,20.6,26.4,29.3,29.2,28.7,29.0,28.8,29.1,28.2,25.2,21.9,26.4
Kutubdia,20.8,21.6,25.8,28.7,28.8,28.4,29.4,29.0,28.8,28.5,26.2,22.9,26.6
M.court,20.0,21.3,27.2,29.5,29.4,29.3,30.1,29.8,29.4,28.4,25.8,22.1,26.9
Rangamati,19.9,20.8,26.8,29.7,28.4,28.3,29.5,29.4,28.9,28.3,25.4,22.0,26.4
Sandwip,20.2,21.2,26.9,29.1,28.9,28.7,29.5,29.5,29.1,28.7,25.6,22.2,26.6
Sitakunda,19.5,20.3,26.6,29.0,28.8,28.0,29.4,29.4,29.1,28.4,25.5,21.9,26.3
Teknaf,21.8,23.0,27.3,29.5,29.4,28.6,29.0,28.6,28.7,29.0,26.1,24.1,27.1
