Station,Jan.,Feb.,Mar.,Apr.,May,June,July.,Aug,Sep.,Oct.,Nov.,Dec.,Yearly
Dhaka,18.6,23.3,26.4,32,30.6,30.9,30.8,29.5,30.3,29.1,26.2,21.8,27.5
Tangail,17.1,21.9,25.5,31.8,30.4,30.5,30.4,28.9,29.9,28.3,24.9,19.8,26.6
Mymensingh,17.4,21.2,24.3,30,29.4,28.8,30.2,29.4,30.3,28.1,24.8,20,26.2
Faridpur,17.6,22.2,25.9,31.8,30.6,31.3,30.4,29.7,30.3,29.1,25.4,***,***
Madaripur,17.1,21.7,25.2,30.9,30.3,31,30.1,28.9,29.8,28.9,24.8,***,***
Srimangal,17.7,20.8,24.3,29.7,29,28.8,30.4,28.9,30.2,28.2,24.6,19.9,26
Sylhet,19.5,22,25.2,28,28.5,27.9,29.9,28.9,30.6,27.8,25.3,21.3,26.2
Bogura,16.5,21.3,25,31.3,29.8,30,30.8,29.8,30.2,28.5,25.2,20.3,26.6
Dinajpur,15,19.8,23.4,29.3,29.2,29.4,30.7,30.2,29.9,27.8,24,19,25.6
Ishwardi,16.5,20.7,24.9,31.9,30.9,31.9,31,29.9,30.1,28.6,24.5,19.3,26.7
Rajshahi,16.4,20.8,24.8,31.5,30.6,31.9,31.1,30,30.2,28.6,24.4,19.4,26.6
Rangpur,16.1,20.4,24,29.5,29.4,29.1,30.8,30.3,30,27.9,***,***,***
Syedpur,15.7,20.4,24.1,29.3,29.3,29.2,30.7,30.2,30.3,28.1,24.6,***,***
Chuadanga,16.5,21.3,25.4,31.9,31.2,32.1,31.1,29.7,30.3,28.7,24.4,19.4,26.8
Jashore,17.4,22.3,25.9,32,31.1,32.1,30.5,29.7,30.2,29.1,24.8,20.3,27.1
Khulna,18.2,23,26.6,32.3,31.2,32,30.3,29.2,30.3,29.5,25.7,***,***
Mongla,18.8,23.5,27.1,32.4,31.1,31.7,30.3,29.1,30,29.5,25.7,21.7,27.6
Satkhira,18,22.8,26.3,32,31.1,32,30.4,29.2,30.2,29.2,25.4,***,***
Barishal,18,22.8,26.1,31.4,30.4,31.2,29.9,28.5,29.8,29.1,25.4,***,***
Bhola,18.3,22.7,26.1,31.1,30.3,31.1,29.9,28.5,29.9,29.1,25.5,20.9,26.9
Khepupara,19,23.5,27,31.8,30.9,31.3,29.6,28.4,29.5,29.5,25.6,21.7,27.3
Patuakhali,19.1,23.4,27,31.5,30.6,31.3,29.8,28.7,29.9,29.5,25.7,21.8,27.4
chandpur,18.7,23.2,26.2,31.1,30.5,31.1,30.4,29,30.1,29.2,26.1,21.6,27.3
Ambagan(Ctg),20.1,23.6,26.9,31,29.9,29.8,29.3,28,29.6,29.3,26.8,***,***
Chittagong,19.9,23.3,26.6,30.8,30.1,30.1,29.5,28.1,29.7,29.4,26.9,***,***
Cumilla,18.1,22.2,25,30,29.7,29.6,30,28.4,29.9,29,25.6,***,***
Cox's Bazar,21.1,24.2,27,31.1,30.4,29.3,28.3,27.8,29.3,29.5,27.5,***,***
Feni,18.5,22.6,25.3,30.5,30.1,29.6,29.7,28.2,29.9,29.3,25.9,21.3,26.7
Hatiya,19.1,22.6,***,***,***,***,***,***,***,***,***,***,***
Kutubdia,19.8,22.3,25.6,30.1,29.9,29.9,28.9,28,29.4,29.2,26.7,22.9,26.9
M.court,18.9,23,25.9,30.7,30.2,30.1,29.7,28.1,29.8,29.3,26.3,21.7,27
Rangamati,19.1,22.1,25.6,31,29.5,29.6,29,27.9,29.5,28.6,25.5,***,***
Sandwip,19.3,22.6,25.7,30.2,30,29.8,29.2,27.9,29.6,29.3,26.2,22.1,26.8
Sitakunda,19,22.6,25.3,30,29.6,29.7,29.5,28,29.8,29.1,25.6,***,***
Teknaf,21.2,23.5,26.1,29.8,***,***,***,***,***,***,***,***,***
Gopalgonj,17.2,22,25.7,31.8,30.2,31.5,29.8,28.6,29.6,28.7,24.9,20.2,26.7
Tarash,16.6,21,24.6,30.4,29.9,30.5,30.8,29.5,30.1,28.4,24.6,19.7,26.3
Netrokona,18.1,21,23.9,29.1,29.1,27.8,29.8,29,30.2,27.8,24.9,20.3,25.9
Rajarhat,15.9,19.6,23.4,28.8,28.9,28.6,30.2,30,30.2,27.3,23.9,18.9,25.5
Badalgachhi,15.5,20.5,24,29.6,29.3,30,30.6,29.4,29.8,27.9,23.8,18.8,25.8
Dimla,15.6,19.6,23.1,28,29,28.8,30.4,30,29.7,27.2,24.2,19.3,25.4
Kumarkhali,18.8,***,26.1,32,30.6,31.4,30.2,29.3,30.1,28.6,24.9,19.9,***
