Station,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug,Sep.,Oct.,Nov.,Dec.
Dinajpur,9.7,12.8,16.8,22.2,24.0,25.9,27.2,26.7,26.1,24.0,17.7,12.0
Rangpur,11.2,14.2,18.1,23.5,24.5,25.5,27.4,26.7,26.4,23.8,***,***
Rajshahi,10.7,14.1,17.9,24.0,25.3,27.5,27.4,26.5,26.6,24.6,18.5,12.7
Bogura,11.6,15.4,19.4,25.5,25.2,26.6,27.5,26.8,26.7,24.9,19.6,14.0
Mymensingh,13.0,15.7,18.6,24.8,24.8,25.8,27.3,26.8,26.9,24.8,19.0,13.4
Sylhet,14.3,16.4,19.4,23.0,24.2,25.0,26.5,25.8,26.8,24.4,20.0,15.3
Srimangal,11.8,13.7,17.4,23.6,23.9,25.3,26.6,25.4,26.1,24.0,17.9,12.6
Ishwardi,10.7,14.0,17.8,24.4,25.4,27.6,27.4,26.5,26.5,24.8,18.7,12.7
Dhaka,14.1,18.1,20.9,27.0,26.2,27.6,27.7,26.7,26.9,25.4,21.0,16.4
Cumilla,13.0,16.2,19.2,25.5,25.2,26.5,26.9,25.9,26.5,25.3,20.0,***
Chandpur,14.2,17.8,20.9,26.5,26.2,27.9,27.3,26.3,26.8,25.6,21.2,16.2
Jashore,11.3,15.9,19.2,25.4,25.9,27.7,27.2,26.6,26.4,25.1,18.9,13.4
Faridpur,12.2,16.0,19.6,25.7,25.9,27.5,27.0,26.5,26.8,25.4,19.7,***
Madaripur,12.0,15.7,19.1,25.5,25.5,27.3,27.0,26.2,26.6,25.1,19.4,***
Khulna,13.2,17.7,21.1,26.7,26.8,28.4,27.2,26.6,26.8,25.8,20.6,***
Satkhira,12.9,17.6,20.9,26.5,26.9,28.6,27.5,26.7,27.2,26.0,20.7,***
Barishal,12.0,16.5,20.0,26.2,26.0,27.9,27.0,25.9,26.3,25.4,19.9,***
Bhola,12.4,16.4,20.1,26.1,25.7,27.8,26.9,25.9,26.2,25.1,19.7,14.6
Feni,12.8,16.0,18.7,25.7,25.3,26.2,26.3,25.4,25.9,24.7,19.4,14.2
M.court,14.5,17.7,20.6,26.5,25.9,27.3,27.1,25.9,26.6,26.0,21.8,16.6
Hatiya,13.8,16.8,***,***,***,***,***,***,***,***,***,****
Sitakunda,12.0,15.0,18.0,24.5,24.1,25.9,26.2,25.2,26.0,24.7,18.9,***
Sandwip,13.1,16.0,19.5,25.9,25.5,26.8,26.3,25.5,26.1,25.1,20.4,15.2
Ambagan(Ctg,14.7,17.7,21.4,26.3,25.6,26.5,26.3,25.5,26.2,25.4,21.3,***
Kutubdia,14.7,16.5,20.0,25.5,26.1,26.7,26.0,25.4,26.1,25.3,21.5,17.5
Cox's Bazar,15.8,18.7,21.8,27.1,26.7,26.2,25.8,25.3,26.1,25.8,22.9,***
Teknaf,15.0,16.8,19.7,24.8,***,***,***,***,***,***,***,***
Rangamati,13.1,14.9,18.3,24.9,24.5,26.0,25.3,24.8,25.3,24.5,20.1,***
Patuakhali,13.5,17.6,21.2,26.2,26.1,28.1,27.0,26.1,26.7,25.8,20.7,16.2
Khepupara,12.8,17.0,21.0,26.8,26.6,28.1,26.6,25.6,26.0,25.5,20.1,15.3
Syedpur,10.3,13.3,17.2,22.3,23.9,25.7,27.3,26.8,26.3,24.0,18.6,***
Tangail,11.9,16.0,19.5,25.9,25.6,26.6,26.8,25.3,26.0,24.2,18.5,12.9
Mongla,13.7,18.0,21.5,26.4,26.5,28.0,27.3,26.4,26.6,25.6,20.9,16.4
Chuadanga,10.6,14.7,18.6,24.6,25.9,27.7,27.3,26.3,26.6,24.7,18.6,12.8
Chittagong,14.9,17.8,21.4,26.7,26.1,27.0,26.4,25.6,26.4,25.8,22.2,***
