Station name,Jan.,Feb,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep,Oct,Nov,Dec,Annual
Dhaka,71,62,55,72,75,79,74,75,80,75,63,69,70
Tangail,81,73,66,75,78,81,77,78,82,79,76,81,77
Mymensingh,80,75,72,81,82,87,82,80,87,86,81,84,81
Faridpur,78,72,64,75,79,83,81,82,84,89,74,78,77
Madaripur,83,78,72,77,80,85,81,82,85,84,82,82,80
Srimangal,84,76,72,76,84,88,84,83,86,86,81,83,81
Sylhet,74,68,66,79,82,89,82,80,84,93,73,76,77
Bogura,78,70,63,77,77,82,77,77,84,79,72,76,75
Dinajpur,84,76,69,79,79,83,78,80,84,83,76,78,78
Ishwardi,82,77,67,74,79,81,79,81,85,82,77,79,78
Rajshahi,82,77,67,74,80,83,80,83,87,81,76,78,79
Rangpur,82,76,71,82,80,85,79,80,84,81,76,80,79
Syedpur,81,75,70,80,79,82,77,79,82,79,76,79,78
chuadanga,83,79,72,75,79,80,81,83,85,81,78,81,79
Jashore,82,79,72,76,77,79,79,81,83,83,78,79,78
Khulna,78,74,69,74,74,79,79,82,82,84,76,82,77
Mongla,78,75,71,77,79,84,84,87,87,83,77,78,80
Satkhira,78,75,69,74,75,79,82,82,83,83,74,77,77
Barishal,83,77,73,79,83,86,82,84,87,85,81,83,81
Bhola,84,78,72,79,82,86,84,85,87,85,81,85,82
Khepupara,82,77,72,78,81,84,85,86,87,87,81,82,81
Patuakhali,81,75,68,78,82,86,87,88,89,90,81,81,81
Chandpur,79,73,65,78,80,85,81,83,86,82,75,80,78
Teknaf,70,74,66,77,82,87,84,86,86,83,77,75,78
Ambagan(Ctg),74,63,67,83,84,87,85,83,85,82,75,75,78
Cumilla,79,73,70,81,83,86,83,82,86,82,75,80,80
Cox's Bazar,73,65,70,76,80,86,82,83,85,88,72,70,76
Feni,78,70,66,74,79,83,78,79,85,80,76,78,77
Hatiya,85,78,73,80,82,89,86,88,89,86,83,84,83
Kutubdia,74,77,83,80,80,83,80,81,83,80,76,74,79
M.court,81,75,70,80,82,85,81,82,87,85,80,82,80
Rangamati,76,66,64,68,78,75,65,74,71,71,72,74,71
Sandwip,82,74,71,80,83,87,83,84,88,86,83,83,82
Chittagong,72,63,69,78,81,86,80,80,83,83,69,71,75
Sitakunda,73,66,59,67,71,71,65,66,67,66,66,61,66
Gopalgonj,*,*,*,*,*,*,*,*,*,*,*,*,*
Tarash,*,*,*,*,*,*,*,*,*,*,*,*,*
Netrokona,*,*,*,*,*,*,*,*,*,*,*,*,*
Rajarhati,76,66,64,68,78,75,65,74,71,71,*,*,*
Badalgachhi,*,*,*,*,*,*,*,*,*,*,*,*,*
Dimla,*,*,*,*,*,*,*,*,*,*,*,*,*
Netrokona,*,*,*,*,*,*,*,*,*,*,*,*,*
