Seria l,Year,Rice,None,Wheat,None_1,Maize,None_2,Jute,None_3,Pulses,None_4
None,None,"Demand
(M.T)","Supply
(MT)","Demand
(MT)","Supply
(MT)","Demand
(MT)","Supply
(MT)","Demand
(MT)","Supply
(MT)","Demand
(MT)","Supply
(MT)"
1,2005-06,313955,77664,72000,19051,3300,3233,3570,1806,21350,245
2,2006-07,309300,98800,71400,39050,4450,4425,3643,2865,20865,1612
3,2007-08,306840,107140,70800,39200,5000,4970,3683,2915,21370,2808
4,2008-09,305550,114640,70200,41050,5780,5770,3775,2965,20965,3103
5,2009-10,303875,122185,69600,40950,6800,6800,3910,3310,20965,3280
6,2010-11,304075,130285,69000,40900,7800,7800,4020,3430,20965,3605
7,2011-12,319500,187820,55700,39840,5000,4796,4600,4378,23200,2742
8,2012-13,305625,160240,55500,31343,5840,4345,4600,3813,23200,3428
9,2013-14,301685,100706,50400,27680,9510,2620,5930,1730,28735,2692
10,2014-15,301685,118056,50400,28300,9510,4800,5930,1846,28735,2280
11,2015-16,302875,125540,52200,30400,9750,2640,5970,1715,29575,3229
12,2016-17,274911,157154,53600,20110,6507,6000,7380,5280,43136,2794
13,2017-18,282477,171682,43938,23602,6705,6510,6066,5662,35448,3731
14,2018-19,356745,158141,46060,23198,10647,6667,5436,5419,29241,2587
15,2019-20,358357,158309,47922,13904,11518,11281,5557,6406,30102,2387
16,2020-21,362869,160403,49826,16819,12128,10468,6062,5935,31348,2092
