SL.No,District Name,Reserved Forest Notified Under Section20 of,"Notified Under Section 4& 6 of Forest Act,1927",Protected Forest,Acqired/ Vested Forest,Un-classed State Forest (controlled by FD),Total Forest Land (controlled by FD),Unclassed State Forest (controlled by District Administration),Total Forest Land
1,2,3,4,5,6,7,8,9,10
1,Dhaka,0.00,934.74,0.00,0.00,0.00,934.74,0.00,934.74
2,Gazipur,"44,189.90","20,983.31",0.00,0.00,0.00,"65,173.21",0.00,65.173.21
3,Mymenshingh,"34,555.11","4,305.03",0.00,0.00,0.00,"38,860.14",0.00,"38,860.14"
4,Jamalpur,0.00,"10,364.39",0.00,0.00,0.00,"10,364.39",0.00,"10,364.39"
5,Sherpur,"6,324.70","13,759.45",0.00,0.00,0.00,"20,084.15",0.00,"20,084.15"
6,Netrokona,591.97,"1,381.60",0.00,0.00,0.00,"1,973.57",0.00,"1,973.57"
7,Tangail,"73,815.69","49,061.21",0.00,0.00,0.00,"122,876.90",0.00,"122,876.90"
8,Sylhet,"23,900.63","25,538.85",0.00,0.00,0.00,"49,439.48",988.88,"50,428.36"
9,Hobigonj,"33,885.73",274.00,0.00,0.00,0.00,"34,159.73",2200.00,36359.73
10,Maulavibazar,"59,332.62",40.70,0.00,"10,932.00",0.00,"70,305.32",1079.41,71384.73
11,Sunamgonj,"6,434.15",11.578.16,0.00,,0.00,"18,012.31",0.00,"18,012.31"
12,Chittaganj,"210,626.04","152,624.86.","46,435.46","16,402.82",0.00,"426,089.18",0.00,"426,089.18"
13,Cox's Bazar,"152,986.40","22,667.14","33,521.42",0.00,0.00,"209,174.96",0.00,"209,174.96"
14,Bandarban,"242,668.40","21,830.80",0.00,0.00,"38,644.75","303,143.95",494372.54,"797,516.49"
15,Rangamati,"573,261.21","41,401.88",0.00,1.50,0.00,"614,664.59",763890.54,"1,378,555.13"
16,Khagrachari,"88,492.83","7,342.67",0.00,0.00,"4,202.76","100,038.26",454077.95,"554,116.21"
17,Cumilla,0.00,"1,720.92",0.00,0.00,0.00,"1,720.92",0.00,"1,720.92"
18,Feni,"2,191.43","18,000.00",0.00,0.00,0.00,"20,191.43",0.00,"20,191.43"
19,Bagerhat,"566,512.95",,0.00,0.00,0.00,"566,512.95",0.00,"566,512.95"
20,Khulna,"546,081.61",,0.00,0.00,0.00,"546,081.61",0.00,"546,081.61"
21,Satkhiar,"370,354.18",,0.00,0.00,0.00,"370,354.18",0.00,370354.18
22,Rangpur,"1,678.47","1,749.03",0.00,21.54,0.00,"3,449.04",0.00,"3,449.04"
23,Nilphamari,0.00,,648.59,551.49,0.00,"1,200.08",0.00,"1,200.08"
24,Kurigram,128.59,,0.00,0.00,0.00,128.59,0.00,128.59
25,Lalmonirhat,82.62,,0.00,0.00,0.00,82.62,0.00,82.62
26,Dinajpur,"14,609.76","3,455.38",0.00,0.00,0.00,"18,065.14",0.00,"18,065.14"
27,Thakurgaon,"1,591.68",,0.00,0.00,0.00,"1,591.68",0.00,"1,591.68"
28,Panchagarh,501.38,"4,049.49",0.00,0.00,0.00,"4,550.87",0.00,"4,550.87"
29,Naogaon,473.95,,"5,991.70",681.99,0.00,"7,147.64",0.00,"7,147.64"
30,Noakhali,72.132.36,"307,867.64","4,784.72",0.00,0.00,"384,784.72",0.00,"384,784.72"
31,Lakshmipur,0.00,"50,000.00",0.00,0.00,0.00,50.000.00,0.00,50.000.00
32,Patuakhali,"58,723.87","91,276.13",0.00,0.00,0.00,"150,000.00",0.00,"150,000.00"
33,Barguna,"30,533.90","44,466.10",0.00,0.00,0.00,"75,000.00",0.00,"75,000.00"
34,Perojpur,0.00,543.66,0.00,0.00,0.00,543.66,0.00,543.66
35,Bhola,"94,245.39","265,754.61",0.00,0.00,0.00,"360,000.00",0.00,"360,000.00"
"Total Forest area
(acre)",None,"3,310,907.52","1,172,971.75","91,381.89","28,591.34","42,847.51","4,464,700.01",1716609.32,"6,363,309.33"
"Total Forest area
(Hector)",None,"1,339,905.92","474,695.16","36,981.74","11,570.76","17,340.15","1,880,493.73",694702.27,2575196.01
