Sl. No.,Species/Group,Inland Fisheries,Marine Fisheries,Total,%
1,Major Carp,1084397,0,1084397,22.06
2,Other Carp,144584,0,144584,2.94
3,Exotic Carp,545141,0,545141,11.09
4,Pangas (Cat Fish),403283,0,403283,8.21
5,Other Cat Fish,76000,0,76000,1.55
6,Snake Head,81092,0,81092,1.65
7,Live Fish,184314,0,184314,3.75
8,Tilapia,421191,0,421191,8.57
9,Other Inland fish,666642,0,666642,13.56
10,Hilsa/Ilish (Tenualosa ilisha),271330,300012,571342,11.63
11,Shrimp/Prawn,224539,46763,271302,5.52
12,Crab (Scylla serrate & Scylla olivacea),12881,0,12881,0.26
13,Sarpunti (Puntius sarana),112280,0,112280,2.28
14,Cuchia,7656,0,7656,0.16
15,Sardine (Sardinella fimbriata),0,51500,51500,1.05
16,Bombay Duck (Harpondon nehereus),0,81942,81942,1.67
17,Indian Salmon (Polydactylus indicus),0,200,200,0.00
18,Pomfret (Rup/ Hail/ Foli Chanda),0,12052,12052,0.25
19,"Jew Fish (Poa, Lambu, Kala datina etc.)",0,42754,42754,0.87
20,Sea Cat Fish (Tachysurus spp.),0,15305,15305,0.31
21,Shark/ Skate / Ray,0,3351,3351,0.07
22,Tuna and Tuna like fish,0,15051,15051,0.31
23,Other Marine Fish,0,110455,110455,2.25
TOTAL,Production (Metric Ton),4235330,679385,4914715,100
None,%,86.18,13.82,100,
