Sl. No.,Species,r u p aj n Di,h a d n a b ai G,m a r g ri u K,at h r ni o m al L,ri a m a h p Nil,h r a g a h c n a P,r u p g n a R,n a o g r u k a h T,a r u g o B,nj ai a g pb h a w a C a N,at h r u p y o J,n o a g o a N,e r o at N,a n b a P,hi a h s aj R,nj a g aj r Si,al ot -t b u S
1,Rui,0,58,11,10,6,0,9,0,52,81,41,112,90,118,73,103,764
2,Catla,0,42,4,8,5,0,9,0,49,59,29,67,66,70,47,70,525
3,Mrigal,0,19,17,6,3,0,5,0,40,63,12,44,24,69,34,34,370
4,Kalibaus,0,20,0,3,0,0,7,0,0,0,0,3,12,8,0,8,61
5,Bata,0,13,0,3,0,0,0,0,0,0,0,3,8,0,0,5,32
6,Gonia,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,9
7,Pangas,0,23,0,0,0,0,0,0,2,15,0,5,5,10,23,24,107
8,Boal/Air/Guizza Air,0,53,50,30,0,0,7,0,8,22,9,5,6,37,30,15,272
9,Shol/Gazar/Taki,0,10,0,10,0,0,0,0,0,0,5,3,7,47,3,5,90
10,Koi,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,12
11,Shingi/Magur,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,1,9
12,Sarpunti,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,6
13,Other Inland Fish,283,230,443,98,122,104,99,96,540,546,64,973,58,885,644,1449,6634
14,Hilsa/Ilish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Galda,0,0,0,3,3,0,0,0,0,0,0,0,5,0,6,6,23
16,Bagda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Harina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Chaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Other small
shrimp/prawn",8,41,23,33,60,18,17,18,19,17,27,60,46,71,58,151,667
Total,None,291,509,548,204,199,122,153,114,710,803,187,1284,337,1315,927,1878,9581
