Sl. No.,Species,n a b r a d n a B,a ri a b n a m h a r B,r u p d n a h C,m a r g o att h C,a mill u C,r a z a B s x’ o C,ni e F,ri a h h c a r g a h K,r u p mi h s k a L,ali h k a o N,ati m a g n a R,nj a g bi a H,r a z a b vi ul o M,nj a g m a n u S,et h yl S,al ot al S -t u b -t o u t b S,Total
1,Rui,7,57,59,5,70,0,57,0,3,3,5,33,14,42,49,404,1842
2,Catla,5,27,7,2,15,0,53,0,1,1,4,11,8,13,0,147,1105
3,Mrigal,5,10,2,1,6,0,51,0,1,0,3,18,5,15,0,117,734
4,Kalibaus,0,4,5,1,5,0,0,0,0,0,2,0,0,0,59,76,365
5,Bata,0,3,0,0,0,0,80,0,8,3,3,0,21,61,0,179,282
6,Gonia,0,4,2,0,0,0,3,0,0,0,0,0,0,0,0,9,19
7,Pangas,0,10,0,0,0,0,0,0,1,1,0,0,7,9,9,37,196
8,Boal/Air/Guizza Air,0,105,46,0,61,0,85,0,4,3,13,0,8,56,59,440,1246
9,Shol/Gazar/Taki,0,13,49,0,17,0,72,0,3,1,11,0,6,21,18,211,809
10,Koi,0,3,0,0,4,0,0,0,3,1,0,0,5,4,3,23,103
11,Shingi/Magur,6,5,0,0,4,0,0,0,3,1,0,0,6,5,3,33,97
12,Sarpunti,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,10,20
13,Other Inland Fish,75,393,473,39,256,17,501,195,55,29,164,658,338,496,518,4207,30215
14,Hilsa/Ilish,0,0,2810,6883,0,2289,35,0,165,61,0,0,1,5,6,12255,56518
15,Galda,0,3,5,5,27,6,0,0,4,1,0,0,4,1,0,56,271
16,Bagda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
17,Harina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3025
18,Chaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
19,"Other small
shrimp/prawn",48,21,17,21,71,14,354,17,18,6,4,79,51,118,120,959,6938
Total,None,146,663,3475,6957,541,2326,1291,212,269,111,209,799,474,846,844,19163,103834
1,Rui,7,57,58,,69,,57,0,3,3,,,14,,,,1853
2,Catla,5,27,7,,16,,54,0,2,1,,,8,,,,1112
3,Mrigal,5,11,3,,6,,50,0,1,0,,,6,,,,736
4,Kalibaus,0,3,4,,5,,0,0,0,0,,,0,,,,358
5,Bata,0,4,0,,0,,80,0,7,3,,,20,,,,282
6,Ghania,0,3,3,,0,,3,0,0,0,,,0,,,,18
7,Pangas,0,10,0,,0,,0,0,2,2,,,7,,,,203
8,Boal/Air/Guizza Air,0,104,47,,62,,86,0,4,3,,,8,,,,1254
9,Shol/Gazar/Taki,0,13,49,,17,,71,0,3,2,,,7,,,,803
10,Koi,0,2,0,,3,,0,0,2,1,,,5,,,,99
11,Shingi/Magur,6,4,0,,4,,0,0,3,1,,,5,,,,91
12,Sarpunti,0,5,0,,4,,0,0,0,0,,,0,,,,19
13,Cuchia,4,17,26,,70,,37,6,10,60,,,8,,,,3024
14,Other Inland Fish,76,395,474,,258,,501,195,56,29,,,339,,,,30254
15,Hilsa/Ilish,0,0,2825,,0,,60,0,168,61,,,1,,,,57498
16,Galda,0,3,5,,26,,0,0,4,1,,,4,,,,270
17,Bagda,0,0,0,,0,,0,0,0,0,,,0,,,,33
18,Harina,0,0,0,,0,,0,0,0,0,,,0,,,,3028
19,Chaka,0,0,0,,0,,0,0,0,0,,,0,,,,18
20,"Other small
shrimp/prawn",47,22,17,,73,,353,17,18,6,,,52,,,,6948
Total,None,150,680,3518,,613,,1352,218,283,173,,,484,,,,107901
1,Rui,7,59,59,,70,,58,0,3,3,,,15,,,,1898
2,Catla,6,28,7,,16,,54,0,2,1,,,9,,,,1142
3,Mrigal,5,11,3,,6,,51,0,1,0,,,7,,,,754
4,Kalibaus,0,4,4,,5,,0,0,0,0,,,0,,,,364
5,Bata,0,4,0,,0,,81,0,7,3,,,20,,,,283
6,Ghania,0,3,3,,0,,3,0,0,0,,,0,,,,18
7,Pangas,0,10,0,,0,,0,0,2,3,,,6,,,,202
8,Boal/Air/Guizza Air,0,105,48,,62,,85,0,4,2,,,8,,,,1275
9,Shol/Gazar/Taki,0,14,49,,17,,71,0,3,2,,,8,,,,814
10,Koi,0,2,0,,4,,0,0,2,1,,,5,,,,101
11,Shingi/Magur,6,4,0,,4,,0,0,3,1,,,6,,,,95
12,Sarpunti,0,5,0,,4,,0,0,0,0,,,0,,,,19
13,Cuchia,3,12,16,,54,,24,4,7,38,,,5,,,,1746
14,Other Inland Fish,78,415,479,,263,,505,187,59,31,,,344,,,,30454
15,Hilsa/Ilish,0,0,2846,,0,,61,0,169,62,,,1,,,,57925
16,Galda,0,4,5,,25,,0,0,3,1,,,5,,,,269
17,Bagda,0,0,0,,0,,0,0,0,0,,,0,,,,33
18,Harina,0,0,0,,0,,0,0,0,0,,,0,,,,3034
19,Chaka,0,0,0,,0,,0,0,0,0,,,0,,,,18
20,"Other small
shrimp/prawn",47,22,17,,73,,353,12,18,5,,,51,,,,6972
Total,None,152,702,3536,,603,,1346,203,283,153,,,490,,,,107416
