Sl. No.,Species,a k a h D,r u p d ri a F,r u p zi a G,j n a g al p o G,r u p al m a J,j n a g e r o h s Ki,r u p ri a d a M,j n a g k ni a M,j n a g hi s n u M,h g n si n e m y M,j n a g n a y a r a N,di g n si r a N,a n o k a r t e N,ri a b j a R,r u p t a ri a h S,r u p r e h S,ail g n a T,al t o t - b u S
1,Rui,43,24,15,44,21,60,14,11,12,38,0,13,31,26,19,82,12,465
2,Catla,37,16,14,23,11,25,7,14,7,16,0,7,11,10,13,78,7,296
3,Mrigal,21,10,11,24,9,13,0,6,5,12,0,4,10,6,10,46,5,192
4,Kalibaus,16,9,9,12,8,0,0,4,4,90,0,0,22,8,8,35,3,228
5,Bata,0,0,10,0,2,0,0,3,0,0,0,0,0,0,0,0,0,15
6,Ghania,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,Pangas,0,9,0,6,4,0,0,0,22,0,0,0,0,12,0,0,5,58
8,Boal/Air,34,25,6,18,5,52,12,9,83,90,0,0,22,31,14,80,9,490
9,Shol/Gazar/Taki,29,0,11,40,5,11,0,5,0,11,0,0,10,5,6,57,0,190
10,Koi,6,0,0,21,4,0,0,5,0,0,0,0,0,0,0,17,0,53
11,Shingi/Magur,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,16,0,22
12,Sarpunti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Cuchia,7,16,15,74,6,30,34,11,21,18,9,22,33,11,14,5,15,341
14,Other Inland Fish,128,417,312,283,130,1229,188,253,225,979,428,421,1315,327,288,239,187,7349
15,Hilsa/Ilish,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8
16,Galda,10,9,0,9,2,0,0,6,14,7,0,13,0,13,7,32,7,129
17,Bagda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Harina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Chaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"Other small
shrimp/prawn",128,50,123,122,10,4,30,35,33,40,24,61,25,208,25,276,21,1215
Total,None,459,585,526,684,219,1424,285,367,426,1301,461,541,1479,657,404,963,271,11052
