Sl. No.,Species,Lower Meghna,None,None_1,None_2,None_3,None_4,None_5,Upper Meghna,None_6,None_7,None_8,None_9,None_10,None_11,None_12,Total
None,None,"ali
h
k
a
o
N","a
ol
h
B","al
h
s
ari
B","ur
p
mi
h
s
k
a
L","ur
p
at
ari
h
S","ur
p
d
n
a
h
C","Sub-
Total","nj
a
g
hi
s
n
u
M","nj
a
g
n
a
y
a
ar
N","a
mill
u
C","di
g
n
hi
s
ar
N","a
ari
b
n
a
m
h
a
Br","nj
a
g
e
or
h
s
Ki","nj
a
g
bi
a
H","Sub-
Total",None
1,Rui,15,42,44,16,21,30,168,20,0,35,14,87,107,0,263,431
2,Catla,14,20,31,13,19,22,119,15,0,17,9,56,45,0,142,261
3,Mrigal,8,20,16,20,5,21,90,9,0,16,2,41,55,0,123,213
4,Kalibaus,0,0,0,0,0,0,0,3,0,8,0,9,12,0,32,32
5,Bata,150,61,197,745,0,75,1228,17,0,12,0,26,46,0,101,1329
6,Gonia,0,0,0,0,0,0,0,0,0,3,0,12,0,0,15,15
7,Pangas,0,141,125,0,26,80,372,8,0,8,6,15,24,0,61,433
8,Boal/Air,0,140,55,0,19,82,296,10,0,35,7,64,25,0,141,437
9,Shol/Gazar/Taki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Koi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Shingi/Magur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Sarpunti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Other Inland Fish,190,917,1076,591,39,640,3453,846,1231,169,1856,670,368,152,5292,8745
14,Hilsa/Ilish,9387,81162,34030,20825,1166,30684,177254,382,107,0,152,280,167,0,1088,178342
15,Galda,27,90,145,63,0,0,325,13,0,27,6,22,69,0,137,462
16,Bagda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Harina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Chaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Other small
shrimp/prawn",40,127,226,45,18,49,505,60,15,92,15,40,102,36,360,865
Total,None,9831,82720,35945,22318,1313,31683,183810,1383,1353,422,2067,1322,1020,188,7755,191565
