Type of Fishing,Shrimp (A),Hilsa (B),Tuna & Tuna Like Fish (C),Other Species,None,None_1,None_2,None_3,None_4,None_5,None_6,None_7,Grand Total (A+B+C)
None,None,None,None,Sardine,"Bombay
Duck","Indian
Salmo
n","Pom
fret","Jew
Fish","Cat
Fish","Shark
/
Skate/
Ray","Other
Marin
e Fish","Total
(C)",None
A.Industrial,,,,,,,,,,,,,
Trawl Fishing,3069,7781,7893,33869,6936,0,1355,15385,5116,5400,32317,100378,119121
B. Artisanal,,,,,,,,,,,,,
1.Gill Net Fishing,,,,,,,,,,,,,
a) Mechanized,0,279213,4950,645,5500,128,2260,24183,2023,1487,27126,63352,347515
b) Non- mechanized,0,26599,0,0,75,0,102,1590,56,19,7901,9743,36342
SUB-TOTAL,0,305812,4950,645,5575,128,2362,25773,2079,1506,35027,73095,383857
2. Set Bag Net Fishing,,,,,,,,,,,,,
a) Seasonal,39775,0,8530,5,58996,0,5472,3020,45,86,39240,10864,155169
b) All Seasonal,765,0,,0,145,0,25,0,7,11,230,418,1183
SUB-TOTAL,40540,0,8530,5,59141,0,5497,3020,52,97,39470,107282,156352
3. Long Line Fishing,,,,,,,,,,,,,
a) Jew Fish Long Line,,,,,,,,,,,,,
i. Mechanized,0,0,757,0,0,25,0,3167,4527,1186,5809,14714,15471
ii. Non-mechanized,0,0,0,0,0,10,0,115,80,26,119,350,350
b) Other LongLine,0,0,0,0,0,0,0,43,15,13,47,118,118
SUB-TOTAL,0,0,757,0,0,35,0,3325,4622,1225,5975,15182,15939
4. Trammel Net Fishing,969,0,0,0,40,0,0,660,225,0,1168,2093,3062
5. Other Gears’ Fishing,1719,0,0,0,230,0,0,502,105,0,352,1189,2908
TOTAL ARTISANAL,43228,305812,14237,650,64986,163,7859,33280,7083,2828,81992,198841,562118
"GRAND TOTAL
(Industrial +
Artisanal)",46297,313593,22130,34519,71922,163,9214,48665,12199,8228,114309,299219,681239
%,6.80,46.03,3.25,5.07,10.56,0.02,1.35,7.14,1.79,1.21,16.78,43.92,100
