Sl. No.,Species,Lower Meghna,None,None_1,None_2,None_3,None_4,None_5,Upper Meghna,None_6,None_7,None_8,None_9,None_10,None_11,None_12,Total
None,None,"ali
h
k
a
o
N","a
ol
h
B","al
h
s
ri
a
B","r
u
p
mi
h
s
k
a
L","r
u
p
at
ri
a
h
S","r
u
p
d
n
a
h
C","Sub-
Total","nj
a
g
hi
s
n
u
M","nj
a
g
n
a
y
a
r
a
N","a
mill
u
C","di
g
n
si
r
a
N","a
ri
a
b
n
a
m
h
a
r
B","nj
a
g
e
r
o
h
s
Ki","nj
a
g
bi
a
H","Sub-
Total",None
1,Rui,16,42,45,18,23,33,177,21,0,37,16,89,109,0,272,449
2,Catla,15,22,33,13,21,24,128,17,0,19,10,57,47,0,150,278
3,Mrigal,10,21,16,19,5,21,92,10,0,15,3,40,54,0,122,214
4,Kalibaus,0,0,0,0,0,0,0,4,0,8,0,9,12,0,33,33
5,Bata,141,60,193,745,6,76,1221,18,0,13,0,26,45,0,102,1323
6,Ghania,0,0,0,0,0,0,0,0,0,4,0,13,0,0,17,17
7,Pangas,0,144,128,0,28,82,382,9,0,10,7,17,25,0,68,450
8,Boal/Air,0,142,57,0,21,83,303,12,0,36,8,64,26,0,146,449
9,Shol/Gazar/Taki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Koi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Shingi/Magur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Sarpunti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Cuchia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Other Inland Fish,190,918,1080,591,41,644,3464,848,1230,171,1860,681,371,156,5317,8781
15,Hilsa/Ilish,9512,87015,34551,20366,1602,31146,184192,403,108,0,207,233,163,0,1114,185306
16,Galda,29,91,146,65,0,0,331,15,0,28,8,23,71,2,147,478
17,Bagda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Harina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Chaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"Other small
shrimp/prawn",41,129,226,45,19,50,510,62,16,94,16,42,104,38,372,882
Total,None,9954,88584,36475,21862,1766,32159,190800,1419,1354,435,2135,1294,1027,196,7860,198660
