Sl. No.,Species,Lower Padma,None,None_1,None_2,None_3,None_4,None_5,None_6,Upper Padma,None_7,None_8,None_9,None_10,None_11,None_12,Total
None,None,"r
u
p
t
a
ri
a
h
S","r
u
p
ri
a
d
a
M","j
n
a
g
hi
s
n
u
M","a
k
a
h
D","j
n
a
g
k
ni
a
M","r
u
p
d
ri
a
F","ri
a
b
j
a
R","Sub-
Total","ri
a
b
j
a
R","a
ti
h
s
u
K","a
n
b
a
P","e
r
o
t
a
N","hi
a
h
s
j
a
R","j
n
ai a
p b g
h a w a
C
a
N","Sub-
Total",None
1,Rui,65,37,21,34,33,37,33,260,39,15,59,28,42,45,228,488
2,Catla,37,19,19,33,23,19,17,167,23,7,36,16,34,36,152,319
3,Mrigal,38,16,12,30,16,19,8,139,12,4,9,6,16,18,65,204
4,Kalibaus,16,11,8,11,9,7,3,65,7,3,15,6,7,7,45,110
5,Bata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Ghania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Pangas,18,13,10,13,10,9,9,82,1,7,35,31,74,44,192,274
8,Boal/Air,40,53,85,36,37,50,12,313,16,11,52,18,52,61,210,523
9,Shol/Gazar/Taki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Koi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Shingi/Magur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Sarpunti,45,37,22,37,13,14,16,184,0,0,0,0,0,0,0,184
13,Cuchia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Other Inland Fish,257,788,563,319,376,943,408,3654,766,136,1520,376,1098,832,4728,8382
15,Hilsa/Ilish,2926,203,717,97,1159,366,530,5998,306,8,80,13,184,19,610,6608
16,Galda,6,8,11,11,9,14,14,73,6,3,3,0,0,12,24,97
17,Bagda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Harina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Chaka,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
20,Other small shrimp/prawn,23,13,24,77,32,29,23,221,48,12,38,17,45,46,206,427
Total,None,3471,1198,1492,698,1717,1507,1073,11156,1224,206,1847,511,1552,1120,6460,17616
