Type of Fishing,Shrimp (A),Hilsa (B),Other Species,None,None_1,None_2,None_3,None_4,None_5,None_6,None_7,Grand Total (A+B+C)
None,None,None,Sardine,"Bombay
Duck","Indian
Salmon","Pom
fret","Jew
Fish","Cat
Fish","Shark/
Skate/
Ray","Other
Marine
Fish","Total
(C)",None
A.Industrial,,,,,,,,,,,,
Trawl Fishing,2436,9616,16154,6494,0,1205,6271,5223,602,67353,103302,115354
B. Artisanal,,,,,,,,,,,,
1.Gill Net Fishing,,,,,,,,,,,,
a)Mechanized,0,269900,650,5900,135,2320,25650,2375,1458,30408,68896,338796
b) Non- mechanized,0,25050,0,100,0,110,1755,70,18,9536,11589,36639
SUB-TOTAL,0,294950,650,6000,135,2430,27405,2445,1476,39944,80485,375435
2. Set Bag Net Fishing,,,,,,,,,,,,
a) Seasonal,36995,0,10,57820,0,6345,3255,55,85,50735,118305,155300
b) All Seasonal,750,0,0,155,0,43,0,12,10,225,445,1195
SUB-TOTAL,37745,0,10,57975,0,6388,3255,67,95,50960,118750,156495
3. Long Line Fishing,,,,,,,,,,,,
a) Jew Fish Long Line,,,,,,,,,,,,
i. Mechanized,0,0,0,0,28,0,3497,5223,1163,7124,17035,17035
ii. Non-mechanized,0,0,0,0,14,0,132,88,25,116,375,375
b) Other LongLine,0,0,0,0,0,0,48,34,12,46,140,140
SUB-TOTAL,0,0,0,0,42,0,3677,5345,1200,7286,17550,17550
"4. Trammel Net
Fishing",950,0,0,45,0,0,745,330,0,1145,2265,3215
5. Other Gears’ Fishing,1685,0,0,235,0,0,590,200,0,345,1370,3055
TOTAL ARTISANAL,40380,294950,660,64255,177,8818,35672,8387,2771,99680,220420,555750
"GRAND TOTAL
(Industrial + Artisanal)",42816,304566,16814,70749,177,10023,41943,13610,3373,167033,323722,671104
%,6.38,45.38,2.51,10.54,0.03,1.49,6.25,2.03,0.50,24.89,48.24,100.00
