District name,Dec-2023,None,None_1,None_2,None_3,None_4,None_5,None_6
None,With Food,None,None,None,None,None,Without Food,None
None,One meal,None,Two meal,None,Three meal,None,(in TK),None
None,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,579,0,600,0,0,0,607,0
Jhalokathi,601,0,0,0,0,0,686,0
Perojpur,595,0,591,0,0,0,681,360
Bhola,554,0,523,0,0,0,652,0
Patuakhali,610,537,559,500,0,0,650,600
Barguna,650,450,560,0,0,0,650,500
Barishal Division,598,494,567,500,0,0,654,487
Jashore,o,o,o,o,o,o,394,305
Jhenaidah,425,316,444,336,432,0,446,337
Magura,442,300,410,0,377,0,467,320
Narail,451,279,0,0,0,0,502,323
Khulna,0,0,600,500,0,0,565,395
Bagerhat,592,0,590,0,0,0,577,400
Satkhira,0,0,0,0,0,0,467,325
Kushtia,529,0,0,0,0,0,544,0
Chuadanga,350,0,0,0,0,0,400,0
Meherpur,400,0,0,0,0,0,450,0
Khulna Division,455,298,511,418,404,0,481,348
Rajshahi,505,420,504,387,0,0,538,432
Naogaon,456,366,0,0,0,0,504,406
Natore,391,298,450,350,0,0,472,331
Chapai Nawabganj,0,0,0,0,0,0,430,350
Bogura,459,0,445,0,350,0,496,300
Joypurhat,680,484,634,439,599,398,708,510
Pabna,700,0,0,0,0,0,606,400
Sirajganj,0,0,500,0,0,0,453,313
Rajshahi Division,532,392,507,392,475,398,526,380
Rangpur,460,333,0,0,0,0,485,352
Gaibandha,0,0,0,0,0,0,393,283
Kurigram,393,267,0,0,0,0,436,294
Nilphamari,470,287,0,0,0,0,492,303
Lalmonirhat,470,290,420,250,0,0,520,340
Dinajpur,466,373,0,0,0,0,507,414
Thakurgaon,433,342,0,0,0,0,490,375
Panchagar,459,335,0,0,0,0,489,365
Rangpur Division,450,318,420,250,0,0,477,341
BANGLADESH,529,392,502,379,468,374,561,412
