District name,Jan-2024,None,None_1,None_2,None_3,None_4,None_5,None_6
None,With Food,None,None,None,None,None,Without Food,None
None,One meal,None,Two meal,None,Three meal,None,(in TK),None
None,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,579,0,600,0,0,0,607,0
Jhalokathi,597,0,0,0,0,0,675,0
Perojpur,595,0,584,0,0,0,664,450
Bhola,554,0,523,0,0,0,652,0
Patuakhali,605,0,554,0,0,0,654,0
Barguna,595,450,560,0,0,0,650,500
Barishal Division,588,450,564,0,0,0,650,475
Jashore,0,0,0,0,0,0,439,302
Jhenaidah,425,309,447,325,431,0,454,332
Magura,499,0,472,0,377,0,527,0
Narail,408,230,0,0,0,0,452,266
Khulna,560,420,585,400,634,300,591,397
Bagerhat,600,0,595,0,500,0,574,367
Satkhira,0,0,0,0,0,0,462,320
Kushtia,508,0,0,0,0,0,519,0
Chuadanga,366,0,0,0,0,0,412,0
Meherpur,417,0,0,0,0,0,467,0
Khulna Division,473,320,525,363,485,300,490,331
Rajshahi,503,418,497,392,0,0,536,434
Naogaon,462,372,0,0,0,0,507,410
Natore,398,308,450,350,0,0,455,336
Chapai Nawabganj,0,0,450,0,0,0,480,350
Bogura,460,0,443,0,400,0,504,300
Joypurhat,669,344,622,328,581,0,695,372
Pabna,650,0,0,0,0,0,597,350
Sirajganj,0,0,550,0,0,0,485,313
Rajshahi Division,524,361,502,357,491,0,532,358
Rangpur,460,333,0,0,0,0,485,352
Gaibandha,0,0,0,0,0,0,400,300
Kurigram,378,250,0,0,0,0,429,275
Nilphamari,477,293,0,0,0,0,498,313
Lalmonirhat,460,290,420,280,0,0,500,320
Dinajpur,453,356,0,0,0,0,491,392
Thakurgaon,400,300,0,0,0,0,450,340
Panchagar,454,330,0,0,0,0,484,360
Rangpur Division,440,307,420,280,0,0,467,332
BANGLADESH,529,381,507,361,491,352,558,409
