District name,Dec-2024,None,None_1,None_2,None_3,None_4,None_5,None_6
None,With Food,None,None,None,None,None,Without Food,None
None,One meal,None,Two meal,None,Three meal,None,(in TK),None
None,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,586,0,650,0,0,0,650,0
Jhalokathi,632,0,0,0,0,0,700,0
Perojpur,600,0,593,0,0,0,683,0
Bhola,552,0,525,0,0,0,650,0
Patuakhali,663,0,585,500,0,0,744,0
Barguna,600,450,570,0,0,0,640,500
Barishal Division,606,450,585,500,0,0,678,500
Jashore,413,287,350,245,0,0,418,288
Jhenaidah,422,314,412,0,399,0,443,334
Magura,495,0,465,0,402,0,524,0
Narail,518,323,0,0,0,0,562,362
Khulna,640,500,613,456,0,0,653,508
Bagerhat,592,0,595,0,0,0,653,375
Satkhira,384,277,303,250,0,0,400,320
Kushtia,552,0,0,0,0,0,561,0
Chuadanga,375,0,0,0,0,0,438,0
Meherpur,447,275,413,255,0,0,497,325
Khulna Division,484,329,428,302,401,0,515,359
Rajshahi,519,403,517,389,0,0,552,434
Naogaon,484,384,0,0,0,0,532,433
Natore,453,357,400,300,0,0,511,404
Chapai Nawabganj,0,0,0,0,0,0,462,353
Bogura,617,0,533,0,400,0,627,450
Joypurhat,618,352,572,322,500,272,642,376
Pabna,612,0,0,0,0,0,617,400
Sirajganj,0,0,474,0,0,0,500,338
Rajshahi Division,551,374,499,337,450,272,555,399
Rangpur,450,350,0,0,0,0,510,353
Gaibandha,0,0,0,0,0,0,429,300
Kurigram,400,300,0,0,0,0,440,312
Nilphamari,517,350,0,0,0,0,555,382
Lalmonirhat,470,296,430,250,0,0,514,334
Dinajpur,473,373,0,0,0,0,522,422
Thakurgaon,433,342,0,0,0,0,490,380
Panchagar,472,346,0,0,0,0,510,382
Rangpur Division,459,337,430,250,0,0,496,362
BANGLADESH,545,398,506,371,477,362,589,437
