District name,Apr-2024,None,None_1,None_2,None_3,None_4,None_5,None_6
None,With Food,None,None,None,None,None,Without Food,None
None,One meal,None,Two meal,None,Three meal,None,(in TK),None
None,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,583,0,600,0,0,0,610,0
Jhalokathi,586,0,0,0,0,0,669,0
Perojpur,625,0,581,0,0,0,668,400
Bhola,552,0,523,0,0,0,650,0
Patuakhali,608,0,556,0,0,0,663,0
Barguna,595,450,560,0,0,0,640,500
Barishal Division,592,450,564,0,0,0,650,450
Jashore,600,400,0,0,0,0,593,425
Jhenaidah,478,332,485,0,476,0,504,354
Magura,613,380,570,370,560,350,650,400
Narail,493,311,0,0,0,0,536,345
Khulna,565,425,545,415,532,400,690,482
Bagerhat,0,0,630,500,600,375,670,512
Satkhira,0,0,0,0,0,0,480,354
Kushtia,553,0,0,0,0,0,560,0
Chuadanga,375,0,0,0,0,0,425,0
Meherpur,433,0,0,0,0,0,483,0
Khulna Division,514,370,558,428,542,375,559,410
Rajshahi,503,418,505,405,0,0,553,430
Naogaon,487,387,0,0,0,0,525,425
Natore,433,308,398,300,0,0,438,310
Chapai Nawabganj,0,0,440,350,0,0,500,325
Bogura,488,0,448,0,385,0,519,325
Joypurhat,635,372,592,335,0,0,655,390
Pabna,650,0,0,0,0,0,589,300
Sirajganj,0,0,500,0,0,0,517,492
Rajshahi Division,533,371,481,348,385,0,537,375
Rangpur,400,300,0,0,0,0,473,330
Gaibandha,0,0,0,0,0,0,439,283
Kurigram,387,250,0,0,0,0,414,275
Nilphamari,483,300,0,0,0,0,510,327
Lalmonirhat,460,320,415,300,0,0,498,328
Dinajpur,445,367,0,0,0,0,488,402
Thakurgaon,417,353,0,0,0,0,430,350
Panchagar,448,328,0,0,0,0,480,360
Rangpur Division,434,317,415,300,0,0,467,332
BANGLADESH,550,401,523,386,488,379,593,434
