District name,Jun-2024,None,None_1,None_2,None_3,None_4,None_5,None_6
None,With Food,None,None,None,None,None,Without Food,None
None,One meal,None,Two meal,None,Three meal,None,(in TK),None
None,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,583,0,600,0,0,0,612,0
Jhalokathi,591,0,0,0,0,0,669,0
Perojpur,620,0,581,0,0,0,663,400
Bhola,554,0,525,0,0,0,653,0
Patuakhali,608,0,556,0,0,0,664,0
Barguna,600,500,570,0,0,0,640,500
Barishal Division,593,500,566,0,0,0,650,450
Jashore,0,0,0,0,0,0,383,324
Jhenaidah,431,305,443,0,430,0,454,325
Magura,465,350,426,300,243,250,496,400
Narail,475,312,0,0,0,0,522,344
Khulna,514,400,500,0,0,0,488,339
Bagerhat,0,0,602,0,0,0,584,417
Satkhira,0,0,0,0,0,0,460,345
Kushtia,538,0,0,0,0,0,546,0
Chuadanga,375,0,0,0,0,0,425,0
Meherpur,417,0,0,0,0,0,467,0
Khulna Division,459,342,493,300,337,250,482,356
Rajshahi,503,410,513,342,0,0,551,420
Naogaon,487,387,0,0,0,0,515,413
Natore,450,325,390,300,0,0,462,350
Chapai Nawabganj,0,0,0,0,0,0,470,350
Bogura,448,0,438,0,410,0,548,375
Joypurhat,686,392,637,350,606,0,707,412
Pabna,650,0,0,0,0,0,606,350
Sirajganj,0,0,520,0,0,0,464,350
Rajshahi Division,537,379,527,331,508,0,540,378
Rangpur,416,350,0,0,0,0,531,360
Gaibandha,0,0,0,0,0,0,420,317
Kurigram,415,350,0,0,0,0,442,378
Nilphamari,467,300,0,0,0,0,498,315
Lalmonirhat,446,280,415,250,0,0,480,312
Dinajpur,467,387,0,0,0,0,529,442
Thakurgaon,440,360,0,0,0,0,450,360
Panchagar,462,337,0,0,0,0,492,367
Rangpur Division,445,338,415,250,0,0,480,356
BANGLADESH,544,368,516,359,480,353,578,430
