District name,Aug-2024,None,None_1,None_2,None_3,None_4,None_5,None_6
None,With Food,None,None,None,None,None,Without Food,None
None,One meal,None,Two meal,None,Three meal,None,(in TK),None
None,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,586,0,600,0,0,0,629,0
Jhalokathi,618,0,0,0,0,0,686,0
Perojpur,600,0,574,0,0,0,663,420
Bhola,555,0,527,0,0,0,653,0
Patuakhali,663,0,585,0,0,0,744,0
Barguna,595,450,560,0,0,0,640,500
Barishal Division,603,450,572,0,0,0,669,460
Jashore,381,300,369,282,0,0,388,325
Jhenaidah,462,349,460,0,449,0,481,368
Magura,565,450,534,420,475,330,641,470
Narail,526,331,0,0,0,0,573,371
Khulna,592,467,539,0,0,0,680,384
Bagerhat,0,0,579,0,0,0,631,450
Satkhira,374,258,301,250,0,0,456,288
Kushtia,574,0,0,0,0,0,582,0
Chuadanga,375,0,0,0,0,0,425,0
Meherpur,505,300,473,280,0,0,555,350
Khulna Division,481,359,464,317,462,330,541,379
Rajshahi,517,420,513,377,0,0,553,436
Naogaon,461,361,0,0,0,0,510,410
Natore,433,343,450,350,0,0,496,357
Chapai Nawabganj,0,0,0,0,0,0,470,365
Bogura,483,0,414,0,400,0,513,357
Joypurhat,505,331,479,316,400,o,530,365
Pabna,675,0,0,0,0,0,617,350
Sirajganj,0,0,440,0,0,0,449,375
Rajshahi Division,512,364,464,348,400,0,517,377
Rangpur,433,333,0,0,0,0,515,362
Gaibandha,0,0,0,0,0,0,421,300
Kurigram,401,284,0,0,0,0,445,306
Nilphamari,487,300,0,0,0,0,507,320
Lalmonirhat,453,350,415,312,0,0,488,362
Dinajpur,450,370,0,0,0,0,495,404
Thakurgaon,417,326,0,0,0,0,460,370
Panchagar,446,330,0,0,0,0,478,362
RangpurDivision,441,328,415,312,0,0,476,348
BANGLADESH,543,396,505,368,484,360,582,426
