Name of the crops,Loss in production (M.tons/bales) by natural calamities,None,None_1
None,Flood,Cyclone/Joyard,Total
Local Aus,3793.26,-,3793.26
HYV Aus,8758,-,8758
Total Aus,1255.26,-,1255.26
HYVAman,18983,12.69,18995.69
(Broad cast) Aman,5277.49,254,5531.49
Aman Transplant,5103.85,735,5838.85
Jute Local,2487.32,-,2487.32
Jute HYV/Tosha,1729.52,-,1729.52
Jute Mesta,91.86,-,91.86
Jute Fenaf,189.31,-,189.31
Total Jute,4498.01,-,4498.01
Potato,57,-,57
Patal,913.81,-,913.81
Chalkumra,282.98,-,282.98
Brinjal,1056.1,-,1056.1
Cucumber,270.78,-,270.78
Kharif Chilies’,378.39,-,378.39
karala,139.50,-,139.50
Puisak,449.84,-,449.84
Lalsak,191.72,-,191.72
Data,63.92,-,63.92
Chichinga,30.15,-,30.15
Betel leave,692.42,-,692.42
Ladies Finger,61.91,-,61.91
Jhinga,57.76,-,57.76
TIL (Kharif),25.16,-,25.16
Onion,106.84,-,106.84
Mashkali,428.32,-,428.32
Sugar Can,5166,-,5166
Banana,405.72,-,405.72
