Sl. No.,Species,Lower Meghna,Upper Meghna,Lower Padma,Upper Padma,Jamuna,Brahma- Putra,Total Principal River,Other River,Total,%
1,Rui,1411,353,367,270,189,248,2838,2358,5196,1.30
2,Catla,902,199,223,180,143,202,1849,1500,3349,0.84
3,Mrigal,799,160,191,77,133,176,1536,989,2525,0.63
4,Kalibaus,27,68,109,58,71,160,493,626,1119,0.28
5,Bata,5622,86,0,0,10,0,5718,527,6245,1.56
6,Ghania,0,66,0,0,0,0,66,73,139,0.03
7,Pangas,3438,71,111,236,0,0,3856,207,4063,1.01
8,Boal/Ayre,3316,303,453,249,320,519,5160,1503,6663,1.66
9,Shol/Gazar/Taki,0,0,0,0,0,0,0,1274,1274,0.32
10,Koi,0,0,0,0,0,0,0,259,259,0.06
11,Shingi/Magur,0,0,0,0,0,0,0,155,155,0.04
12,Sarpunti,86,35,244,0,0,0,365,156,521,0.13
13,Cuchia,0,0,0,0,0,0,0,3239,3239,0.81
14,Other Inland Fish,21193,6122,5559,5763,5407,5724,49768,44821,94589,23.61
15,Hilsa/Ilish,187934,843,5103,517,484,152,195033,53081,248114,61.92
16,Galda,2924,201,155,29,45,90,3444,640,4084,1.02
17,Bagda,0,0,0,0,0,0,0,189,189,0.05
18,Harina,0,0,0,0,0,0,0,3606,3606,0.90
19,Chaka,0,0,0,0,0,0,0,381,381,0.09
20,"Other small
shrimp/prawn",3511,375,367,243,515,990,6001,8990,14991,3.74
TOTAL,None,231163,8882,12882,7622,7317,8261,276127,124574,400701,100
