Year,Capture,None,None_1,None_2,None_3,Culture,None_4,None_5,None_6,None_7,None_8,None_9,Marine,None_10,Total,Growth Rate (%)
None,River,"Sundar
bans",Beel,"Kaptai
Lake","Flood
Plain",Pond,"Seasonal
Cultured
Waterbody",Baor,Shrimp,Crab,"Pen
Culture","Cage
Culture","Marine
Industrial","Marine
Artisanal",None,None
2008-09,138160,18462,79200,8590,843671,912178,-,5038,145585,-,-,-,35429,479215,2701370,5.39
2009-10,141148,20437,79209,7336,781807,1140484,46902,8727,155866,-,-,-,34182,483100,2899198,7.32
2010-11,144566,22451,81564,8980,797024,1219736,51230,4864,184939,-,-,-,41665,504668,3061687,5.6
2011-12,145613,21610,85208,8537,696127,1392412,132163,5186,196306,-,-,-,73386,505234,3261782,6.54
2012-13,147264,15945,87902,9017,701330,1446594,200833,6146,206235,-,-,-,73030,515958,3410254,4.55
2013-14,167373,18366,88911,8179,712976,1526160,193303,6514,216447,-,13054,1447,76885,518500,3548115,4.04
2014-15,174878,17580,92678,8645,730210,1613240,201280,7267,223582,-,13070,1969,84846,515000,3684245,3.84
2015-16,178458,16870,95453,9589,747872,1719783,207658,7729,239798,13160,13364,2062,105348,521180,3878324,5.27
2016-17,271639,18086,98117,9982,765782,1833118,215547,8002,246406,14421,13368,2490,108479,528997,4134434,6.6
2017-18,320598,18225,99197,10152,768367,1900298,216353,8072,254367,11787,11015,3523,120087,534600,4276641,3.44
2018-19,325478,18282,99890,10578,781481,1974632,217340,10343,258039,12084,12361,3802,107236,552675,4384221,2.52
2019-20,331793,21007,103104,12696,779801,2046258,225948,10969,270114,12562,13425,4590,115354,555750,4503371,2.72
2020-21,337051,21544,104871,12345,825433,2090787,226608,11319,278417,12337,14282,4995,119121,562118,4621228,2.62
2021-22,342545,24259,105573,17937,831317,2166715,231692,11685,287497,13397,15063,5021,137170,568860,4758731,2.98
2022-23,389035,26047,108625,17056,842520,2272667,231582,12158,301103,12881,16402,5254,146037,533348,4914715,3.28
2023-24,400701,28888,110817,19253,852137,2368741,246686,12893,315387,10782,18123,5452,114804,513819,5018483,2.11
