Table: 2.2.1 Indices of Area and Production of Crops (Base: 1984-85=100),None,None,None,None,None,None,None,None,None,None
Crops,Area,None,None,None,None,Production,None,None,None,None
None,2019-20,2020-21,2021-22,2022-23,2023-24,2019-20,2020-21,2021-22,2022-23,2023-24
CEREALS,None,None,None,None,None,None,None,None,None,None
Aus,37,44,39,36,35,99,118,108,104,107
Aman,97,98,100,700,128,179,182,188,195,249
Boro,302,304,306,308,310,503,509,516,531,539
Wheat,49,49,47,47,46,70,74,74,80,80
Barley/Jab,05,07,07,.07,01,.89,1,01,01,01
Jower(Rabi),04,03,04,07,01,6,05,06,-,-02
Maize,12505,12720,12678,13167,13647,122792,125885,130332,139526,149111
Cheena & Kaon,02,03,03,02,02,02,04,03,03,03
Binnidana,-,-,-,-,-,-,-,-,-,-
PULSES,None,None,None,None,None,None,None,None,None,None
Gram,04,04,04,07,04,06,06,06,06,06
Arhar,06,06,06,09,05,08,09,08,08,07
Masur,61,63,62,107,53,108,113,116,120,113
Motor,37,33,32,50,30,59,54,54,52,53
Mung,77,74,77,97,82,106,118,119,130,128
Mashkalai,49,54,55,78,53,63,69,72,75,72
Khesari,45,47,48,64,45,65,72,72,71,71
Gari Kalai,08,06,06,17,05,12,09,08,08,07
OIL SEEDS,None,None,None,None,None,None,None,None,None,None
Til,39,41,39,39,36,69,70,67,66,65
Rape & Mastard,80,86,86,80,120,126,139,144,192,223
Ground nut,116,124,143,116,139,192,210,235,237,238
Linseed,07,08,08,07,07,08,10,10,10,09
Castor,-,-,-,-,-,-,-,-,-,-
Coconut,118,,97,118,86,496,485,496,486,482
Soyabean,-,-,-,-,-,-,-,-,-,-
SPICES & CONDIMENTS,None,None,None,None,None,None,None,None,None,None
Chillies,134,139,136,334,137,,1101,1396,1480,1672
Onion,543,570,603,1281,610,1389,1613,1789,1810,2073
Garlic,1357,1344,1332,1169,556,1217,1257,1321,1376,1323
Turmeric,220,175,95,502,177,974,741,790,817,831
Ginger,165,165,167,202,167,214,206,207,211,210
Coriander,325,448,457,792,446,911,884,914,917,965
SUGAR CROPS,,None,None,None,None,None,None,None,None,None
Sugarcane,53,48,44,43,42,54,48,45,43,43
FIBRES,None,None,None,None,None,None,None,None,None,None
Jute,100,100,107,108,107,157,151,165,165,187
Cotton,101,129,105,95,94,344,358,249,233,236
Sunhemp,02,01,01,01,01,01,01,01,01,01
DRUGS & NARCOTICS,None,None,None,None,None,None,None,None,None,None
Tea,133,123,127,128,132,237,238,246,246,266
Tobacco,78,78,78,73,79,174,180,187,176,198
Betel nut,76,135,113,114,115,1448,1523,1470,1505,1568
Betel Leaves,176,180,88,88,173,347,347,334,342,329
FRUITS (TEMPORARY),None,None,None,None,None,None,None,None,None,None
Banana,122,122,123,117,123,119,120,120,122,118
Pineapple,113,104,99,158,98,166,158,157,149,159
Crops,Area,None,None,None,None,Production,None,None,None,None
None,2019-20,2020-21,2021-22,2022-23,2023-24,2019-20,2020-21,2021-22,2022-23,2023-24
Water Melon,126,170,245,183,313,206,280,445,449,511
FRUITS (Permanent),None,None,None,None,None,None,None,None,None,None
Mango,210,256,274,717,350,751,747,742,912,1133
Jack Fruit,74,81,138,486,205,452,495,474,480,463
Papaya,109,102,218,482,214,479,461,540,533,536
Litchi,364,199,251,934,259,803,865,922,1039,978
Ber,660,662,297,1700,362,1950,1608,1413,1442,1501
Guava,786,684,530,1796,532,501,1814,1821,1905,1918
Orange,97,97,123,157,123,151,176,167,170,186
Pomelo,725,320,293,938,293,1115,1083,1051,988,981
Lime & Lemon,2881,2988,609,1063,379,928,1293,1512,1584,1689
Winter Vegetables,None,None,None,None,None,None,None,None,None,None
Rabi Brinjal,190,191,198,299,197,313,323,343,374,407
Rabi Pumpkin,317,321,328,499,329,531,562,598,592,677
Cauliflower,293,303,305,455,314,469,357,567,573,712
Cabbage,293,296,286,504,286,602,596,619,662,705
Water gourd,318,325,322,468,324,504,507,571,572,631
Tomato,299,309,326,237,326,580,625,617,655,686
Radish,163,169,170,215,167,217,239,244,258,285
Beans,397,355,411,442,408,557,567,558,748,743
Palong sak,202,347,345,404,343,431,439,449,460,485
Summer Vegetables,None,None,None,None,None,None,None,None,None,None
Kharif Pumpkin,350,310,315,521,311,634,654,676,727,734
Kharif Brinjal,220,221,220,308,222,355,389,402,452,463
Patal,320,319,316,461,319,490,533,598,680,711
Lady's finger,448,473,488,742,492,739,928,11126,1268,1309
Jhinga,272,279,317,313,288,328,349,472,471,505
Karala,332,324,350,452,352,463,462,510,518,665
Chalkumra,306,315,320,381,324,412,449,480,519,532
Cucumber,375,388,399,573,401,725,803,874,950,967
Pui sak,619,620,645,843,650,909,1009,1055,1111,1296
Chichinga,404,397,405,414,408,475,510,534,575,595
Danta,377,385,353,560,392,573,647,663,674,687
Barbati,342,351,356,457,358,506,593,7.5,747,760
OTHER FOOD,None,None,None,None,None,None,None,None,None,None
Potato,415,421,409,840,412,829,853,875,900,914
Sweet Potato,40,43,452,36,45,36,41,44,44,44
OTHER NON-FOOD,None,None,None,None,None,None,None,None,None,None
Fodder,-,-,-,-,335,-,-,-,-,983
Mulberry,36,39,26,672,26,663,766,739,575,496
