District/ Division,None,2021-22,None,2022-23,None,2023-24,None
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0,0,0,0,0,0
2,Barishal,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
Barishal Division,,0,0,0,0,0,0
7,Bandarban,44.20,21.54,44.80,21.86,44.80,21.86
8,Brahmanbaria,0,0,0,0,0,0
9,Chandpur,0,0,0,0,0,0
10,Chattogram,0,0,0,0,0,0
11,Cumilla,0,0,0,0,0,0
12,Cox’s Bazar,0,0,0,0,0,0
13,Feni,0,0,0,0,0,0
14,Khagrachari,0,0,0,0,0,0
15,Lakshmipur,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0
17,Rangamati,0,0,0,0,0,0
Chattogram Division,,44.20,21.54,44.80,21.86,45.70,22.32
18,Dhaka,0,0,0,0,0,0
19,Faridpur,0,0,0,0,0,0
20,Gazipur,0,0,0,0,0,0
21,Gopalganj,0,0,0,0,0,0
22,Kishoreganj,0,0,0,0,0,0
23,Madaripur,0,0,0,0,0,0
24,Manikganj,0,0,0,0,0,0
25,Munshiganj,0,0,0,0,0,0
26,Narayanganj,0,0,0,0,0,0
27,Narsingdi,0,0,0,0,0,0
28,Rajbari,0,0,0,0,0,0
29,Shariatpur,0,0,0,0,0,0
30,Tangail,0,0,0,0,0,0
Dhaka Division,,0,0,44.80,21.86,45.70,22.32
31,Bagerhat,0,0,0,0,0,0
32,Chuadanga,0,0,0,0,0,0
33,Jashore,0,0,0,0,0,0
34,Jhenaidah,0,0,0,0,0,0
35,Khulna,0,0,0,0,0,0
36,Kushtia,0,0,0,0,0,0
