Name of Crops,2021-22,None,2022-23,None_1,2023-24,None_2
None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
Gram,10712.66,4846.62,9972.05,4664.50,9751.15,5047.98
Arhar,1071.46,454.42,1011.98,422.50,906.92,384.00
Lentil (Masur),356946.10,190743.61,334429.60,196829.24,308608.85,184818.82
Pea (Motor),18276.65,8131.99,17237.51,7707.47,17026.73,7994.24
Green gram (Mug),113909.14,41548.48,112709.60,45565.80,121276.83,44640.93
Black gram (Mashkalai),102219.95,39005.33,101790.36,40907.40,98294.35,39283.82
Kheshari,290902.15,131908.45,271794.00,129015.32,269630.48,130049.83
Fallon,30714.45,15474.35,30031.45,13797.07,30931.97,16655.94
Garikalai,1232.98,373.87,1217.86,370.10,1189.87,355.84
Other pulses,-,-,-,-,-,-
Total,925985.5,432487.1,880194.41,439279.4,857617.15,429231.4
