Name of Crops,2021-22,None,2022-23,None_1,2023-24,None_2
None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
"Sesame (Till) (Rabi &
Kharif)",81660.13,31060.23,78474.14,30714.68,75946.35,29996.83
"Rape & Mustard (Local &
HYV)",817235.05,409659.06,946632.07,547425.32,1144063.18,637745.13
Groundnut (Rabi & Kharif),99504,74748.67,97875.51,75030.85,96569.42,75363.61
Sub-Total,998399.2,515467.96,1122981.72,653170.85,1313990.69,743105.57
Linseed,12825.27,3735.24,12029.15,3582.26,11281.19,3419.63
Soya bean,144712.75,98646.06,145582.25,107307.59,141371.15,106833.47
Coconut,74028.00,411969.56,74755.47,403657.65,65038.11,400391.76
Sunflower,5243.83,2728.99,6362.37,3622.11,6908.31,3895.16
Sub-Total,236809.9,517079.9,238729.24,518169.61,224598.80,514540.00
Grand-Total,1235209,1032547.86,1361710.96,1171340.46,1538589.49,1257645.57
