Name of Crops,2021-22,None,2022-23,None_1,2023-24,None_2
None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
Chili (Kharif),50291.18,128602.24,51499.92,155346.03,53161.09,186404.33
Chili (Rabi),192709.69,496223.53,188888.78,507200.88,191521.12,561927.16
Onion,507557.05,2517070.76,502909.23,2546994.26,513526.97,2917354.26
Garlic,178435.56,526819.16,177114.66,548907.16,174515.45,527665.18
Turmeric,65361.42,232219.80,66054.78,240026.13,65856.96,244124.09
Ginger,25770.41,82152.73,25687.70,83726.18,25668.22,83174.87
Coriander seed,50956.97,22249.89,50196.17,22336.02,49836.30,23505.85
Coriander Leaf,9212.00,7836.32,9578.75,8712.26,9972.96,9194.55
Cassia Leaf,1167.21,1484.29,1145.02,1501.22,1137.01,1646.91
Capsicum,48.87,151.38,94.35,287.51,111.03,324.47
Black cumin,2733.09,1343.89,2825.48,1365.16,2896.15,1410.53
Methi,348.42,197.63,328.38,181.10,239.12,135.08
Mint,25.43,63.55,46.33,98.22,34.25,86.37
Joyeen,27.35,9.80,23.15,7.25,9.94,2.51
Total,1084644.65,4016424.97,1076392.7,4116689.38,1257182.09,6941301.23
