District/ Division,None,2022-23,None,None,None,None,2023-24,None,None,None,None
,,Area,,Yield Rate,,"Product
ion",Area,,Yield Rate,,"Producti
on"
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)","(M.
Ton)",Acres,Hectors,"Acre
s
(Maun
d)","Hector
s
(M.
Ton)",(M. Ton)
1,Barguna,18940,7665,35.81,3.303,25317,24780,10028,36.20,3.339,33484
2,Barishal,61319,24826,40.71,3.753,93180,69949,28319,40.59,3.742,105981
3,Bhola,90463,36610,45.16,4.165,152494,91411,36994,45.60,4.206,155593
4,Jhallokati,27897,11290,37.81,3.487,39372,25667,10387,38.10,3.514,36503
5,Patuakhali,3807,1541,36.71,3.386,5217,3901,1579,36.82,3.396,5362
6,Pirojpur,30443,12320,39.10,3.606,44432,32167,13018,39.85,3.676,47848
Barishal Division,,232869,94251,41.42,3.820,360012,247875,100325,41.59,3.835,384771
7,Bandarban,8206,3321,37.71,3.478,11551,7510,3039,38.39,3.541,10762
8,Brahmanbaria,247878,100315,41.45,3.823,383522,248737,100662,42.08,3.881,390700
9,Chandpur,131968,53407,33.12,3.055,163149,129800,52529,34.19,3.154,165654
10,Chattogram,114196,46215,41.73,3.849,177880,116584,47181,41.69,3.845,181425
11,Cumilla,317418,128509,44.41,4.095,526186,323206,130853,43.87,4.045,529266
12,Cox’s Bazar,96899,39215,45.33,4.181,163958,98999,40064,44.43,4.098,164185
13,Feni,62347,25231,36.35,3.353,84596,64448,26082,36.23,3.342,87158
14,Khagrachari,17113,6926,40.44,3.730,25833,17182,6953,40.97,3.779,26276
15,Lakshmipur,46303,18746,35.93,3.313,62100,45436,18395,36.10,3.328,61226
16,Noakhali,33476,13548,48.78,4.499,60954,32541,13169,49.16,4.534,59713
17,Rangamati,9420,3812,42.51,3.921,14947,9553,3866,43.51,4.013,15515
Chattogram Division,,1085225,439244,41.34,3.813,1674677,1093996,442795,41.43,3.821,1691881
18,Dhaka,104232,42182,50.01,4.613,194574,103217,41771,50.53,4.661,194683
19,Faridpur,48632,19681,50.44,4.652,91564,48212,19511,51.24,4.726,92213
20,Gazipur,116217,47051,46.59,4.296,202111,115869,46892,47.22,4.355,204230
21,Gopalganj,58829,23817,53.10,4.896,116604,57697,23350,54.08,4.988,116471
22,Kishoreganj,303377,122775,44.02,4.060,498494,299401,121166,44.50,4.104,497325
23,Madaripur,65790,26625,46.46,4.285,114095,65018,26312,45.85,4.229,111276
24,Manikganj,110680,44792,54.20,4.999,223921,107986,43701,54.15,4.995,218270
25,Munshiganj,53128,21501,44.73,4.126,88705,53048,21468,44.03,4.061,87186
26,Narayanganj,46702,18900,44.32,4.088,77261,46316,18744,46.02,4.245,79562
27,Narsingdi,128878,52177,41.10,3.789,197718,127438,51573,41.17,3.797,195843
28,Rajbari,26496,10723,48.81,4.502,48274,26576,10755,48.10,4.437,47716
29,Shariatpur,53980,21845,48.54,4.477,97805,50658,20501,49.02,4.521,92693
30,Tangail,354805,143588,46.72,4.309,618757,354548,143484,47.04,4.339,622543
Dhaka Division,,1471745,595657,46.78,4.314,2569883,1455984,589229,47.10,4.345,2560010
31,Bagerhat,20560,8321,41.43,3.821,31795,19538,7907,41.15,3.796,30011
32,Chuadanga,85159,34463,44.37,4.093,141042,84985,34393,44.25,4.081,140373
33,Jashore,323499,130918,48.92,4.512,590727,320137,129558,48.82,4.503,583393
34,Jhenaidah,198587,80400,46.03,4.244,341208,199086,80569,46.82,4.318,347936
35,Khulna,56097,22711,38.86,3.583,81371,50204,20317,41.50,3.828,77770
36,Kushtia,75181,30425,44.71,4.124,125470,74179,30020,46.59,4.297,129003
37,Magura,69576,28168,42.78,3.944,111103,70127,28380,42.78,3.946,111983
38,Meherpur,39417,15952,42.22,3.894,62120,39369,15932,44.15,4.072,64880
