District/ Division,None,2021-23,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0,0,0.00,0.00,0.00,0.00
2,Barishal,0,0,0.00,0.00,0.00,0.00
3,Bhola,0,0,0.00,0.00,0.00,0.00
4,Jhallokati,0,0,0.00,0.00,0.00,0.00
5,Patuakhali,0,0,0.00,0.00,0.00,0.00
6,Pirojpur,0,0,0.00,0.00,0.00,0.00
Barishal Division,None,0,0,0.00,0.00,0.00,0.00
7,Bandarban,413.5,345,423.50,353.15,427.50,356.65
8,Brahmanbaria,34.30,68.09,123.20,244.80,123.40,245.44
9,Chandpur,1486.15,3367.58,1586.20,4137.80,1587.30,4116.90
10,Chattogram,0,0,0.00,0.00,0.00,0.00
11,Cumilla,0,0,0.00,0.00,0.00,0.00
12,Cox’s Bazar,0,0,0.00,0.00,0.00,0.00
13,Feni,170.13,486.99,0.00,0.00,0.00,0.00
14,Khagrachari,422.06,473.37,432.14,478.24,455.99,508.87
15,Lakshmipur,155,279,0.00,0.00,0.00,0.00
16,Noakhali,0,0,0.00,0.00,0.00,0.00
17,Rangamati,468.85,621.51,476.46,624.00,478.81,622.79
Chattogram Division,None,3149.99,5641.54,3041.50,5837.99,3073.00,5850.65
18,Dhaka,3003,8411,2851.00,8045.14,2610.00,7015.20
19,Faridpur,0,0,7.50,25.90,382.30,1126.04
20,Gazipur,152.57,381.27,28.96,107.93,36.45,137.00
21,Gopalganj,22.20,55.50,23.10,58.91,23.10,58.91
22,Kishoreganj,0,0,0.00,0.00,0.00,0.00
23,Madaripur,0,0,0.00,0.00,0.00,0.00
24,Manikganj,14417,32374.66,14875.00,35819.10,14775.10,37999.86
25,Munshiganj,9750,22871.94,9721.00,23108.55,9969.00,24573.49
26,Narayanganj,0,0,64.00,201.00,108.00,290.89
27,Narsingdi,0,0,0.00,0.00,0.00,0.00
28,Rajbari,36,85,32.00,78.40,126.00,468.40
29,Shariatpur,30,68,32.00,70.00,35.00,79.00
30,Tangail,0,0,0.00,0.00,0.00,0.00
Dhaka Division,None,27410.77,64247.37,27634.56,67514.93,28064.95,71748.79
31,Bagerhat,0,0,0.00,0.00,0.00,0.00
32,Chuadanga,41,84,22.50,40.00,12.50,23.70
33,Jashore,24,92,0.00,0.00,0.00,0.00
34,Jhenaidah,30,44,69.00,108.00,188.00,2289.00
35,Khulna,3,6.63,26.21,67.05,26.37,67.31
36,Kushtia,669,1732,843.00,2242.00,1563.00,4150.00
37,Magura,0,0,0.00,0.00,9.53,30.09
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,0,0,0.00,0.00,0.00,0.00
39,Narail,0,0,0.00,0.00,0.00,0.00
40,Satkhira,0,0,0.00,0.00,0.00,0.00
Khulna Division,None,767,1958.63,960.71,2457.05,1799.40,6560.10
41,Jamalpur,60,187,57.00,175.00,63.00,196.00
42,Mymensingh,35,114,103.00,295.00,234.00,1355.00
43,Netrokona,0,0,0.00,0.00,0.00,0.00
44,Sherpur,134,463,120.00,431.00,118.00,425.00
Mymensingh Division,None,229,764,280.00,901.00,415.00,1976.00
45,Bogura,643,1710.32,797.61,2163.28,1130.12,3846.24
46,Joypurhat,0,0,0.00,0.00,6.20,14.66
47,Naogaon,2221,5399.10,2534.87,6315.27,1803.84,4523.59
48,Natore,18714,55880,18690.00,56298.51,21435.00,66062.76
49,Chapai Nawabganj,2278.02,4188.69,2305.00,4268.04,3567.75,10340.15
50,Pabna,95,260.27,98.50,300.37,99.00,300.00
51,Rajshahi,22093.33,60695.54,18565.84,51330.85,25279.06,76373.04
52,Sirajganj,325.04,849.43,326.40,865.06,471.50,1254.00
Rajshahi Division,None,46369.39,128983.35,43318.22,121541.38,53792.47,162714.44
53,Dinajpur,14526,43133,14825.00,44987.41,18169.00,58954.30
54,Gaibandha,1268,4234,1587.00,5538.40,1030.00,3264.40
55,Kurigram,6814,21876.63,6579.00,20437.35,5926.00,16703.60
56,Lalmonirhat,17919.25,54467.32,18616.00,55958.37,18458.00,56030.79
57,Nilphamari,4060,13686.81,4022.00,13440.56,3841.00,12692.29
58,Panchagar,2710,9373.50,3252.00,11443.35,3200.00,11420.80
59,Rangpur,20953,65599,20532.00,63338.00,19979.00,62869.00
60,Tahkurgaon,51107,134086.52,50743.00,145323.75,53658.00,159059.80
Rangpur Division,None,119357.25,346456.78,120156.00,360467.19,124261.00,380994.98
61,Habigonj,0,0,0.00,0.00,0.00,0.00
62,Moulvibazar,0,0,0.00,0.00,0.00,0.00
63,Sunamganj,0,0,0.00,0.00,0.00,0.00
64,Sylhet,0,0,0.00,0.00,0.00,0.00
Sylhet Division,None,0,0,0.00,0.00,0.00,0.00
BANGLADESH,None,197283.40,548051.67,195390.99,588719.54,211405.82,629844.96
