District/ Division,None,2021-22,None,2022-23,None,2023-24,None
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,,180.00,110,156.00,72.00,104.00
2,Barishal,1094.00,2459.00,1114..00,2242.00,1316.00,8983.00
3,Bhola,1940.00,4966.00,1871.00,4917.00,1916.00,5062.00
4,Jhallokati,1078.00,1874.00,1080.00,2216.00,1085.00,2174.00
5,Patuakhali,0.00,0.00,144.15,367.00,147.00,366.00
6,Pirojpur,642.00,1186.00,645.00,1196.00,643.00,1195.00
Barishal Division,,4881.00,10665.00,4964.15,11094.00,5179.00,17884.00
7,Bandarban,377.00,551.00,379.50,554.60,382.70,559.09
8,Brahmanbaria,248.00,428.00,1164.60,2475.70,1380.80,2950.58
9,Chandpur,12743.00,35942.00,9733.70,28379.50,9734.67,28395.95
10,Chattogram,110.00,248.00,137.74,351.36,250.10,602.40
11,Cumilla,23309.00,57116.00,24054.00,54813.10,24045.00,54824.10
12,Cox’s Bazar,200.00,425.00,200.35,424.94,201.13,425.22
13,Feni,185.00,535.00,186.50,675.00,189.00,685.00
14,Khagrachari,1102.00,2407.00,1114.27,2305.43,1125.39,2285.31
15,Lakshmipur,137.00,320.00,144.00,326.00,148.00,322.76
16,Noakhali,387.00,1203.00,396.02,1297.12,395.87,1263.61
17,Rangamati,545.00,1265.00,541.60,1219.58,530.17,1210.96
Chattogram Division,,39343.00,100440.00,38052.28,92822.33,38382.83,93524.98
18,Dhaka,10255.00,29527.93,10242.50,28846.88,10198.20,28571.00
19,Faridpur,800.00,1856.35,937.10,3129.60,1041.00,3443.00
20,Gazipur,75.00,294.00,38.00,179.00,32.17,117.85
21,Gopalganj,86.17,247.61,91.40,268.64,118.90,323.54
22,Kishoreganj,15318.29,51557.96,18205.37,63560.32,18881.21,65186.78
23,Madaripur,584.00,2205.75,693.17,2622.19,853.15,3217.38
24,Manikganj,39095.73,132074.57,40017.70,139538.40,40458.00,141337.74
25,Munshiganj,568.01,1489.76,1042.50,3021.59,1269.17,3013.26
26,Narayanganj,145.07,461.92,220.97,723.19,216.49,708.08
27,Narsingdi,41.70,106.67,57.79,157.10,60.04,159.62
28,Rajbari,275.00,810.00,527.00,1626.00,652.50,2226.90
29,Shariatpur,37.70,117.00,39.20,125.40,557.30,1889.20
30,Tangail,8630.94,22300.82,10227.81,33715.24,11306.93,37662.54
Dhaka Division,,75912.61,243050.34,82340.51,277513.55,85645.06,287856.89
31,Bagerhat,404.00,915.45,530.00,1240.00,539.50,1434.00
32,Chuadanga,115435.00,488639.00,118217.00,555076.00,118567.00,535181.00
33,Jashore,1205.00,4065.00,1396.00,4758.00,1810.00,6156.00
34,Jhenaidah,46006.00,179256.96,43922.00,183406.40,44530.00,199724.60
35,Khulna,204.17,618.07,289.75,856.02,399.99,1171.49
36,Kushtia,23133.00,93691.00,25309.00,62440.00,28158.00,126830.00
