District/ Division,None,2021-22,None,2022-23,None,2023-24,None
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0.00,0.00,0.00,0.00,0.00,0.00
2,Barishal,0.00,0.00,0.00,0.00,0.00,0.00
3,Bhola,54.00,34.00,55.00,36.00,53.00,35.00
4,Jhallokati,0.00,0.00,0.00,0.00,0.00,0.00
5,Patuakhali,0.00,0.00,0.00,0.00,0.00,0.00
6,Pirojpur,0.00,0.00,0.00,0.00,0.00,0.00
Barishal Division,,54.00,34.00,55.00,36.00,53.00,35.00
7,Bandarban,118.70,25.70,118.00,25.56,117.40,25.43
8,Brahmanbaria,0.00,0.00,0.00,0.00,0.0,0.00
9,Chandpur,41.15,15.17,37.50,22.09,25.79,15.00
10,Chattogram,0.00,0.00,0.00,0.00,0.00,0.00
11,Cumilla,0.00,0.00,0.00,0.00,0.00,0.00
12,Cox’s Bazar,0.00,0.00,0.00,0.00,0.00,0.00
13,Feni,0.00,0.00,0.00,0.00,0.00,0.00
14,Khagrachari,0.00,0.00,10.00,5.45,12.00,6.95
15,Lakshmipur,1.60,0.36,1.70,0.39,1.85,0.42
16,Noakhali,2.72,0.37,2.44,0.29,1.82,0.20
17,Rangamati,21.30,11.53,18.85,9.85,16.05,7.99
Chattogram Division,,185.47,53.13,188.49,63.63,174.91,55.99
18,Dhaka,0.00,0.00,0.00,0.00,0.00,0.00
19,Faridpur,0.00,0.00,0.00,0.00,0.00,0.00
20,Gazipur,0.00,0.00,0.00,0.00,0.00,0.00
21,Gopalganj,0.00,0.00,0.00,0.00,0.00,0.00
22,Kishoreganj,0.00,0.00,0.00,0.00,0.00,0.00
23,Madaripur,38.04,16.82,51.52,14.06,28.78,12.24
24,Manikganj,7.50,1.50,6.00,1.26,3.00,0.54
25,Munshiganj,0.00,0.00,49.60,23.62,48.20,24.61
26,Narayanganj,0.00,0.00,0.00,0.00,0.00,0.00
27,Narsingdi,0.50,0.11,1.05,0.23,1.05,0.40
28,Rajbari,0.00,0.00,0.00,0.00,0.00,0.00
29,Shariatpur,0.00,0.00,0.00,0.00,0.00,0.00
30,Tangail,0.00,0.00,6.00,2.03,3.90,1.28
Dhaka Division,,46.04,18.43,114.17,41.20,84.93,39.07
31,Bagerhat,0.00,0.00,0.00,0.00,0.00,0.00
32,Chuadanga,0.00,0.00,0.00,0.00,0.00,0.00
33,Jashore,0.00,0.00,0.00,0.00,0.00,0.00
34,Jhenaidah,0.00,0.00,0.00,0.00,0.00,0.00
35,Khulna,0.00,0.00,0.00,0.00,0.00,0.00
36,Kushtia,0.00,0.00,0.00,0.00,0.00,0.00
37,Magura,0.00,0.00,0.00,0.00,0.00,0.00
