District/ Division,None,2021-22,None,2022-23,None,2023-24,None
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,177.00,63.00,56.00,45.00,65.00,58.00
2,Barishal,3316.00,1802.00,3269.00,13567.00,2820.00,13382.00
3,Bhola,1478.00,671.00,1483.00,781.00,1426.00,749.00
4,Jhallokati,689.00,335.00,717.00,350.00,781.00,388.00
5,Patuakhali,588.00,209.84,612.00,219.00,587.00,210.00
6,Pirojpur,79.00,43.00,89.00,47.00,77.00,47.00
Barishal Division,,6327.00,3123.84,6226.00,15009.00,5756.00,14834.00
7,Bandarban,27.60,10.27,30.10,11.20,30.50,11.30
8,Brahmanbaria,2834.34,879.54,1356.75,431.92,1273.55,391.21
9,Chandpur,570.75,281.78,572.00,284.57,568.65,287.90
10,Chattogram,263.13,82.47,228.69,61.30,199.68,49.32
11,Cumilla,692.30,261.06,693.50,262.30,699.00,266.00
12,Cox’s Bazar,0.00,0.00,0.00,0.00,0.00,0.00
13,Feni,1124.25,515.45,1126.00,587.60,1142.00,611.40
14,Khagrachari,79.00,25.00,68.80,17.75,68.00,17.00
15,Lakshmipur,65.80,23.00,67.70,23.22,63.70,21.84
16,Noakhali,86.60,31.98,96.80,38.22,107.05,44.47
17,Rangamati,74.35,27.63,68.82,23.90,68.65,24.00
Chattogram Division,,5818.12,2138.18,4309.16,1741.98,4220.78,1724.44
18,Dhaka,591.94,269.55,578.21,278.17,521.75,241.65
19,Faridpur,38893.00,27077.70,39889.00,27503.23,40170.00,27401.45
20,Gazipur,164.60,64.53,160.26,64.63,158.80,64.19
21,Gopalganj,9902.40,4244.18,9875.60,4142.84,9659.80,4090.02
22,Kishoreganj,253.36,103.39,248.70,95.12,240.51,93.75
23,Madaripur,12072.00,5668.11,11715.00,5471.80,10003.00,5160.17
24,Manikganj,1978.77,895.07,1847.97,861.03,1483.47,644.25
25,Munshiganj,34.50,12.87,31.30,11.34,29.70,10.72
26,Narayanganj,238.12,67.70,241.54,98.08,204.99,80.19
27,Narsingdi,48.12,14.50,48.35,14.66,50.58,14.33
28,Rajbari,15900.00,15420.00,16764.00,15028.46,16175.00,14764.70
29,Shariatpur,5514.00,2852.00,5551.00,2931.00,5060.00,2732.00
30,Tangail,2718.01,773.79,2732.00,848.00,2726.08,865.47
Dhaka Division,,88308.82,57463.39,89682.93,57348.36,86483.68,56162.89
31,Bagerhat,1504.00,490.55,1397.00,494.80,1211.00,429.31
32,Chuadanga,4464.00,1850.88,4419.50,2209.36,4002.00,2348.08
33,Jashore,24815.00,11509.64,18254.50,8361.17,13616.00,6126.00
34,Jhenaidah,28380.00,15970.00,28886.00,16742.54,28594.00,16603.02
35,Khulna,218.77,72.05,218.16,72.10,220.76,72.85
36,Kushtia,25958.00,15254.00,24650.00,14517.00,18897.00,11813.00
37,Magura,31799.00,11362.40,29441.00,11062.07,29205.00,11458.40
