District/ Division,None,2021-22,None,2022-23,None,2023-24,None
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,15.00,11.00,5291.00,2135.00,18.00,17.00
2,Barishal,0.00,0.00,27576.00,14794.00,0.00,0.00
3,Bhola,0.00,0.00,31682.70,15524.11,0.00,0.00
4,Jhallokati,34.00,11.00,4591.00,1647.00,31.00,11.00
5,Patuakhali,0.00,0.00,6534.84,3238.98,0.00,0.00
6,Pirojpur,0.00,0.00,6142.00,2589.00,0.00,0.00
Barishal Division,,49.00,22.00,81817.54,39928.09,49.00,28.00
7,Bandarban,66.70,24.73,0.00,0.00,66.40,24.61
8,Brahmanbaria,46.30,17.08,705.00,306.81,42.38,15.42
9,Chandpur,90.79,55.84,434.49,212.65,93.74,55.34
10,Chattogram,131.38,45.92,2709.12,820.63,131.83,46.08
11,Cumilla,51.00,28.30,706.20,323.00,56.00,30.00
12,Cox’s Bazar,0.00,0.00,0.00,0.00,0.00,0.00
13,Feni,316.00,130.70,8426.00,3667.00,311.00,143.13
14,Khagrachari,105.70,43.76,0.00,0.00,109.00,49.22
15,Lakshmipur,66.00,25.00,381.30,149.86,67.50,26.00
16,Noakhali,109.85,52.71,47996.50,23742.07,110.70,50.35
17,Rangamati,150.38,86.83,0.00,0.00,150.04,86.38
Chattogram Division,,1134.10,510.87,61358.61,29222.02,1138.59,526.53
18,Dhaka,152.95,82.67,1746.52,983.11,113.67,57.59
19,Faridpur,1779.50,795.46,13362.10,6497.28,1786.50,799.84
20,Gazipur,8.12,3.03,90.58,34.74,8.50,3.23
21,Gopalganj,403.55,170.64,10240.50,5987.57,352.95,148.79
22,Kishoreganj,8.51,2.77,54.42,29.23,6.98,2.39
23,Madaripur,363.87,151.45,13083.76,5688.20,578.45,249.03
24,Manikganj,562.09,230.35,3466.00,2161.38,497.50,221.50
25,Munshiganj,69.40,34.10,172.04,66.01,67.30,33.89
26,Narayanganj,17.00,7.86,153.91,44.37,15.15,7.02
27,Narsingdi,0.00,0.00,17.52,8.58,0.00,0.00
28,Rajbari,1449.00,682.14,2914.00,1638.56,1701.00,743.10
29,Shariatpur,298.00,170.00,7438.00,4336.00,258.20,143.00
30,Tangail,9.95,3.82,3930.74,1292.37,9.73,3.74
Dhaka Division,,5633.07,2334.29,56670.09,28767.40,5395.93,2413.12
31,Bagerhat,129.00,41.81,8789.00,3744.21,121.00,40.31
32,Chuadanga,108.00,49.61,345.00,139.00,98.00,50.90
33,Jashore,638.50,282.68,1168.60,527.64,800.00,389.00
34,Jhenaidah,659.50,239.76,610.67,273.77,683.50,267.99
35,Khulna,14.80,5.16,154.60,87.21,16.65,6.38
36,Kushtia,898.00,535.00,1928.00,1352.00,762.00,505.00
37,Magura,1806.50,574.00,3749.01,888.31,1753.04,595.70
