District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,13627.00,4781.00,13614.00,4832.00,13704.00,4849.00
2,Barishal,13105.00,5590.00,13828.00,10199.00,26849.00,10355.00
3,Bhola,25653.00,10117.00,25991.00,10291.00,26006.00,10301.00
4,Jhallokati,2295.00,703.00,2348.00,734.00,3633.00,1176.00
5,Patuakhali,12575.00,2617.00,12566.00,2613.00,12581.00,2654.00
6,Pirojpur,624.00,196.00,632.00,203.00,642.00,209.00
Barishal Division,None,67879.00,24004.00,68979.00,28872.00,83415.00,29544.00
7,Bandarban,51.55,19.40,51.70,19.50,51.80,19.50
8,Brahmanbaria,15.25,4.18,15.25,4.18,5.05,4.98
9,Chandpur,175.98,76.55,178.20,88.18,178.19,88.28
10,Chattogram,1665.34,504.00,2231.03,720.60,2178.96,694.40
11,Cumilla,3.30,1.90,9.00,5.00,9.00,5.00
12,Cox’s Bazar,0.00,0.00,0.00,0.00,0.00,0.00
13,Feni,1382.31,724.42,1232.30,512.50,1202.00,660.60
14,Khagrachari,0.00,0.00,0.00,0.00,0.00,0.00
15,Lakshmipur,1503.00,382.00,1466.75,465.00,1393.50,432.00
16,Noakhali,12730.00,4172.23,12914.04,4240.76,12981.95,4395.40
17,Rangamati,0.00,0.00,0.00,0.00,0.00,0.00
Chattogram Division,None,17526.73,5884.68,18098.27,6055.72,18000.45,6300.16
18,Dhaka,74.00,51.33,149.80,88.64,125.50,45.45
19,Faridpur,988.50,353.25,1042.69,395.12,1143.80,395.10
20,Gazipur,48.06,14.36,48.96,14.64,50.99,15.54
21,Gopalganj,193.65,76.41,197.10,78.30,183.50,77.13
22,Kishoreganj,195.64,71.56,186.23,66.98,167.92,61.20
23,Madaripur,408.61,132.76,273.77,88.47,210.87,77.79
24,Manikganj,271.50,82.07,268.40,80.52,220.30,68.29
25,Munshiganj,0.00,0.00,0.00,0.00,0.00,0.00
26,Narayanganj,27.50,11.45,27.00,11.56,23.92,10.06
27,Narsingdi,23.14,7.08,22.79,6.94,23.54,7.22
28,Rajbari,134.00,60.00,148.00,65.33,150.00,65.41
29,Shariatpur,192.00,94.00,174.00,75.00,116.24,50.00
30,Tangail,2.51,1.53,2.49,1.52,2.53,1.54
Dhaka Division,None,2559.11,955.80,2541.23,973.02,2419.11,874.73
31,Bagerhat,483.50,144.38,483.50,144.38,464.00,602.28
32,Chuadanga,1388.00,787.44,1388.00,787.44,1163.00,666.84
33,Jashore,1642.00,635.32,1642.00,635.32,391.00,161.00
34,Jhenaidah,1645.00,714.00,1645.00,714.00,1654.50,746.71
35,Khulna,206.05,57.96,206.05,57.96,202.90,57.48
36,Kushtia,153.00,83.00,153.00,83.00,100.00,62.00
37,Magura,132.60,44.58,132.60,44.58,230.22,81.62
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,77.00,30.80,77.00,30.80,79.00,31.55
39,Narail,357.00,145.46,357.00,145.46,378.00,155.00
40,Satkhira,22.81,6.91,22.81,6.91,23.93,7.39
Khulna Division,None,6106.96,2649.85,6106.96,2649.85,4686.55,2571.87
41,Jamalpur,90.00,36.00,91.00,38.00,93.00,37.00
42,Mymensingh,155.00,62.00,113.00,48.00,95.00,41.00
43,Netrokona,0.00,0.00,2.00,1.00,3.00,1.00
44,Sherpur,11.00,4.00,8.00,3.00,8.00,3.00
Mymensingh Division,None,256.00,102.00,214.00,90.00,199.00,82.00
45,Bogura,7.30,5.26,7.25,5.22,0.95,0.64
46,Joypurhat,23.05,7.24,0.00,0.00,0.00,0.00
47,Naogaon,132.94,74.81,137.28,79.16,155.02,81.35
48,Natore,10599.40,4032.87,9143.47,3574.49,9111.11,3658.61
49,Chapai Nawabganj,28.00,8.28,20.00,5.95,18.50,5.40
50,Pabna,466.50,196.85,454.75,217.70,460.00,252.72
51,Rajshahi,7520.10,3237.71,6250.23,2692.15,2074.18,953.66
52,Sirajganj,8.75,2.80,8.25,2.64,8.00,2.56
Rajshahi Division,None,18786.04,7565.82,16021.23,6577.31,11827.76,4954.94
53,Dinajpur,32.00,10.00,24.45,6.45,31.00,13.00
54,Gaibandha,126.00,50.25,134.40,52.00,135.00,55.00
55,Kurigram,148.40,96.22,147.90,83.37,139.00,60.00
56,Lalmonirhat,72.95,41.32,73.70,41.33,73.50,32.00
57,Nilphamari,10.75,3.72,10.96,3.86,10.96,4.68
58,Panchagar,231.00,127.16,206.00,110.45,190.00,100.00
59,Rangpur,45.00,19.00,43.00,18.00,41.00,16.00
60,Tahkurgaon,104.00,31.31,100.50,30.52,100.00,30.00
Rangpur Division,None,770.10,378.98,740.91,345.98,720.46,310.68
61,Habigonj,0.00,0.00,0.00,0.00,0.00,0.00
62,Moulvibazar,13.20,4.10,0.00,0.00,0.00,0.00
63,Sunamganj,0.00,0.00,0.00,0.00,0.00,0.00
64,Sylhet,12.00,3.25,8.00,1.92,8.50,2.55
Sylhet Division,None,25.20,7.35,8.00,1.92,8.50,2.55
BANGLADESH,None,113909.14,41548.48,11209.60,45565.80,121276.83,44640.93
