District/ Division,None,2021-22,None,2022-23,None,2023-24,None
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,205.00,78.00,220.00,88.00,117.00,82.00
2,Barishal,4.30,4.00,0.00,0.00,0.00,0.00
3,Bhola,0.00,0.00,0.00,0.00,0.00,0.00
4,Jhallokati,0.00,0.00,0.00,0.00,0.00,0.00
5,Patuakhali,0.00,0.00,0.00,0.00,0.00,0.00
6,Pirojpur,0.00,0.00,0.00,0.00,0.00,0.00
Barishal Division,,209.30,82.00,220.00,88.00,117.00,82.00
7,Bandarban,3.00,0.85,3.10,0.89,3.16,0.95
8,Brahmanbaria,1164.30,483.55,949.00,466.96,1164.15,516.50
9,Chandpur,559.82,157.02,497.21,155.65,484.10,175.76
10,Chattogram,81.84,38.65,74.81,36.12,72.13,34.67
11,Cumilla,433.50,183.36,432.60,182.08,443.00,192.88
12,Cox’s Bazar,0.00,0.00,0.00,0.00,0.00,0.00
13,Feni,115.60,38.24,140.69,47.15,127.05,40.95
14,Khagrachari,0.00,0.00,0.00,0.00,0.00,0.00
15,Lakshmipur,83.00,26.11,86.50,27.21,87.60,27.73
16,Noakhali,124.49,42.98,131.60,48.78,133.50,23.80
17,Rangamati,0.00,0.00,0.00,0.00,0.00,0.00
Chattogram Division,,2565.55,970.76,2315.51,964.84,2514.69,1013.24
18,Dhaka,1313.34,570.03,1156.71,550.43,1097.18,492.75
19,Faridpur,2002.93,771.77,2049.12,782.92,2051.08,783.88
20,Gazipur,609.17,152.73,608.54,171.81,624.65,177.08
21,Gopalganj,395.90,141.31,406.20,147.69,408.80,148.22
22,Kishoreganj,1070.24,538.38,1074.34,537.44,1017.22,529.35
23,Madaripur,1043.65,377.66,1064.30,389.41,1048.52,383.67
24,Manikganj,10324.76,4073.95,10842.31,4297.49,10419.54,4152.89
25,Munshiganj,137.80,58.18,134.90,54.87,136.60,56.82
26,Narayanganj,41.07,13.89,39.00,13.42,35.60,12.15
27,Narsingdi,499.95,227.77,493.77,219.60,494.73,219.39
28,Rajbari,1032.00,440.00,982.00,440.84,987.00,452.84
29,Shariatpur,227.00,109.00,241.00,125.00,243.00,127.00
30,Tangail,13116.65,3889.91,13295.31,3962.73,13255.72,3953.31
Dhaka Division,,31814.46,11364.58,32387.50,11693.65,31819.64,11489.35
31,Bagerhat,0.00,0.00,0.00,0.00,0.00,0.00
32,Chuadanga,893.50,291.10,891.00,284.40,814.00,284.40
33,Jashore,906.00,343.00,876.00,330.00,905.25,337.43
34,Jhenaidah,1694.00,577.00,1685.00,584.00,1664.50,579.86
35,Khulna,89.00,38.00,85.00,37.00,78.18,34.27
36,Kushtia,638.00,318.00,622.00,329.00,535.00,293.00
37,Magura,151.00,61.00,147.00,60.00,152.69,62.67
