District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,5667.00,2244.00,5545.00,2166.00,5291.00,2135.00
2,Barishal,40270.00,15830.00,29516.00,14917.00,27576.00,14794.00
3,Bhola,31653.00,17133.36,31676.80,15789.60,31682.70,15524.11
4,Jhallokati,4616.00,1641.00,4636.00,1718.00,4591.00,1647.00
5,Patuakhali,6502.00,3234.00,6557.00,3320.12,6534.84,3238.98
6,Pirojpur,6019.00,2558.00,5938.00,2478.00,6142.00,2589.00
Barishal Division,None,94727.00,42640.36,83868.80,40388.72,81817.54,39928.09
7,Bandarban,0.00,0.00,0.00,0.00,0.00,0.00
8,Brahmanbaria,787.10,348.76,755.45,336.70,705.00,306.81
9,Chandpur,432.68,197.70,433.80,206.68,434.49,212.65
10,Chattogram,2745.14,788.78,2733.86,790.98,2709.12,820.63
11,Cumilla,693.88,315.17,699.33,318.86,706.20,323.00
12,Cox’s Bazar,0.00,0.00,0.00,0.00,0.00,0.00
13,Feni,8458.00,2538.22,8460.00,3426.30,8426.00,3667.00
14,Khagrachari,0.00,0.00,0.00,0.00,0.00,0.00
15,Lakshmipur,403.90,155.47,385.70,150.82,381.30,149.86
16,Noakhali,46832.00,21653.60,47369.00,22821.42,47996.50,23742.07
17,Rangamati,0.00,0.00,0.00,0.00,0.00,0.00
Chattogram Division,None,60352.70,25997.70,60837.14,28051.76,61358.61,29222.02
18,Dhaka,1977.00,1150.92,1762.02,995.92,1746.52,983.11
19,Faridpur,13152.00,6236.93,13142.00,6274.57,13362.10,6497.28
20,Gazipur,94.71,35.92,91.98,35.22,90.58,34.74
21,Gopalganj,16643.90,8666.07,9971.90,5800.25,10240.50,5987.57
22,Kishoreganj,55.58,28.93,54.09,27.58,54.42,29.23
23,Madaripur,13073.00,5596.39,13106.00,5889.56,13083.76,5688.20
24,Manikganj,4571.03,2144.80,4553.30,2215.73,3466.00,2161.38
25,Munshiganj,165.60,63.93,164.87,68.41,172.04,66.01
26,Narayanganj,167.36,48.65,162.65,46.91,153.91,44.37
27,Narsingdi,17.29,8.46,17.42,8.54,17.52,8.58
28,Rajbari,2940.00,1665.00,2912.00,1652.90,2914.00,1638.56
29,Shariatpur,7441.00,4175.00,7430.00,4268.00,7438.00,4336.00
30,Tangail,4003.49,1303.32,3949.30,1285.83,3930.74,1292.37
Dhaka Division,None,64301.96,31124.32,57317.53,28569.42,56670.09,28767.40
31,Bagerhat,8200.05,3176.80,8098.00,3367.35,8789.00,3744.21
32,Chuadanga,368.50,149.52,361.25,147.54,345.00,139.00
33,Jashore,1372.00,602.28,1171.50,524.33,1168.60,527.64
34,Jhenaidah,628.00,277.00,630.00,281.98,610.67,273.77
35,Khulna,227.80,141.84,215.00,133.31,154.60,87.21
36,Kushtia,2481.00,1517.00,2371.00,1426.00,1928.00,1352.00
37,Magura,3472.20,778.63,3717.00,881.00,3749.01,888.31
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,82.00,40.68,87.00,42.64,66.50,32.95
39,Narail,23456.00,9037.67,22033.00,8499.00,22014.00,8501.00
40,Satkhira,3008.71,1293.61,3024.00,1322.69,3047.60,1401.67
Khulna Division,None,43296.26,17015.03,41707.75,16625.84,41872.98,16947.76
41,Jamalpur,734.00,299.00,731.00,295.00,680.00,271.00
42,Mymensingh,386.00,191.00,368.00,190.00,346.00,174.00
43,Netrokona,12.00,4.00,0.00,0.00,0.00,0.00
44,Sherpur,67.00,30.00,63.00,31.00,60.00,28.00
Mymensingh Division,None,1199.00,524.00,1162.00,516.00,1086.00,473.00
45,Bogura,249.00,128.00,286.00,149.00,484.00,244.00
46,Joypurhat,74.00,33.00,67.00,30.00,64.00,29.00
47,Naogaon,274.00,149.00,521.00,336.00,564.00,363.00
48,Natore,5373.00,3266.00,5149.00,3156.00,5032.00,3110.00
49,Chapai Nawabganj,5154.00,1786.00,4987.00,1840.00,4899.00,1835.00
50,Pabna,8861.00,5597.00,8765.00,5576.00,8577.00,5193.00
51,Rajshahi,2168.00,1235.00,2299.00,1366.00,2315.00,1395.00
52,Sirajganj,2597.00,1285.00,2562.00,1263.00,2636.00,1487.00
Rajshahi Division,None,24750.00,13479.00,24636.00,13716.00,24571.00,13656.00
53,Dinajpur,28.00,9.27,27.00,9.38,33.00,14.00
54,Gaibandha,172.40,70.21,172.83,70.54,174.00,71.00
55,Kurigram,1716.90,884.76,1707.50,911.63,1690.00,817.00
56,Lalmonirhat,31.75,18.10,31.50,18.35,33.50,19.00
57,Nilphamari,82.20,46.06,82.70,40.15,83.00,37.00
58,Panchagar,40.00,12.13,40.00,12.08,40.00,12.00
59,Rangpur,69.00,35.00,69.00,34.00,70.00,34.48
60,Tahkurgaon,36.50,15.50,31.50,12.69,26.75,11.00
Rangpur Division,None,2176.75,1091.03,2162.03,1108.82,2150.25,1015.48
61,Habigonj,19.00,5.32,21.20,6.25,21.51,6.28
62,Moulvibazar,66.28,26.15,67.50,26.58,68.55,27.94
63,Sunamganj,0.00,0.00,0.00,0.00,0.00,0.00
64,Sylhet,13.20,5.54,14.05,5.93,13.95,5.86
Sylhet Division,None,98.48,37.01,102.75,38.76,104.01,40.08
BANGLADESH,None,290902.15,131908.45,271794.00,129015.32,269630.48,130049.83
