District/ Division,None,2022-23,None_1,None_2,None_3,None_4,2023-24,None_5,None_6,None_7,None_8
None,None,Area,None,Yield Rate,None,"Productio
n",Area,None,Yield Rate,None,"Productio
n"
None,None,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
1,Barguna,119982,48556,25.18,2.323,112771,105205,42576,26.25,2.4 21,103084
2,Barishal,16344,6614,26.53,2.447,16185,14157,5729,27.80,2.564,14691
3,Bhola,170214,68885,29.99,2.766,190546,171240,69300,29.00,2.675,185366
4,Jhallokati,24160,9777,31.03,2.862,27984,26075,10552,30.80,2.841,29978
5,Patuakhali,36336,14705,24.83,2.290,33678,38746,15680,26.39,2.434,38167
6,Pirojpur,27953,11312,27.49,2.536,28683,35488,14362,26.95,2.486,35700
Barishal Division,None,394989,159850,27.80,2.564,409847,390911,158200,27.89,2.573,406987
7,Bandarban,8500,3440,30.03,2.770,9528,5991,2425,31.12,2.870,6959
8,Brahmanbaria,24287,9829,33.20,3.062,30098,37741,15274,33.55,3.095,47264
9,Chandpur,25185,10192,26.03,2.401,24471,26866,10873,30.99,2.858,31078
10,Chattogram,69275,28035,35.89,3.310,92807,52003,21045,35.95,3.316,69784
11,Cumilla,181350,73391,30.88,2.848,209036,174475,70609,31.33,2.890,204043
12,Cox’s Bazar,5819,2355,37.62,3.470,8171,6113,2474,37.44,3.453,8543
13,Feni,19976,8084,27.22,2.511,20297,16729,6770,29.27,2.700,18278
14,Khagrachari,4009,1622,31.77,2.930,4754,3676,1488,32.41,2.989,4447
15,Lakshmipur,49665,20099,28.60,2.638,53020,40058,16211,27.80,2.564,41568
16,Noakhali,81027,32791,29.08,2.682,87953,74109,29992,28.96,2.671,80112
17,Rangamati,1743,705,32.12,2.963,2089,1706,690,33.51,3.091,2134
"Chattogram
Division",None,470835,190544,30.85,2.846,542224,439467,177850,31.35,2.891,514210
18,Dhaka,1578,639,30.29,2.794,1785,1537,622,31.29,2.886,1795
19,Faridpur,6623,2680,31.35,2.892,7750,6318,2557,32.70,3.016,7712
20,Gazipur,3485,1410,35.19,3.246,4578,3333,1349,36.75,3.390,4572
21,Gopalganj,3592,1454,31.11,2.869,4171,2805,1135,32.22,2.972,3374
22,Kishoreganj,58418,23641,30.10,2.776,65636,40548,16410,31.35,2.892,47450
23,Madaripur,2272,919,24.44,2.254,2073,2782,1126,24.50,2.260,2544
24,Manikganj,6252,2530,30.25,2.790,7059,7230,2926,30.17,2.783,8142
25,Munshiganj,435,176,25.90,2.389,420,736,298,23.47,2.165,645
26,Narayanganj,4662,1887,22.90,2.112,3985,5049,2043,23.86,2.201,4497
27,Narsingdi,2760,1117,28.77,2.654,2964,2856,1156,28.34,2.614,3021
28,Rajbari,4203,1701,27.84,2.568,4368,4024,1628,26.60,2.453,3995
29,Shariatpur,18850,7628,28.20,2.601,19842,24920,10085,29.16,2.690,27125
30,Tangail,3553,1438,26.88,2.479,3565,5185,2098,28.67,2.644,5549
Dhaka Division,None,116682,47221,29.43,2.715,128195,107323,43433,30.06,2.773,120421
31,Bagerhat,8578,3471,27.56,2.542,8825,6664,2697,29.27,2.700,7281
32,Chuadanga,94846,38384,30.36,2.800,107485,97881,39612,32.29,2.978,117976
33,Jashore,36404,14732,35.20,3.247,47832,34987,14159,35.25,3.251,46036
34,Jhenaidah,89379,36171,35.46,3.271,118305,98868,40011,35.00,3.228,129167
35,Khulna,2058,833,36.50,3.367,2804,3036,1229,36.70,3.385,4159
36,Kushtia,63634,25752,31.87,2.940,75700,73263,29649,32.25,2.975,88194
37,Magura,12606,5102,22.81,2.104,10733,12022,4865,25.55,2.357,11466
38,Meherpur,49866,20180,27.73,2.558,51616,39090,15820,32.97,3.041,48107
