District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,183.00,245.00,181.00,253.00,184.00,242.00
2,Barishal,83.00,62.00,0.00,0.00,46.00,191.00
3,Bhola,4698.00,3655.39,4711.10,3670.78,4715.00,3501.00
4,Jhallokati,135.00,90.00,136.00,87.00,138.00,89.00
5,Patuakhali,1213.00,608.00,1230.00,519.01,1243.00,503.00
6,Pirojpur,12.00,7.00,15.00,10.00,15.00,10.00
Barishal Division,None,6324.00,4667.39,6273.10,4539.79,6341.00,4536.00
7,Bandarban,216.00,150.05,220.50,153.20,222.40,154.49
8,Brahmanbaria,373.30,223.44,342.00,206.90,327.50,192.50
9,Chandpur,258.74,170.85,259.03,175.50,252.71,167.22
10,Chattogram,2129.74,1975.22,2152.05,1983.22,1982.62,1673.70
11,Cumilla,319.40,306.93,328.50,314.30,328.50,314.30
12,Cox’s Bazar,636.74,804.47,640.58,807.53,630.79,837.62
13,Feni,1932.52,1386.90,1932.57,1389.42,1886.10,1396.58
14,Khagrachari,131.20,140.21,129.60,135.65,131.72,141.39
15,Lakshmipur,5767.00,2765.05,4950.50,3178.99,4403.75,3115.41
16,Noakhali,17701.00,12121.51,17893.00,12443.60,18031.50,13152.53
17,Rangamati,48.10,34.61,40.95,38.34,38.90,38.19
Chattogram Division,None,29513.74,20079.24,28889.28,20826.65,28236.49,21183.93
18,Dhaka,265.00,178.65,254.65,167.75,243.25,157.36
19,Faridpur,5329.25,6071.50,5330.00,6064.00,5322.00,5984.20
20,Gazipur,29.82,11.42,28.63,10.92,35.33,12.31
21,Gopalganj,1237.10,1050.43,1175.55,1001.64,1257.85,1079.45
22,Kishoreganj,1894.26,1499.34,1892.14,1499.12,1874.35,1479.48
23,Madaripur,297.98,224.52,294.27,220.82,292.96,218.46
24,Manikganj,2713.00,1469.32,2095.60,1487.57,1561.30,1151.57
25,Munshiganj,133.00,97.42,118.60,87.12,169.80,130.42
26,Narayanganj,519.46,271.14,515.00,268.02,519.50,270.59
27,Narsingdi,569.92,304.23,579.45,304.83,567.40,299.68
28,Rajbari,269.00,490.00,432.00,312.92,435.00,342.00
29,Shariatpur,651.00,703.00,645.00,710.00,650.00,728.00
30,Tangail,2848.80,1577.17,2820.55,1552.10,2806.50,1500.00
Dhaka Division,None,16757.59,13948.14,16181.44,13686.81,15735.24,13353.52
31,Bagerhat,45.00,30.00,37.50,24.92,39.00,27.03
32,Chuadanga,48.10,25.97,46.00,24.40,43.00,22.40
33,Jashore,17.00,9.00,17.77,9.41,15.65,8.19
34,Jhenaidah,714.00,854.00,695.97,834.12,687.01,826.16
35,Khulna,0.00,0.00,0.00,0.00,0.00,0.00
36,Kushtia,500.00,307.00,501.00,334.00,579.00,482.00
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
37,Magura,63.00,129.00,64.00,146.67,65.18,149.34
38,Meherpur,33.00,26.00,37.00,28.46,36.50,28.51
39,Narail,1125.00,1017.00,1112.00,1030.26,1108.00,1029.82
40,Satkhira,0.00,0.00,0.00,0.00,0.00,0.00
Khulna Division,None,2545.10,2397.97,2511.24,2432.24,2573.34,2573.45
41,Jamalpur,989.00,680.00,972.00,627.00,827.00,614.00
42,Mymensingh,632.00,422.00,588.00,381.00,554.00,353.00
43,Netrokona,295.00,308.00,262.00,290.00,333.00,377.00
44,Sherpur,99.00,95.00,97.00,95.00,79.00,80.00
Mymensingh Division,None,2015.00,1505.00,1919.00,1393.00,1793.00,1424.00
45,Bogura,1194.50,645.42,1094.20,636.42,1340.45,770.75
46,Joypurhat,0.00,0.00,0.00,0.00,0.00,0.00
47,Naogaon,468.40,339.16,510.22,383.95,506.09,371.78
48,Natore,1143.50,1046.57,1138.89,1027.64,1170.42,1109.08
49,Chapai Nawabganj,0.00,0.00,40.66,40.10,41.00,42.75
50,Pabna,643.00,477.00,625.00,470.50,589.00,436.32
51,Rajshahi,710.86,627.35,717.03,639.74,723.23,645.11
52,Sirajganj,3374.10,2596.72,3371.60,2712.63,3425.20,2706.00
Rajshahi Division,None,7534.36,5732.22,7497.60,5910.98,7795.39,6081.79
53,Dinajpur,80.00,68.86,84.00,76.00,117.00,90.00
54,Gaibandha,1225.00,1131.00,1186.00,1098.75,1168.00,1088.00
55,Kurigram,2212.00,1482.38,2153.60,1503.14,659.00,491.00
56,Lalmonirhat,411.00,371.78,409.75,371.32,415.00,376.00
57,Nilphamari,228.50,133.92,220.50,138.96,220.00,153.00
58,Panchagar,17597.00,13260.28,17647.00,13226.00,18280.00,13841.00
59,Rangpur,116.00,84.00,117.00,85.00,137.00,97.00
60,Tahkurgaon,80.00,48.50,82.00,51.02,77.00,47.00
Rangpur Division,None,21949.50,16580.72,21899.85,16550.19,21073.00,16183.00
61,Habigonj,7.00,4.76,8.50,5.87,9.50,6.41
62,Moulvibazar,26.00,18.32,27.50,19.25,28.00,19.61
63,Sunamganj,2574.00,1893.00,2524.00,1793.00,2524.00,1794.00
64,Sylhet,15.20,14.00,18.40,16.12,15.25,11.40
Sylhet Division,None,2622.20,1930.08,2578.40,1834.24,2576.75,1831.42
BANGLADESH,None,89261.49,66840.76,87749.91,67173.90,86124.21,67167.11
