District/ Division,None,2021-22,None,2022-23,None,2023-24,None
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0,0,0.00,0.00,0.00,0.00
2,Barishal,0,0,0.00,0.00,0.00,0.00
3,Bhola,0,0,0.00,0.00,0.00,0.00
4,Jhallokati,0,0,0.00,0.00,0.00,0.00
5,Patuakhali,0,0,0.00,0.00,0.00,0.00
6,Pirojpur,0,0,0.00,0.00,0.00,0.00
Barishal Division,,0,0,0.00,0.00,0.00,0.00
7,Bandarban,0,0,0.00,0.00,0.00,0.00
8,Brahmanbaria,86.30,51.27,86.70,52.31,85.70,51.48
9,Chandpur,0,0,0.00,0.00,0.00,0.00
10,Chattogram,63.14,56.60,62.34,53.68,61.88,54.14
11,Cumilla,0,0,0.00,0.00,0.00,0.00
12,Cox’s Bazar,414.77,558.97,526.86,714.07,528.40,719.95
13,Feni,0,0,0.00,0.00,0.00,0.00
14,Khagrachari,0,0,0.00,0.00,0.00,0.00
15,Lakshmipur,0,0,0.00,0.00,0.00,0.00
16,Noakhali,0,0,0.00,0.00,0.00,0.00
17,Rangamati,34.30,29.40,26.00,26.23,18.70,19.62
Chattogram Division,,598.51,696.24,701.90,846.29,694.68,845.19
18,Dhaka,0,0,0.00,0.00,0.00,0.00
19,Faridpur,347.30,238.17,150.10,91.32,153.00,95.72
20,Gazipur,73.65,37.79,73.57,37.21,70.08,32.65
21,Gopalganj,67.35,60.62,71.65,65.19,73.60,67.83
22,Kishoreganj,221.15,104.88,220.55,105.49,211.32,101.65
23,Madaripur,42.00,33.58,41.65,32.33,37.70,28.29
24,Manikganj,0,0,245.00,149.87,0.00,0.00
25,Munshiganj,50.10,29.47,30.30,19.33,17.30,10.81
26,Narayanganj,11.00,5.85,8.00,3.84,6.50,3.37
27,Narsingdi,76.91,33.47,76.93,33.45,77.96,33.94
28,Rajbari,544.00,392.00,432.00,312.93,425.00,311.87
29,Shariatpur,5.50,4.00,6.00,4.50,6.50,5.00
30,Tangail,64.00,53.30,43.80,28.25,15.75,8.50
Dhaka Division,,1502.96,993.13,1399.55,883.71,1094.71,699.63
31,Bagerhat,9.50,5.56,9.72,5.68,12.00,7.73
32,Chuadanga,73.00,43.80,68.00,39.40,66.00,37.60
33,Jashore,0,0,0.00,0.00,0.00,0.00
34,Jhenaidah,25.00,15.40,28.00,17.72,30.50,20.97
35,Khulna,5.00,3.60,7.20,9.08,7.60,9.38
36,Kushtia,153.00,111.00,181.00,138.00,799.00,565.00
37,Magura,22.50,44.25,26.00,51.08,26.50,52.05
