District/ Division,None,2021-22,None,2022-23,None,2023-24,None
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0.00,0.00,0.00,0.00,0.00,0.00
2,Barishal,18.00,4.00,0.00,0.00,0.00,0.00
3,Bhola,177.00,72.09,174.00,82.94,167.30,60.06
4,Jhallokati,0.00,0.00,0.00,0.00,0.00,0.00
5,Patuakhali,52.00,11.02,54.00,11.50,56.50,12.30
6,Pirojpur,0.00,0.00,0.00,0.00,0.00,0.00
Barishal Division,,247.00,87.11,228.00,94.44,223.80,72.36
7,Bandarban,5.10,0.67,5.20,0.68,5.00,0.65
8,Brahmanbaria,276.04,95.63,273.08,88.28,245.16,85.61
9,Chandpur,0.00,0.00,0.00,0.00,0.00,0.00
10,Chattogram,0.00,0.00,0.00,0.00,0.00,0.00
11,Cumilla,15.00,5.00,16.31,6.35,17.51,7.37
12,Cox’s Bazar,0.00,0.00,0.00,0.00,0.00,0.00
13,Feni,0.00,0.00,0.00,0.00,0.00,0.00
14,Khagrachari,0.00,0.00,0.00,0.00,0.00,0.00
15,Lakshmipur,0.00,0.00,0.00,0.00,0.00,0.00
16,Noakhali,164.80,44.55,171.50,48.09,178.25,50.95
17,Rangamati,0.00,0.00,0.00,0.00,0.00,0.00
Chattogram Division,,460.94,145.85,466.09,143.40,445.92,144.58
18,Dhaka,0.00,0.00,0.00,0.00,0.00,0.00
19,Faridpur,2492.25,585.00,2470.30,579.04,2159.30,515.30
20,Gazipur,4.95,2.16,4.80,2.10,4.60,2.00
21,Gopalganj,1837.20,571.80,1847.20,585.26,1780.80,561.57
22,Kishoreganj,0.00,0.00,0.00,0.00,0.00,0.00
23,Madaripur,275.83,80.75,215.71,62.45,216.81,63.38
24,Manikganj,13.50,4.65,8.07,2.74,7.16,2.36
25,Munshiganj,0.00,0.00,0.00,0.00,0.00,0.00
26,Narayanganj,6.05,1.27,5.96,1.23,5.65,1.15
27,Narsingdi,0.00,0.00,0.00,0.00,0.00,0.00
28,Rajbari,282.00,141.00,310.00,142.77,300.00,136.07
29,Shariatpur,54.00,23.00,53.00,25.00,54.00,26.00
30,Tangail,106.61,24.00,97.67,22.34,94.64,22.01
Dhaka Division,,5072.39,1433.63,5012.71,1422.93,4622.96,1329.84
31,Bagerhat,0.00,0.00,0.00,0.00,0.00,0.00
32,Chuadanga,76.00,22.99,70.15,20.65,43.00,13.00
33,Jashore,108.00,28.90,115.00,31.83,101.00,26.00
34,Jhenaidah,150.00,37.14,133.50,34.97,122.10,33.14
35,Khulna,0.00,0.00,0.00,0.00,0.00,0.00
36,Kushtia,474.00,189.00,409.00,166.00,383.00,226.00
37,Magura,2883.50,809.10,2864.75,824.38,2809.91,803.74
