District/ Division,None,2021-22,None,2022-23,None,2023-24,None
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0.00,0.00,0.00,0.00,0.00,0.00
2,Barishal,4864.00,3480.00,4959.00,3761.00,5823.00,4242.00
3,Bhola,8354.00,7930.00,8692.00,7534.00,8738.00,7209.00
4,Jhallokati,0.00,0.00,0.00,0.00,0.00,0.00
5,Patuakhali,0.00,0.00,0.00,0.00,0.00,0.00
6,Pirojpur,0.00,0.00,0.00,0.00,0.00,0.00
Barishal Division,,13218.00,11410.00,13651.00,11295.00,14561.00,11451.00
7,Bandarban,0.00,0.00,0.00,0.00,0.00,0.00
8,Brahmanbaria,0.00,0.00,0.00,0.00,0.00,0.00
9,Chandpur,3605.50,3020.51,3723.50,3257.75,3723.80,3265.95
10,Chattogram,0.00,0.00,0.00,0.00,0.00,0.00
11,Cumilla,0.00,0.00,0.00,0.00,0.00,0.00
12,Cox’s Bazar,0.00,0.00,0.00,0.00,0.00,0.00
13,Feni,4.00,1.43,5.00,2.40,5.10,2.60
14,Khagrachari,0.00,0.00,0.00,0.00,0.00,0.00
15,Lakshmipur,107654.00,74497.00,107854.00,82715.00,100585.00,80480.00
16,Noakhali,20219.00,9708.40,20337.00,10028.83,22483.00,11624.05
17,Rangamati,0.00,0.00,0.00,0.00,0.00,0.00
Chattogram Division,,131482.50,87227.34,131919.50,96003.98,126796.90,95372.60
18,Dhaka,0.00,0.00,0.00,0.00,0.00,0.00
19,Faridpur,0.00,0.00,0.00,0.00,0.00,0.00
20,Gazipur,0.00,0.00,0.00,0.00,0.00,0.00
21,Gopalganj,0.00,0.00,0.00,0.00,0.00,0.00
22,Kishoreganj,0.00,0.00,0.00,0.00,0.00,0.00
23,Madaripur,0.00,0.00,0.00,0.00,0.00,0.00
24,Manikganj,0.00,0.00,0.00,0.00,0.00,0.00
25,Munshiganj,0.00,0.00,0.00,0.00,0.00,0.00
26,Narayanganj,0.00,0.00,0.00,0.00,0.00,0.00
27,Narsingdi,0.00,0.00,0.00,0.00,0.00,0.00
28,Rajbari,0.00,0.00,0.00,0.00,0.00,0.00
29,Shariatpur,8.25,7.00,7.50,6.80,8.25,7.54
30,Tangail,0.00,0.00,0.00,0.00,0.00,0.00
Dhaka Division,,8.25,7.00,7.50,6.80,8.25,7.54
31,Bagerhat,0.00,0.00,0.00,0.00,0.00,0.00
32,Chuadanga,0.00,0.00,0.00,0.00,0.00,0.00
33,Jashore,0.00,0.00,0.00,0.00,0.00,0.00
34,Jhenaidah,0.00,0.00,0.00,0.00,0.00,0.00
35,Khulna,0.00,0.00,0.00,0.00,0.00,0.00
36,Kushtia,0.00,0.00,0.00,0.00,0.00,0.00
37,Magura,0.00,0.00,0.00,0.00,0.00,0.00
