District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0,0,0.00,0.00,0.00,0.00
2,Barishal,0,0,0.00,0.00,0.00,0.00
3,Bhola,36.92,127.62,80.90,256.23,85.90,262.74
4,Jhallokati,0,0,0.00,0.00,0.00,0.00
5,Patuakhali,0,0,0.00,0.00,0.00,0.00
6,Pirojpur,0,0,0.00,0.00,0.00,0.00
Barishal Division,None,36.92,127.62,80.90,256.23,85.90,262.74
7,Bandarban,0,0,0.00,0.00,0.00,0.00
8,Brahmanbaria,0,0,0.00,0.00,0.00,0.00
9,Chandpur,0,0,0.00,0.00,0.00,0.00
10,Chattogram,0,0,0.00,0.00,0.00,0.00
11,Cumilla,0,0,0.00,0.00,0.00,0.00
12,Cox’s Bazar,0,0,0.00,0.00,0.00,0.00
13,Feni,0,0,0.00,0.00,0.00,0.00
14,Khagrachari,0,0,0.00,0.00,0.00,0.00
15,Lakshmipur,0,0,0.00,0.00,0.00,0.00
16,Noakhali,0,0,0.00,0.00,0.00,0.00
17,Rangamati,.20,0.19,0.19,0.18,0.18,0.17
Chattogram Division,None,.20,0.19,0.19,0.18,0.18,0.17
18,Dhaka,1.60,2.13,2.00,2.80,2.50,3.10
19,Faridpur,0,0,0.00,0.00,0.00,0.00
20,Gazipur,0,0,0.00,0.00,0.00,0.00
21,Gopalganj,0,0,0.00,0.00,0.00,0.00
22,Kishoreganj,0,0,0.00,0.00,0.00,0.00
23,Madaripur,0,0,0.00,0.00,0.00,0.00
24,Manikganj,0,0,0.00,0.00,0.00,0.00
25,Munshiganj,0,0,0.00,0.00,0.00,0.00
26,Narayanganj,0,0,0.00,0.00,0.00,0.00
27,Narsingdi,0,0,0.00,0.00,0.00,0.00
28,Rajbari,0,0,0.00,0.00,0.00,0.00
29,Shariatpur,0,0,0.00,0.00,0.00,0.00
30,Tangail,0,0,0.00,0.00,0.00,0.00
Dhaka Division,None,1.60,2.13,2.00,2.80,2.50,3.10
31,Bagerhat,0,0,0.00,0.00,0.00,0.00
32,Chuadanga,0,0,0.00,0.00,5.24,10.36
33,Jashore,0,0,0.00,0.00,0.00,0.00
34,Jhenaidah,0,0,0.00,0.00,0.00,0.00
35,Khulna,0,0,0.00,0.00,0.00,0.00
36,Kushtia,0,0,0.00,0.00,1.00,6.00
37,Magura,0,0,0.00,0.00,0.00,0.00
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,0,0,0.00,0.00,0.00,0.00
39,Narail,0,0,0.00,0.00,0.00,0.00
40,Satkhira,0,0,0.00,0.00,0.00,0.00
Khulna Division,None,0,0,0.00,0.00,6.24,16.36
41,Jamalpur,0,0,0.00,0.00,0.00,0.00
42,Mymensingh,0,0,0.00,0.00,0.00,0.00
43,Netrokona,0,0,0.00,0.00,0.00,0.00
44,Sherpur,1.00,1.00,1.00,1.00,0.10,0.14
Mymensingh Division,None,1.00,1.00,1.00,1.00,0.10,0.14
45,Bogura,2.40,4.80,1.74,3.48,2.10,4.20
46,Joypurhat,0,0,0.00,0.00,2.16,3.97
47,Naogaon,0,0,0.00,0.00,4.00,11.00
48,Natore,0,0,0.00,0.00,0.00,0.00
49,Chapai Nawabganj,0,0,0.00,0.00,0.00,0.00
50,Pabna,0,0,0.00,0.00,0.00,0.00
51,Rajshahi,0,0,0.00,0.00,0.00,0.00
52,Sirajganj,0,0,0.00,0.00,0.00,0.00
Rajshahi Division,None,2.40,4.80,1.74,3.48,8.26,19.17
53,Dinajpur,0,0,0.00,0.00,0.00,0.00
54,Gaibandha,0,0,0.00,0.00,0.00,0.00
55,Kurigram,0,0,1.20,7.20,1.00,7.00
56,Lalmonirhat,0.25,0.39,0.30,0.46,0.35,0.54
57,Nilphamari,0,0,0.00,0.00,0.00,0.00
58,Panchagar,0,0,0.00,0.00,0.00,0.00
59,Rangpur,0,0,0.00,0.00,0.00,0.00
60,Tahkurgaon,0,0,0.00,0.00,0.00,0.00
Rangpur Division,None,0.25,0.39,1.50,7.66,1.35,7.54
61,Habigonj,0,0,0.00,0.00,0.00,0.00
62,Moulvibazar,0,0,0.00,0.00,0.00,0.00
63,Sunamganj,0,0,0.00,0.00,0.00,0.00
64,Sylhet,6.50,15.25,7.02,16.16,6.50,15.25
Sylhet Division,None,6.50,15.25,7.02,16.16,6.50,15.25
BANGLADESH,None,48.87,151.38,94.35,287.51,111.03,324.47
