District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0,0,0.00,0.00,0.00,0.00
2,Barishal,0,0,0.00,0.00,0.00,0.00
3,Bhola,0,0,0.00,0.00,0.00,0.00
4,Jhallokati,0,0,0.00,0.00,0.00,0.00
5,Patuakhali,0,0,0.00,0.00,0.00,0.00
6,Pirojpur,0,0,0.00,0.00,0.00,0.00
Barishal Division,None,0,0,0.00,0.00,0.00,0.00
7,Bandarban,0,0,0.00,0.00,0.00,0.00
8,Brahmanbaria,0,0,0.00,0.00,0.00,0.00
9,Chandpur,0,0,0.00,0.00,0.00,0.00
10,Chattogram,7.53,16.24,37.30,71.92,17.94,56.00
11,Cumilla,3.64,1.52,4.33,6.80,11.80,17.80
12,Cox’s Bazar,0,0,0.00,0.00,0.00,0.00
13,Feni,0,0,0.00,0.00,0.00,0.00
14,Khagrachari,0,0,0.00,0.00,0.00,0.00
15,Lakshmipur,0,0,0.00,0.00,0.00,0.00
16,Noakhali,0,0,0.00,0.00,0.00,0.00
17,Rangamati,9.00,5.50,0.00,0.00,0.00,0.00
Chattogram Division,None,20.17,23.26,41.63,78.72,29.74,73.80
18,Dhaka,0,0,0.00,0.00,0.00,0.00
19,Faridpur,0,0,0.00,0.00,0.00,0.00
20,Gazipur,0,0,0.00,0.00,0.00,0.00
21,Gopalganj,0,0,0.00,0.00,0.00,0.00
22,Kishoreganj,0,0,0.00,0.00,0.00,0.00
23,Madaripur,0,0,0.00,0.00,0.00,0.00
24,Manikganj,0,0,0.00,0.00,0.00,0.00
25,Munshiganj,0,0,0.00,0.00,0.00,0.00
26,Narayanganj,0,0,0.00,0.00,0.00,0.00
27,Narsingdi,0,0,0.00,0.00,0.00,0.00
28,Rajbari,0,0,0.00,0.00,0.00,0.00
29,Shariatpur,0,0,0.00,0.00,0.00,0.00
30,Tangail,2.00,1.75,2.40,1.13,2.85,1.35
Dhaka Division,None,2.00,1.75,2.40,1.13,2.85,1.35
31,Bagerhat,0,0,0.00,0.00,0.00,0.00
32,Chuadanga,0,0,0.00,0.00,0.00,0.00
33,Jashore,0,0,0.00,0.00,0.00,0.00
34,Jhenaidah,0,0,0.00,0.00,0.00,0.00
35,Khulna,0,0,0.00,0.00,0.00,0.00
36,Kushtia,0,0,0.00,0.00,0.00,0.00
37,Magura,0,0,0.00,0.00,0.00,0.00
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,0,0,0.00,0.00,0.00,0.00
39,Narail,0,0,0.00,0.00,0.00,0.00
40,Satkhira,0,0,0.00,0.00,0.00,0.00
Khulna Division,None,0,0,0.00,0.00,0.00,0.00
41,Jamalpur,0,0,0.00,0.00,0.00,0.00
42,Mymensingh,0,0,0.00,0.00,0.00,0.00
43,Netrokona,0,0,0.00,0.00,0.00,0.00
44,Sherpur,0,0,0.00,0.00,0.00,0.00
Mymensingh Division,None,0,0,0.00,0.00,0.00,0.00
45,Bogura,0,0,0.00,0.00,0.00,0.00
46,Joypurhat,0,0,0.00,0.00,0.00,0.00
47,Naogaon,0,0,0.00,0.00,0.00,0.00
48,Natore,0,0,0.00,0.00,0.00,0.00
49,Chapai Nawabganj,0,0,0.00,0.00,0.00,0.00
50,Pabna,0,0,0.00,0.00,0.00,0.00
51,Rajshahi,3.26,38.54,2.30,18.37,1.66,11.22
52,Sirajganj,0,0,0.00,0.00,0.00,0.00
Rajshahi Division,None,3.26,38.54,2.30,18.37,1.66,11.22
53,Dinajpur,0,0,0.00,0.00,0.00,0.00
54,Gaibandha,0,0,0.00,0.00,0.00,0.00
55,Kurigram,0,0,0.00,0.00,0.00,0.00
56,Lalmonirhat,0,0,0.00,0.00,0.00,0.00
57,Nilphamari,0,0,0.00,0.00,0.00,0.00
58,Panchagar,0,0,0.00,0.00,0.00,0.00
59,Rangpur,0,0,0.00,0.00,0.00,0.00
60,Tahkurgaon,0,0,0.00,0.00,0.00,0.00
Rangpur Division,None,0,0,0.00,0.00,0.00,0.00
61,Habigonj,0,0,0.00,0.00,0.00,0.00
62,Moulvibazar,0,0,0.00,0.00,0.00,0.00
63,Sunamganj,0,0,0.00,0.00,0.00,0.00
64,Sylhet,0,0,0.00,0.00,0.00,0.00
Sylhet Division,None,0,0,0.00,0.00,0.00,0.00
BANGLADESH,None,25.43,63.55,46.33,98.22,34.25,86.37
