District/ Division,None,2021-22,None,2022-23,None,2023-24,None
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0,0,0.00,0.00,0.00,0.00
2,Barishal,0,0,0.00,0.00,0.00,0.00
3,Bhola,0,0,0.00,0.00,0.00,0.00
4,Jhallokati,0,0,0.00,0.00,0.00,0.00
5,Patuakhali,0,0,0.00,0.00,0.00,0.00
6,Pirojpur,0,0,0.00,0.00,0.00,0.00
Barishal Division,,0,0,0.00,0.00,0.00,0.00
7,Bandarban,510,1392.25,509.60,547.40,510.90,548.82
8,Brahmanbaria,150.70,414.14,152.40,407.01,142.75,353.21
9,Chandpur,0,0,0.00,0.00,0.00,0.00
10,Chattogram,151.20,444.20,140.25,146.86,104.93,108.90
11,Cumilla,113.96,277.61,119.96,136.15,121.62,138.34
12,Cox’s Bazar,58.03,149.36,63.36,61.28,66.26,65.71
13,Feni,2.53,7.56,2.70,3.00,507.26,1202.24
14,Khagrachari,483.50,1291.18,498.78,1339.63,2.90,6.50
15,Lakshmipur,87.30,255.39,98.00,241.00,101.50,247.00
16,Noakhali,0,0,0.00,0.00,0.00,0.00
17,Rangamati,968.35,2655.36,904.05,470.47,895.76,465.26
Chattogram Division,,2525.57,6887.05,2489.10,3352.80,2453.88,0.00
18,Dhaka,417.20,996.17,442.65,1016.54,441.45,997.56
19,Faridpur,4051.73,4898.69,3989.00,9364.80,4026.00,9485.70
20,Gazipur,378.47,170.09,444.20,681.40,446.30,686.81
21,Gopalganj,258.12,775.78,266.07,806.20,266.36,809.28
22,Kishoreganj,211.42,520.29,227.05,596.26,229.95,620.43
23,Madaripur,299.74,1110.84,278.08,954.16,289.39,950.93
24,Manikganj,647.55,1951.63,638.37,1814.10,662.01,1919.34
25,Munshiganj,311.50,419.60,320.20,755.88,317.50,737.53
26,Narayanganj,218,92.09,304.15,408.69,204.75,409.36
27,Narsingdi,172.10,141.63,493.08,1600.82,224.60,559.99
28,Rajbari,2767,6449.20,2887.18,7754.90,2853.00,7167.30
29,Shariatpur,192,540,196.00,565.00,207.00,655.00
30,Tangail,675.70,875.44,697.36,1483.11,701.14,1458.30
Dhaka Division,,10600.53,18941.45,11183.39,27801.86,10869.45,26457.53
31,Bagerhat,310.60,537.60,269.25,269.35,272.46,291.37
32,Chuadanga,1893,3251.10,1894.00,3431.06,1904.00,3861.80
33,Jashore,1027,841.60,1039.50,960.50,1047.00,978.00
34,Jhenaidah,1979,4174,2013.60,4219.61,2030.60,4201.47
35,Khulna,310.60,537.60,304.77,541.87,301.70,524.82
36,Kushtia,3679,12373,3907.00,15300.00,4049.00,16559.00
37,Magura,430.50,214.76,655.25,630.84,646.27,1271.48
