District/ Division,None,2021-22,None,2022-23,None,2023-24,None
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,32.00,31.00,27.00,29.00,21.00,23.00
2,Barishal,395.00,258.00,366.00,392.00,339.00,365.00
3,Bhola,1608.00,3852.00,1641.00,3622.00,1646.00,3700.00
4,Jhallokati,31.00,27.00,32.00,29.00,28.00,25.00
5,Patuakhali,299.00,236.00,311.00,241.00,322.00,231.00
6,Pirojpur,83.00,99.00,81.00,96.00,85.00,101.00
Barishal Division,,2448.00,4503.00,2458.00,4409.00,2441.00,4445.00
7,Bandarban,72.85,139.00,76.00,145.70,75.75,145.10
8,Brahmanbaria,805.27,1651.74,701.41,1464.05,692.20,1397.23
9,Chandpur,1042.20,1999.43,1042.22,2017.20,999.75,2003.23
10,Chattogram,101.28,112.99,91.42,132.40,71.04,106.68
11,Cumilla,698.80,1321.10,696.30,1315.00,699.60,1104.00
12,Cox’s Bazar,11.61,8.76,10.65,8.25,10.85,8.33
13,Feni,29.00,64.11,30.00,75.50,28.65,63.17
14,Khagrachari,55.90,51.13,48.05,42.85,48.30,42.91
15,Lakshmipur,215.00,228.00,202.25,204.50,186.00,193.00
16,Noakhali,318.20,541.61,325.40,545.72,327.60,549.45
17,Rangamati,52.08,85.43,51.85,87.72,53.32,99.38
Chattogram Division,,3402.19,6203.30,3275.55,6038.89,3193.06,5712.48
18,Dhaka,1614.08,4333.96,1560.83,4187.09,1429.84,3846.96
19,Faridpur,6006.30,10142.75,6026.20,10212.52,6010.95,10248.10
20,Gazipur,274.69,286.38,280.81,316.23,284.00,320.04
21,Gopalganj,450.75,1336.58,452.65,1218.77,352.05,908.76
22,Kishoreganj,1035.97,2674.38,1023.96,2670.37,1023.69,2667.29
23,Madaripur,7541.20,21780.85,7762.95,21866.83,7202.60,20219.25
24,Manikganj,1602.50,3085.61,1577.51,3204.79,1333.76,3110.02
25,Munshiganj,283.65,366.50,265.40,392.60,253.17,408.57
26,Narayanganj,169.14,143.77,162.94,146.76,167.11,147.51
27,Narsingdi,213.21,241.42,218.51,248.43,220.21,251.02
28,Rajbari,12466.00,37326.70,12410.00,37181.50,11750.00,34994.75
29,Shariatpur,2846.00,7287.00,5410.00,12568.00,4364.00,11184.00
30,Tangail,1231.05,1824.35,1244.58,1893.02,1240.13,1886.14
Dhaka Division,,35734.54,90830.25,38396.34,96106.91,35631.51,90192.41
31,Bagerhat,157.00,212.51,156.00,214.31,164.00,225.57
32,Chuadanga,770.50,2290.21,763.25,2273.36,752.00,2477.47
33,Jashore,1394.00,4105.93,1419.00,4232.07,1433.00,4269.00
34,Jhenaidah,3898.00,11130.36,3928.00,11288.62,3805.00,10905.15
35,Khulna,128.00,220.36,132.35,235.06,126.85,227.20
36,Kushtia,3570.00,9903.00,3316.00,9660.00,3444.00,11420.00
37,Magura,2524.00,8017.12,2275.00,7341.81,2107.50,6616.95
