District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,73.00,20.00,73.00,20.00,73.00,21.00
2,Barishal,1073.00,424.00,1075.00,422.00,1117.00,454.00
3,Bhola,435.00,351.00,432.00,350.00,446.00,264.00
4,Jhallokati,107.00,30.00,105.00,25.00,107.00,40.00
5,Patuakhali,108.00,23.61,109.00,24.61,124.30,142.98
6,Pirojpur,90.00,27.00,95.00,26.00,93.00,29.00
Barishal Division,None,1886.00,875.61,1890.00,880.61,1960.30,950.98
7,Bandarban,127.00,35.53,128.20,35.87,129.10,36.12
8,Brahmanbaria,1116.65,414.08,1117.15,416.38,1121.75,414.57
9,Chandpur,759.46,325.25,764.49,333.20,720.07,342.54
10,Chattogram,1164.97,940.91,1081.10,944.37,1196.28,1027.63
11,Cumilla,1487.50,640.00,1502.00,640.00,1505.22,645.39
12,Cox’s Bazar,162.90,151.48,158.82,132.70,157.50,128.83
13,Feni,325.59,88.04,329.00,132.00,325.50,143.50
14,Khagrachari,189.12,88.36,191.30,93.30,196.33,96.71
15,Lakshmipur,112.00,24.30,113.90,25.06,116.00,25.52
16,Noakhali,259.13,124.53,280.23,115.29,294.16,126.02
17,Rangamati,157.37,82.64,151.21,72.28,147.50,75.83
Chattogram Division,None,5861.69,2915.12,5820.40,2955.45,5909.41,3062.66
18,Dhaka,892.90,339.73,892.90,353.41,970.50,369.25
19,Faridpur,3581.00,1528.91,3581.00,1635.58,3714.00,1641.00
20,Gazipur,251.19,77.38,251.19,80.14,250.45,80.20
21,Gopalganj,1348.80,471.12,1348.80,482.14,1360.30,489.95
22,Kishoreganj,640.69,281.98,640.69,279.59,640.20,282.96
23,Madaripur,6543.50,2863.36,6543.50,2530.42,6045.00,2659.80
24,Manikganj,1115.30,489.89,1115.30,545.26,1130.40,543.15
25,Munshiganj,329.50,136.79,329.50,142.29,350.00,146.38
26,Narayanganj,126.25,40.02,126.25,38.62,126.30,40.51
27,Narsingdi,166.62,62.06,166.62,121.32,232.80,121.17
28,Rajbari,4090.00,1829.00,4090.00,1807.18,4120.00,1855.64
29,Shariatpur,4106.00,2409.00,4106.00,2466.00,4150.00,2469.25
30,Tangail,2041.43,610.63,2041.43,517.66,1820.20,583.28
*Dhaka Division,None,25233.18,11139.87,25233.18,10999.61,24910.15,11282.54
31,Bagerhat,151.50,55.45,150.00,55.00,143.50,52.45
32,Chuadanga,587.00,276.07,582.50,278.14,582.00,282.80
33,Jashore,336.53,165.61,328.63,163.82,320.75,160.20
34,Jhenaidah,326.00,154.00,315.50,149.80,317.50,149.75
35,Khulna,64.55,19.44,69.88,21.42,62.70,20.12
36,Kushtia,434.00,206.00,441.00,228.00,425.00,227.00
37,Magura,2198.00,773.96,2250.24,808.71,1818.22,651.88
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,65.00,17.00,67.00,17.96,64.00,17.59
39,Narail,1433.00,587.71,1434.00,594.21,1429.00,598.59
40,Satkhira,70.15,19.07,65.53,17.48,65.76,18.09
Khulna Division,None,5665.73,2274.31,5704.28,2334.54,5228.43,2178.46
41,Jamalpur,608.00,144.00,578.00,141.00,582.00,145.00
42,Mymensingh,439.00,189.00,493.00,207.00,496.00,208.00
43,Netrokona,423.00,183.00,394.00,179.00,392.00,177.00
44,Sherpur,157.00,48.00,162.00,50.00,161.00,49.00
Mymensingh Division,None,1627.00,564.00,1627.00,577.00,1631.00,579.00
45,Bogura,238.00,126.00,232.59,138.47,172.15,83.30
46,Joypurhat,39.00,16.00,40.98,18.04,43.12,19.51
47,Naogaon,166.00,67.00,186.56,77.62,188.54,80.62
48,Natore,2473.00,1063.00,2450.25,1069.95,2398.00,1037.00
49,Chapai Nawabganj,566.00,189.00,587.00,204.66,461.28,197.36
50,Pabna,2103.00,942.00,1985.40,908.55,1984.60,1835.25
51,Rajshahi,463.00,263.00,434.96,252.99,411.86,250.68
52,Sirajganj,345.00,95.00,295.20,91.91,281.84,97.66
Rajshahi Division,None,6393.00,2761.00,6212.94,2762.19,5941.39,3601.38
53,Dinajpur,304.00,116.00,309.20,113.96,320.00,134.00
54,Gaibandha,366.75,165.86,369.25,167.82,367.00,162.00
55,Kurigram,330.70,140.81,339.65,150.38,338.00,154.00
56,Lalmonirhat,215.75,71.69,214.75,74.75,219.00,91.00
57,Nilphamari,190.29,90.18,190.36,85.45,190.00,93.00
58,Panchagar,294.00,89.51,248.00,77.70,232.00,73.00
59,Rangpur,678.00,263.00,678.00,267.00,687.00,282.00
60,Tahkurgaon,214.90,59.65,213.40,55.27,210.00,82.00
Rangpur Division,None,2594.39,996.70,2562.61,992.33,2563.00,1071.00
61,Habigonj,161.98,46.54,200.39,71.46,203.31,79.05
62,Moulvibazar,321.50,112.17,327.36,115.20,331.31,117.93
63,Sunamganj,409.00,153.00,413.00,163.00,412.00,162.00
64,Sylhet,803.50,411.57,776.00,388.00,746.00,420.86
Sylhet Division,None,1695.98,723.28,1716.75,737.66,1692.62,779.84
BANGLADESH,None,50956.97,22249.89,50760.16,22229.39,49836.30,23505.85
