District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,120.00,1515.00,118.00,375.00,114.00,327.00
2,Barishal,1280.00,6730.00,1174.00,4265.00,1023.00,4057.00
3,Bhola,963.00,7351.00,981.00,6880.00,967.00,7174.00
4,Jhallokati,296.00,3189.00,304.00,3240.00,305.00,3243.00
5,Patuakhali,73.00,320.00,71.00,302.00,70.00,298.00
6,Pirojpur,336.00,2361.00,327.00,2301.00,328.00,2305.00
Barishal Division,None,3068.00,21466.00,2975.00,17363.00,2807.00,17404.00
7,Bandarban,219.00,904.70,220.80,912.76,221.10,914.26
8,Brahmanbaria,44.00,196.59,44.00,263.83,42.00,250.05
9,Chandpur,1398.55,15363.57,1399.44,15395.39,1337.02,13149.96
10,Chattogram,1855.86,16782.03,1846.44,16859.19,1847.59,17602.29
11,Cumilla,882.00,5449.00,907.90,5524.19,908.95,5523.27
12,Cox’s Bazar,492.91,2943.13,493.90,2967.56,477.72,2980.67
13,Feni,210.20,2631.93,210.50,3500.30,186.50,2603.00
14,Khagrachari,647.65,5845.93,651.20,5899.46,654.43,5933.46
15,Lakshmipur,323.40,3957.00,319.10,4318.20,321.00,4331.53
16,Noakhali,212.13,2316.86,217.41,2359.91,218.37,2393.97
17,Rangamati,525.30,7535.15,518.12,7356.67,513.62,7214.72
Chattogram Division,None,6811.00,63925.89,6828.81,65357.46,6728.30,62897.18
18,Dhaka,135.13,1250.07,124.23,1155.37,121.23,1132.39
19,Faridpur,6273.00,89497.33,5954.14,89084.00,6007.30,89268.20
20,Gazipur,2962.90,25390.74,2884.41,24771.40,2792.73,23901.09
21,Gopalganj,652.40,9482.04,625.30,9078.09,618.40,8923.24
22,Kishoreganj,47.47,509.23,48.60,509.19,48.38,513.90
23,Madaripur,1033.40,19359.42,1009.00,18519.70,1020.43,18096.31
24,Manikganj,3798.13,76072.10,3460.05,69211.87,3047.00,60552.55
25,Munshiganj,487.60,6266.35,501.95,6265.55,494.50,6199.85
26,Narayanganj,119.55,634.80,121.88,647.58,121.56,640.59
27,Narsingdi,137.86,1631.15,198.50,2514.03,147.91,1744.99
28,Rajbari,2632.00,47600.00,2415.00,41763.00,2339.00,39484.00
29,Shariatpur,1034.00,14965.00,1018.00,14754.00,920.00,15114.00
30,Tangail,2869.25,48887.92,2857.71,48737.90,2830.49,48670.91
Dhaka Division,None,22182.69,341546.15,21218.77,327011.68,20508.93,314242.02
31,Bagerhat,582.00,6022.00,585.00,6214.47,597.50,6323.65
32,Chuadanga,4800.00,109175.00,4796.50,117972.70,4783.00,121352.76
33,Jashore,882.00,16417.00,826.00,15270.37,824.54,15461.66
34,Jhenaidah,2448.00,54215.00,2515.00,58806.30,2677.00,61389.30
35,Khulna,88.00,1130.00,91.75,1210.00,90.75,1216.15
36,Kushtia,8428.00,164507.00,7901.00,159414.00,7080.00,163142.00
37,Magura,243.00,3140.00,244.30,3279.43,249.82,3402.37
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,714.00,14227.00,428.00,8953.68,381.00,8024.11
39,Narail,1705.00,26860.00,1728.00,27231.64,1737.00,27379.05
40,Satkhira,278.00,5648.00,285.21,5852.13,275.89,5656.24
Khulna Division,None,20168.00,401341.00,19400.76,404204.72,18696.50,413347.29
41,Jamalpur,10187.00,213308.00,9913.00,204309.00,9764.00,202790.00
42,Mymensingh,5176.00,80881.00,5181.00,80888.00,5197.00,81063.00
43,Netrokona,47.00,607.00,57.00,878.00,60.00,926.00
44,Sherpur,241.00,5215.00,231.00,5059.00,230.00,5034.00
Mymensingh Division,None,15651.00,300011.00,15382.00,291134.00,15251.00,289813.00
45,Bogura,283.83,6404.65,268.28,5650.26,238.28,4869.34
46,Joypurhat,2223.13,44076.50,2236.40,44887.12,2233.56,45310.25
47,Naogaon,818.50,16758.35,657.97,13794.87,581.73,12320.60
48,Natore,52293.70,965173.35,51405.30,928965.37,51506.13,932006.42
49,Chapai Nawabganj,3413.00,59031.61,3526.00,60219.37,3550.02,61042.43
50,Pabna,7951.00,151338.00,7905.00,150627.00,7675.00,149044.08
51,Rajshahi,13565.35,251000.62,12755.00,226012.39,12271.34,218312.99
52,Sirajganj,2188.46,38557.88,2083.70,37356.51,1287.97,22614.91
Rajshahi Division,None,82736.97,1532340.96,80837.65,1467512.89,79344.03,1445521.02
53,Dinajpur,3662.00,49805.00,3520.50,47474.23,2521.00,39161.00
54,Gaibandha,5454.00,115951.00,5407.19,115120.00,5360.00,114079.00
55,Kurigram,699.60,9809.21,634.70,8518.08,630.00,8967.00
56,Lalmonirhat,290.50,3843.82,293.40,3856.06,295.40,4005.00
57,Nilphamari,285.70,6022.89,278.10,5760.12,278.00,4914.96
58,Panchagar,3614.00,40736.50,1619.00,17417.90,1342.00,14320.00
59,Rangpur,959.00,20914.00,964.00,21089.00,946.00,20647.00
