District/ Division,None,"Area Under Garden
(acre)",None,None,"Production of Inside
Garden (M. Tons)",None,None,"Production of Outside
Garden (M. Tons)",None,None,"Total Production of
Inside & Outside Garden
(M. Tons)",None,None
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,2215.35,2002.10,1999.00,0.00,0.00,0.00,834.00,780.00,737.00,834.00,780.00,737.00
2,Barishal,822.18,519.98,519.68,0.00,0.00,0.00,1978.00,730.00,729.00,1978.00,730.00,729.00
3,Bhola,283.10,473.02,470.50,0.00,0.00,0.00,1139.00,957.08,1002.00,1139.00,957.08,"1002.0
0"
4,Jhallokati,414.52,426.12,417.84,0.00,0.00,0.00,799.00,809.00,773.00,799.00,809.00,773.00
5,Patuakhali,750.97,964.62,964.45,0.00,0.00,0.00,568.60,584.87,490.00,568.60,584.87,490.00
6,Pirojpur,"21692.4
0",679.50,679.50,0.00,0.00,0.00,2359.00,2357.80,2348.00,2359.00,"2357.8
0","2348.0
0"
Barishal Division,,"26178.5
2",5065.34,5050.97,0.00,0.00,0.00,7677.60,6218.75,6079.00,7677.60,"6218.7
5","6079.0
0"
7,Bandarban,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,Brahmanbaria,41.24,41.07,35.00,0.00,0.00,0.00,109.95,104.17,67.00,109.95,104.17,67.00
9,Chandpur,237.59,163.55,145.00,0.00,0.00,0.00,3960.53,3343.38,3039.00,3960.53,"3343.3
8","3039.0
0"
10,Chattogram,263.30,263.90,261.70,0.00,0.00,0.00,2861.97,3630.49,3472.50,2861.97,"3630.4
9","3472.5
0"
11,Cumilla,399.61,392.49,548.00,415.00,11.24,24.00,96.00,456.14,960.50,511.00,467.38,984.50
12,Cox’s Bazar,8.40,2.97,3.10,0.00,0.00,0.00,312.10,316.60,316.60,312.10,316.60,324.50
13,Feni,1049.58,1050.24,1044.60,50.00,1.98,1.98,1050.17,1098.36,1221.00,1100.17,110.34,"1221.0
0"
14,Khagrachari,91.64,92.01,91.80,0.00,0.00,0.00,360.56,364.87,374.60,360.56,364.87,374.60
15,Lakshmipur,222.14,170.00,170.00,1000.00,31.59,31.84,920.12,1835.28,1794.16,1920.12,"1866.8
7","1826.0
0"
16,Noakhali,149.94,145.66,138.60,0.00,0.00,0.00,1226.91,1198.94,1153.90,1226.91,"1198.9
4","1153.9
0"
17,Rangamati,233.67,233.37,233.40,0.00,0.00,0.00,279.70,248.54,248.30,279.70,248.54,248.30
Chattogram Division,,2697.11,2555.26,2671.20,1465.00,44.81,57.82,11178.01,"12596.7
7","12647.5
6","12643.0
1","12641.
58","12705.
38"
18,Dhaka,10.70,21.43,21.28,0.00,0.00,0.00,235.34,207.99,208.96,235.34,207.99,208.96
19,Faridpur,469.00,462.00,438.00,372.85,369.55,179.46,3643.47,3629.45,3288.56,4016.32,"3999.0
0","3468.0
4"
20,Gazipur,156.00,158.00,159.00,68.96,67.40,0.00,1240.03,1240.60,1312.00,1308.99,"1308.0
0","1312.0
0"
21,Gopalganj,256.00,253.96,237.16,0.00,0.00,0.00,2826.44,2604.70,2340.74,2826.44,"2604.7
0","2340.7
4"
22,Kishoreganj,20.38,19.40,19.18,0.00,0.00,0.00,63.07,67.12,64.15,63.07,67.12,64.15
23,Madaripur,539.25,548.26,519.79,0.00,0.00,0.00,5345.52,4869.22,4174.33,5345.52,4869.22,4174.33
24,Manikganj,221.38,221.17,253.00,99.97,94.32,65.81,2672.97,2522.68,2253.19,2772.94,2617.00,2319.00
25,Munshiganj,26.59,9.89,26.35,0.00,0.00,0.00,275.66,266.22,297.21,275.66,266.22,297.21
26,Narayanganj,13.52,11.54,11.45,0.00,0.00,0.00,258.86,174.74,168.52,258.86,174.74,168.52
27,Narsingdi,19.73,19.12,19.25,0.00,0.00,0.00,242.49,277.46,279.49,242.49,277.46,279.49
28,Rajbari,97.08,98.67,89.03,0.00,0.00,0.00,28.30,3089.17,3087.50,28.30,3089.17,3087.50
29,Shariatpur,159.40,145.25,138.60,25.34,28.51,10.74,603.76,688.69,655.33,629.10,717.20,666.07
30,Tangail,80.24,87.18,93.38,0.00,0.00,0.00,1219.49,1116.51,1242.30,1219.49,1116.51,1242.30
Dhaka Division,,2069.27,2055.87,2025.47,567.12,559.78,256.01,18655.40,20754.55,19372.28,19222.52,21314.33,19628.29
31,Bagerhat,239.63,350.91,344.73,173.25,178.42,137.80,1917.91,1933.19,1627.23,2091.16,2111.61,1765.03
32,Chuadanga,255.98,254.89,254.39,2121.38,2006.70,1865.39,3520.23,3377.28,3416.14,5641.61,5383.98,5281.53
33,Jashore,792.50,782.00,778.57,5500.94,5954.30,5966.87,7280.20,6752.70,6785.73,12781.14,12707.00,12752.60
34,Jhenaidah,392.15,399.34,398.41,1648.20,1673.90,1666.98,7914.56,7894.74,7839.57,9562.76,9568.64,9506.55
35,Khulna,584.59,583.82,536.54,154.45,153.05,152.22,1919.14,1873.38,1745.90,2073.59,2026.43,1898.12
36,Kushtia,169.00,157.00,175.00,227.18,162.18,0.00,3306.82,3361.82,2971.00,3534.00,3524.00,2971.00
37,Magura,109.01,113.78,107.71,0.00,0.00,0.00,1500.71,2039.03,1993.62,1500.71,2039.03,1993.62
