District/ Division,None,2021-22,None,2022-23,None,2023-24,None
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0,0,0,0,0,0
2,Barishal,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
Barishal Division,,0,0,0,0,0,0
7,Bandarban,6651,3243,6661.5,3248.04,6666.8,3250.7
8,Brahmanbaria,0,0,0,0,0,0
9,Chandpur,0,0,0,0,0,0
10,Chattogram,19.16,7.19,278.89,11.15,17.93,8.37
11,Cumilla,0,0,0,0,0,0
12,Cox’s Bazar,388,423,18.12,4.96,396.52,489.89
13,Feni,0,0,0,0,0,0
14,Khagrachari,2083,2043,2039,1970,1951,1851
15,Lakshmipur,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0
17,Rangamati,1277.68,877.6,1251.26,849.71,1221.65,836.98
Chattogram Division,,10418.84,6593.79,10357.94,6542.54,10253.9,6436.94
18,Dhaka,0,0,0,0,0,0
19,Faridpur,92.25,74.25,37,34,135.5,116.22
20,Gazipur,0,0,0,0,0,0
21,Gopalganj,0,0,0,0,0,0
22,Kishoreganj,0,0,0,0,0,0
23,Madaripur,0,0,0,0,0,0
24,Manikganj,5433,4568.57,5031.21,4160.13,4724.6,3990.58
25,Munshiganj,4.43,2.87,4.44,2.87,4.55,2.96
26,Narayanganj,0,0,0,0,0,0
27,Narsingdi,0,0,0,0,0,0
28,Rajbari,95,95,104.1,99.97,111.85,105.32
29,Shariatpur,0,0,0,0,0,0
30,Tangail,311,163.75,194.5,96.14,169,85.53
Dhaka Division,,5935.68,4904.44,5371.25,4393.11,5145.5,4300.61
31,Bagerhat,0,0,0,0,0,0
32,Chuadanga,2387,2476.38,2324,2567.5,2277,2718.75
33,Jashore,0,0,0,0,0,0
34,Jhenaidah,4018,3421.2,3706,3111.31,3240,2653.02
