District/ Division,None,"Area Under Garden
(acre)",None,None,"Production of Inside
Garden (M.Tons)",None,None,"Production of Outside
Garden (M.Tons)",None,None,"Total Production of Inside &
Outside Garden (M. Tons)",None,None
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,4196.70,1370.58,1845.10,784.83,794.53,856.63,523.17,528.47,839.87,1308,1323,1696.50
2,Barishal,6349,2219.24,4518.00,1495.87,1316.55,1623.18,1334.13,1510.45,2004.82,2830,2827,3628.00
3,Bhola,5307.15,10755.78,5058.91,12546.03,"12547.7
5","13096.3
8",1888.57,1886.25,1946.12,14434.6,14434,15042.50
4,Jhallokati,1901.23,2094.15,1913.00,1115.74,1168.2,1171.97,1373.26,1434.8,1444.03,2489,2603,2616.00
5,Patuakhali,2760,1459.79,2759.96,1406.29,1370.12,1536.82,1546.67,1452.88,1907.13,2952.96,2823,3443.95
6,Pirojpur,6831.92,6385.48,6831.92,3761.58,3761.58,3770.57,2519.42,2524.42,2539.43,6281,6286,6310.00
Barishal Division,,27346.00,24285.02,23926.89,21110.34,20958.73,22055.55,9185.22,9337.27,10681.10,30295.56,30296,32736.65
7,Bandarban,134,134.00,134.05,80.74,80.96,84.66,132.26,133.04,129.66,213,214,214.32
8,Brahmanbaria,474,275.00,275.60,10.35,10.35,9.78,1141.65,1147.65,1122.35,1152,1158,1132.13
9,Chandpur,606,669.00,699.01,1363.43,2207.72,2057.60,384.57,21535.28,21540.00,1748,23743,23597.60
10,Chattogram,1013,1602.00,1624.04,4781.38,4872.54,4749.21,4990.62,4798.46,5089.85,9772,9671,9839.06
11,Cumilla,345,345.00,368.52,768.2,768.2,820.058,1042.8,1042.8,1141.68,1811,1811,1961.73
12,Cox’s Bazar,9788,9792.00,9798.21,51100.61,"50869.3
5","51731.5
9",8145.39,8423.65,7761.60,59246,59293,59493.19
13,Feni,3290,3275.00,3267.80,307.59,461.44,52.72,1713.41,2696.56,2099.84,2021,3158,3174.00
14,Khagrachari,419,415.00,418.78,50.4,53.17,464.52,295.6,288.83,2709.48,346,342,352.56
15,Lakshmipur,15917,17195.00,"17194.2
5","121322.2
8","97171.0
9","113695.
45",5127.72,"16759.9
1",3095.39,126450,113931,"116790.8
4"
16,Noakhali,1722,1731.00,1741.32,514.92,523.62,535.73,4110.08,3737.38,3734.12,4625,4261,4269.85
17,Rangamati,307,307.00,305.47,231.37,231.76,229.34,412.63,417.24,455.51,644,649,684.85
Chattogram Division,,34015,35740.00,35827.05,180531.27,157250.2,174430.65,27496.73,60980.8,49479.48,208028,218231,221510.13
18,Dhaka,264.77,246.26,242.70,19.05,17.62,17.66,1004.43,907.63,906.46,1023.48,925.25,924.12
19,Faridpur,179,180.00,179.00,172.13,167.99,117.66,654.44,648.31,660.93,826.57,816.3,828.66
20,Gazipur,615,619.50,623.24,281.98,285.65,167.73,1140.02,1166.35,1145.15,1422,1452,1431.00
21,Gopalganj,313.49,597.63,629.52,227.92,275.19,285.61,451.97,550.62,563.80,679.89,825.81,845.41
22,Kishoreganj,534.63,514.85,515.72,138.9,150.83,150.23,1283.99,1298.41,1316.78,1422.89,1449.24,1467.01
23,Madaripur,405,411.61,405.27,68.25,66.61,96.23,560.08,573.56,589.64,628.33,640.17,685.77
