District/ Division,None,"Area Under Garden
(acre)",None,None,"Production of Inside
Garden (M.Tons)",None,None,"Production of Outside
Garden (M.Tons)",None,None,"Total Production of Inside
& Outside Garden (M.
Tons)",None,None
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,685.90,604.28,617.07,0,0.00,0.00,285,301.00,301.86,285,301.00,301.86
2,Barishal,399.00,225.00,230.00,20.45,25.59,25.32,1317.55,1337.41,1367.68,1338,1363.00,1393.00
3,Bhola,330.00,97.34,102.83,18.34,19.15,19.70,451.13,453.87,460.50,469.47,473.02,480.20
4,Jhallokati,473.00,497.00,501.00,45.42,69.05,76.15,311.58,353.95,380.85,357,423.00,457.00
5,Patuakhali,201.94,207.62,207.35,368.44,0.00,0.00,377.37,378.69,385.64,745.81,378.69,385.64
6,Pirojpur,102.30,104.18,103.84,105.81,105.54,105.00,345.79,343.56,341.60,451.6,449.10,446.60
Barishal Division,,2192.14,1735.42,1762.09,558.46,219.33,226.16,3088.42,3168.48,3238.14,3646.88,3387.81,3464.30
7,Bandarban,310.00,312.90,312.90,28.78,45.26,45.83,396.98,387.11,388.86,425.76,432.37,434.69
8,Brahmanbaria,360.93,294.23,298.60,0,0.00,0.00,1281.03,1320.81,1345.18,1281.03,1320.81,1345.18
9,Chandpur,100.96,108.54,113.33,0,0.00,0.00,468.71,549.02,553.03,468.71,549.02,553.03
10,Chattogram,2229.24,458.03,593.23,14.85,13.32,28.29,3659.22,3664.17,3566.05,3674.07,3677.49,3594.34
11,Cumilla,1224.59,1224.00,1306.39,204.93,206.89,220.94,4070.07,4068.11,4128.27,4275,4275.00,4349.21
12,Cox’s Bazar,272.69,273.60,271.77,101.74,102.78,105.61,981.48,992.74,1008.12,1083.22,1095.52,1113.73
13,Feni,267.89,182.32,94.54,0,0.00,0.00,284.79,221.00,237.30,284.79,221.00,237.30
14,Khagrachari,344.00,381.69,393.60,65.45,364.99,426.65,708.8,586.92,586.15,774.25,951.91,1012.80
15,Lakshmipur,243.78,85.72,82.64,36.32,34.86,12.84,87.68,88.63,107.76,124,123.49,120.60
16,Noakhali,274.55,275.38,276.97,0,0.00,0.00,1058.89,1075.35,1099.99,1058.89,1075.35,1099.99
17,Rangamati,510.00,514.59,513.82,532.12,610.56,657.06,1147.58,1142.65,1222.25,1679.7,1753.21,1879.31
Chattogram Division,,6138.63,4111.00,4257.79,984.19,1378.66,1497.20,14145.23,14096.51,14242.96,15129.42,15475.17,15740.17
18,Dhaka,695.60,316.70,336.00,0,0.00,9.21,1481.64,1620.00,1612.02,1481.64,1620.00,1621.24
19,Faridpur,520.60,71.00,71.00,85.86,157.10,198.47,637.14,608.64,641.85,723,765.74,840.32
20,Gazipur,288.00,291.00,298.00,139.79,142.91,149.46,471.21,495.09,508.46,611,638.00,657.92
21,Gopalganj,515.00,147.67,149.01,0,152.76,160.68,502.23,652.66,687.89,502.23,805.42,848.58
22,Kishoreganj,331.23,220.28,30.20,36.24,37.48,37.26,1627.24,1590.52,1693.01,1663.48,1628.00,1730.26
23,Madaripur,408.10,95.57,96.10,31.28,33.18,47.47,1296.84,1221.17,1129.24,1328.12,1254.35,1176.72
24,Manikganj,385.50,264.81,257.20,134.38,139.26,181.12,644.57,656.24,596.20,778.95,795.50,777.33
25,Munshiganj,163.48,54.39,56.14,0,0.00,0.00,295.86,303.41,332.41,295.86,303.41,332.41
26,Narayanganj,149.93,94.05,69.89,10.13,9.69,9.63,308.93,349.88,344.99,319.06,359.57,354.62
27,Narsingdi,386.30,91.48,91.62,140.5,157.01,162.45,596.68,607.23,617.53,737.18,764.24,779.99
28,Rajbari,207.44,51.13,54.37,48.26,54.14,88.98,256.66,381.59,322.94,304.92,435.73,411.92
29,Shariatpur,1216.27,171.70,176.89,0,0.00,41.47,1421,1368.70,1204.50,1421,1368.70,1245.97
30,Tangail,1390.00,403.00,367.38,1154.43,1179.99,1118.27,1783.57,1375.01,1736.15,2938,2555.00,2854.42
Dhaka Division,,6657.45,2272.78,2053.80,1780.87,2063.52,2204.48,11323.57,11230.14,11427.21,13104.44,13293.66,13631.69
31,Bagerhat,726.15,162.39,4045.49,214.74,102.26,120.09,884.26,1000.37,988.45,1099,1102.63,1108.53
32,Chuadanga,744.67,93.14,95.00,1670.92,1645.59,1579.68,266.08,259.90,252.22,1937,1905.49,1831.90
33,Jashore,1183.08,250.24,246.23,2025.02,2259.95,2288.56,953.98,1035.73,1033.44,2979,3295.68,3322.00
34,Jhenaidah,756.77,239.47,243.74,1359.42,1424.08,1466.10,664.58,683.26,710.30,2024,2107.34,2176.40
35,Khulna,590.63,232.58,238.25,191.14,196.98,228.67,743.86,750.12,797.78,935,947.10,1026.45
36,Kushtia,1545.83,431.00,377.00,1139.68,1179.09,1244.63,"1942.3
2",1929.91,2391.37,3082,3109.00,3636.00
37,Magura,1310.00,158.00,157.00,208.5,269.29,417.26,1210.5,1360.43,1262.74,1419,1629.72,1680.00
38,Meherpur,321.52,101.07,106.05,460.33,449.61,447.87,156.67,153.94,150.20,617,603.55,598.07
39,Narail,620.45,438.00,440.00,651.1,637.19,647.63,906.8,623.81,615.37,1557.9,1261.00,1263.00
40,Satkhira,870.96,612.18,614.10,824.57,848.73,1120.02,1266.43,1307.60,1128.03,2091,2156.33,2248.05
Khulna Division,,8670.06,2718.07,6562.86,8745.42,9012.77,9560.51,8995.48,9105.07,9329.89,17740.9,18117.84,18890.40
41,Jamalpur,960.00,543.00,548.00,10.75,10.56,10.56,2513.25,2630.44,2657.44,2524,2641.00,2668.00
