District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,260.00,879.00,410.00,1430.00,419.00,1478.00
2,Barishal,246.00,1017.00,255.00,1050.00,242.00,980.00
3,Bhola,759.00,2792.00,729.00,2971.00,751.00,2967.00
4,Jhallokati,113.00,353.00,100.00,340.00,94.00,343.00
5,Patuakhali,332.00,482.60,337.00,493.50,336.00,486.00
6,Pirojpur,249.00,1255.00,249.00,1269.00,268.00,1361.00
Barishal Division,None,1959.00,6778.60,2080.00,7553.50,2110.00,7615.00
7,Bandarban,62.20,181.60,59.40,173.34,59.60,173.95
8,Brahmanbaria,99.00,492.27,102.00,506.82,100.00,505.86
9,Chandpur,186.22,996.31,187.64,1039.71,184.09,1042.19
10,Chattogram,575.07,3261.63,562.60,2097.16,535.57,2091.92
11,Cumilla,557.00,3613.00,560.10,3619.30,563.22,3623.03
12,Cox’s Bazar,247.32,1321.71,245.40,1318.00,241.17,1322.78
13,Feni,14.52,34.45,14.50,44.00,14.98,57.60
14,Khagrachari,51.10,137.32,48.50,127.95,46.60,121.45
15,Lakshmipur,117.60,489.96,124.50,521.60,126.00,528.63
16,Noakhali,70.00,395.00,75.50,412.88,78.00,416.60
17,Rangamati,71.28,336.27,69.04,335.78,68.00,336.60
Chattogram Division,None,2051.31,11259.52,2049.18,10196.54,2017.23,10220.61
18,Dhaka,22.00,70.70,26.00,84.24,29.00,94.11
19,Faridpur,693.00,3953.17,696.34,3959.92,694.40,3869.85
20,Gazipur,26.44,74.76,27.57,80.00,27.71,78.11
21,Gopalganj,359.48,4256.48,366.70,4338.07,315.30,3613.84
22,Kishoreganj,25.20,78.52,26.38,83.79,27.00,86.72
23,Madaripur,243.99,1266.49,224.00,1142.20,211.50,1077.68
24,Manikganj,189.33,537.52,194.60,563.83,204.40,616.54
25,Munshiganj,142.75,751.47,135.20,764.81,134.19,736.30
26,Narayanganj,65.50,374.11,63.00,353.82,58.20,327.60
27,Narsingdi,83.21,428.58,87.90,459.00,87.41,457.55
28,Rajbari,382.00,1971.00,377.00,1957.30,380.50,1920.70
29,Shariatpur,202.00,575.00,216.00,526.00,217.70,636.00
30,Tangail,101.67,269.43,104.72,277.92,102.59,273.41
Dhaka Division,None,2536.57,14607.23,2545.41,14590.90,2489.90,13788.41
31,Bagerhat,215.00,925.69,212.50,917.24,215.00,935.17
32,Chuadanga,115.20,589.80,108.90,570.32,36.21,199.95
33,Jashore,171.00,563.80,162.69,549.95,161.50,545.53
34,Jhenaidah,109.50,337.69,118.00,365.87,121.00,377.18
35,Khulna,112.08,451.46,112.86,451.05,122.93,467.93
36,Kushtia,113.00,437.00,94.00,759.00,85.00,682.00
37,Magura,43.81,148.57,47.84,225.32,47.72,228.05
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,15.00,78.00,13.00,63.70,4.00,20.40
39,Narail,128.50,441.76,135.50,462.28,138.00,469.13
40,Satkhira,0.00,0.00,0.00,0.00,0.00,0.00
Khulna Division,None,1023.09,3973.77,1005.29,4364.73,931.36,3925.34
41,Jamalpur,96.00,277.00,104.00,301.00,105.00,307.00
42,Mymensingh,62.00,225.00,64.00,231.00,62.00,225.00
43,Netrokona,52.00,168.00,50.00,162.00,51.00,164.00
44,Sherpur,76.00,293.00,82.00,359.00,83.00,361.00
Mymensingh Division,None,286.00,963.00,300.00,1053.00,301.00,1057.00
45,Bogura,69.14,221.27,59.93,193.19,63.98,197.28
46,Joypurhat,35.42,157.99,34.04,148.01,33.47,147.25
47,Naogaon,75.02,374.07,70.24,356.40,60.51,310.96
48,Natore,1191.94,7194.03,1198.77,7381.94,1242.99,7986.59
49,Chapai Nawabganj,21.79,111.76,18.82,97.53,12.91,70.82
50,Pabna,511.75,2248.30,523.00,3040.00,523.00,3129.61
51,Rajshahi,15.56,62.66,16.16,64.38,15.33,62.27
52,Sirajganj,138.25,652.82,151.64,713.68,150.21,710.04
Rajshahi Division,None,2058.87,11022.90,2072.60,11995.13,2102.40,12614.82
53,Dinajpur,80.00,254.00,82.00,262.00,86.00,358.00
54,Gaibandha,60.00,162.42,66.00,187.90,69.00,195.00
55,Kurigram,48.75,89.46,51.50,97.71,49.00,174.00
56,Lalmonirhat,0.00,0.00,0.00,0.00,0.00,0.00
57,Nilphamari,6.01,16.53,5.86,16.90,6.00,20.00
58,Panchagar,0.00,0.00,0.00,0.00,0.00,0.00
59,Rangpur,60.00,132.00,61.00,134.00,62.00,214.00
60,Thakurgaon,43.40,134.49,46.50,143.76,45.00,143.00
Rangpur Divison,None,298.16,788.90,312.86,842.27,317.00,1104.00
61,Habiganj,15.00,34.86,21.15,52.66,21.80,64.22
62,Moulvibazar,0.00,0.00,0.00,0.00,0.00,0.00
63,Sunamganj,8.00,63.00,11.00,86.00,10.50,83.00
64,Sylhet,28.00,81.00,25.00,78.00,24.00,72.00
Sylhet Division,None,51.00,178.86,57.15,216.66,56.30,219.22
BANGLADESH,None,10264.00,49572.78,10422.49,50812.73,10325.19,50544.40
