District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden (M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,276.20,262.36,206.77,0.00,0.00,0.00,136.00,131.23,92.03,136.00,131.23,92.03
2,Barishal,281.00,104.00,100.24,0.00,0.00,0.00,245.00,240.00,286.00,245.00,240.00,286.00
3,Bhola,21.09,62.68,54.62,0.00,0.00,0.00,183.90,181.96,281.00,183.90,181.96,281.00
4,Jhallokati,92.08,73.93,72.00,0.00,0.00,0.00,79.00,64.00,61.00,79.00,64.00,61.00
5,Patuakhali,356.10,356.03,330.63,0.00,0.00,0.00,176.38,175.56,172.00,176.38,175.56,172.00
6,Pirojpur,80.93,75.77,76.15,0.00,0.00,0.00,175.25,174.40,174.18,175.25,174.40,174.18
Barishal Division,None,1107.40,934.77,840.41,0.00,0.00,0.00,995.53,967.15,1066.21,995.53,967.15,1066.21
7,Bandarban,757.05,757.35,757.35,49.98,51.38,51.73,729.69,732.57,734.66,779.67,783.95,786.39
8,Brahmanbaria,630.04,131.19,132.46,0.00,0.00,0.00,110.85,140.94,148.26,110.85,140.94,148.26
9,Chandpur,35.25,39.69,31.97,0.00,0.00,0.00,130.78,152.53,132.35,130.78,152.53,132.35
10,Chattogram,25.73,25.76,25.86,0.00,0.00,0.00,170.68,175.38,178.24,170.68,175.38,178.24
11,Cumilla,312.26,314.39,315.81,9.15,0.00,0.00,130.83,146.63,146.26,139.98,146.63,146.26
12,Cox’s Bazar,22.00,25.43,35.05,0.00,32.16,0.00,163.23,674.89,183.24,163.23,169.14,183.24
13,Feni,79.50,79.65,20.54,0.00,0.00,0.00,21.60,21.60,23.80,21.60,21.60,23.80
14,Khagrachari,116.32,119.12,128.87,0.00,0.00,0.00,268.83,273.95,293.13,268.83,273.95,293.13
15,Lakshmipur,24.82,30.07,30.45,0.00,0.00,0.00,115.17,112.86,125.19,115.17,112.86,125.19
16,Noakhali,24.88,25.91,26.62,0.00,0.00,0.00,90.82,95.52,99.86,90.82,95.52,99.86
17,Rangamati,523.09,522.88,522.23,22.85,23.47,0.00,389.92,390.39,401.43,412.77,413.86,401.43
Chattogram Division,None,2550.94,2071.44,2027.22,81.98,107.01,51.73,2322.40,2917.26,2466.42,2404.38,3024.27,2518.16
18,Dhaka,19.87,20.68,21.66,0.00,0.00,0.00,192.34,167.29,159.28,192.34,167.29,159.28
19,Faridpur,156.50,153.60,155.70,0.00,0.00,0.00,224.62,239.35,218.00,224.62,239.35,218.00
20,Gazipur,51.00,54.00,54.00,0.00,0.00,0.00,137.00,138.20,140.00,137.00,138.20,140.00
21,Gopalganj,99.78,99.27,96.62,0.00,0.00,0.00,206.44,240.27,201.23,206.44,240.27,201.23
22,Kishoreganj,37.75,34.13,38.29,0.00,0.00,0.00,120.33,119.74,124.27,120.33,119.74,124.27
23,Madaripur,31.42,31.29,33.23,0.00,0.00,0.00,248.28,227.20,214.76,248.28,227.20,214.76
24,Manikganj,18.49,20.76,21.66,0.00,0.00,0.00,64.90,71.52,76.27,64.90,71.52,76.27
25,Munshiganj,10.09,11.02,12.41,0.00,0.00,0.00,48.09,48.74,60.18,48.09,48.74,60.18
26,Narayanganj,11.80,11.83,11.50,0.00,0.00,0.00,94.76,93.89,87.24,94.76,93.89,87.24
27,Narsingdi,23.49,24.46,24.35,0.00,0.00,0.00,182.49,110.30,108.78,182.49,110.30,108.78
28,Rajbari,23.53,19.61,19.81,0.00,0.00,0.00,163.00,143.49,144.17,163.00,143.49,144.17
29,Shariatpur,29.80,31.03,27.80,0.00,0.00,0.00,125.10,119.90,112.30,125.10,119.90,112.30
30,Tangail,23.83,23.88,24.30,0.00,0.00,0.00,126.90,126.94,129.49,126.90,126.94,129.49
Dhaka Division,None,537.35,535.56,541.33,0.00,0.00,0.00,1934.25,1846.83,1775.97,1934.25,1846.83,1775.97
31,Bagerhat,54.49,68.64,82.83,0.00,5.98,0.00,181.23,139.29,147.40,181.23,145.27,147.40
32,Chuadanga,7.53,7.40,7.55,0.00,0.00,0.00,55.75,54.76,59.90,55.75,54.76,59.90
33,Jashore,69.34,70.75,65.70,0.00,0.00,0.00,358.66,364.00,396.00,358.66,364.00,396.00
34,Jhenaidah,30.99,32.07,34.35,0.00,0.00,0.00,181.92,204.97,212.22,181.92,204.97,212.22
35,Khulna,107.64,101.53,100.09,0.00,0.00,0.00,253.80,256.77,258.70,253.80,256.77,258.70
36,Kushtia,60.00,60.00,79.00,0.00,0.00,0.00,413.00,405.00,373.00,413.00,405.00,373.00
37,Magura,20.94,20.01,20.00,0.00,0.00,0.00,79.70,94.42,94.00,79.70,94.42,94.00
38,Meherpur,25.41,25.30,26.81,0.00,0.00,0.00,34.53,34.20,20.04,34.53,34.20,20.04
39,Narail,105.66,304.00,89.00,0.00,0.00,0.00,94.83,93.00,91.00,94.83,93.00,91.00
40,Satkhira,591.21,593.00,616.41,0.00,0.00,0.00,290.19,303.42,297.79,290.19,303.42,297.79
Khulna Division,None,1073.21,1282.70,1121.73,0.00,5.98,0.00,1943.61,1949.83,1950.05,1943.61,1955.81,1950.05
41,Jamalpur,67.00,68.00,71.00,0.00,0.00,0.00,132.00,138.00,144.00,132.00,138.00,144.00
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
42,Mymensingh,202.00,207.00,215.00,0.00,0.00,0.00,400.00,402.00,416.00,400.00,402.00,416.00
43,Netrokona,30.00,29.00,31.00,0.00,0.00,0.00,111.00,106.00,109.00,111.00,106.00,109.00
44,Sherpur,60.00,60.00,59.00,0.00,0.00,0.00,339.00,338.00,336.00,339.00,338.00,336.00
Mymensingh Division,None,359.00,364.00,376.00,0.00,0.00,0.00,982.00,984.00,1005.00,982.00,984.00,1005.00
45,Bogura,92.00,92.00,91.33,0.00,0.00,0.00,298.00,333.00,309.31,298.00,333.00,309.31
46,Joypurhat,16.00,16.00,16.08,0.00,0.00,0.00,86.00,78.00,81.43,86.00,78.00,81.43
47,Naogaon,32.00,36.00,41.80,0.00,0.00,0.00,182.00,209.00,185.51,182.00,209.00,185.51
48,Natore,31.00,38.00,40.21,0.00,0.00,0.00,184.00,174.00,176.21,184.00,174.00,176.21
49,Chapai Nawabganj,14.00,16.00,16.52,0.00,0.00,0.00,25.00,27.00,29.72,25.00,27.00,29.72
50,Pabna,279.00,220.00,212.34,0.00,0.00,0.00,358.00,377.00,413.88,358.00,377.00,413.88
51,Rajshahi,67.00,68.00,62.30,0.00,0.00,0.00,151.00,153.00,148.31,151.00,153.00,148.31
52,Sirajganj,9.00,8.00,10.32,0.00,0.00,0.00,134.00,129.00,94.91,134.00,129.00,94.91
Rajshahi Division,None,540.00,494.00,490.91,0.00,0.00,0.00,1418.00,1480.00,1439.27,1418.00,1480.00,1439.27
53,Dinajpur,18.00,19.00,20.00,0.00,0.00,0.00,58.00,59.00,58.00,58.00,59.00,58.00
54,Gaibandha,11.96,12.05,12.55,2.86,2.88,0.00,26.07,25.54,30.00,28.93,28.42,30.00
55,Kurigram,11.77,11.56,12.00,0.00,0.00,0.00,32.77,32.73,33.00,32.77,32.73,33.00
56,Lalmonirhat,9.70,9.95,10.43,0.00,0.00,0.00,35.27,35.35,35.88,35.27,35.35,35.88
57,Nilphamari,6.53,6.87,7.87,0.00,0.00,0.00,33.84,32.33,33.98,33.84,32.33,33.98
58,Panchagar,10.61,10.55,11.00,0.00,0.00,0.00,29.78,28.94,30.00,29.78,28.94,30.00
59,Rangpur,19.77,20.02,20.23,0.00,0.00,0.00,119.30,127.90,132.50,119.30,127.90,132.50
60,Thakurgaon,5.22,5.22,5.41,0.00,0.00,0.00,46.93,48.83,50.58,46.93,48.83,50.58
Rangpur Divison,None,93.56,95.22,99.49,2.86,2.88,0.00,381.96,390.62,403.94,384.82,393.50,403.94
61,Habiganj,30.07,19.04,27.68,0.00,0.00,0.00,17.70,19.16,21.40,17.70,19.16,21.40
62,Moulvibazar,64.60,54.55,53.48,0.00,0.00,0.00,134.36,138.56,148.20,134.36,138.56,148.20
63,Sunamganj,6.00,6.00,6.10,0.00,0.00,0.00,12.00,13.00,13.00,12.00,13.00,13.00
64,Sylhet,14.90,14.78,13.80,0.00,0.00,0.00,12.14,22.00,27.00,12.14,22.00,27.00
Sylhet Division,None,115.57,94.37,101.06,0.00,0.00,0.00,176.20,192.72,209.60,176.20,192.72,209.60
BANGLADESH,None,6377.03,5872.06,5598.16,84.84,115.87,51.73,10153.95,10728.41,10316.47,10238.79,10844.28,10368.20
