District/ Division,None,2021-22,None,2022-23,None,2023-24,None
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,131,617,277.00,1020.00,281.00,716.00
2,Barishal,510,1885,1705.00,3656.00,1701.00,3651.00
3,Bhola,279,1080,578.00,2890.00,574.00,2943.00
4,Jhallokati,395,2250,2933.00,10239.00,3087.00,10173.00
5,Patuakhali,472,1699,607.00,2006.48,608.02,1975.13
6,Pirojpur,692,3410,2825.00,13717.00,2822.00,13697.00
Barishal Division,,2479,10941,8925.00,33528.48,9073.02,33155.13
7,Bandarban,776,3751.55,3846.60,18500.00,3847.90,4807.86
8,Brahmanbaria,131.40,377.81,269.73,1069.50,276.20,3943.58
9,Chandpur,235.84,1009.28,1000.16,6570.63,990.46,6453.51
10,Chattogram,481.60,2563.68,2991.68,15026.22,2972.69,5163.82
11,Cumilla,226,1066.62,853.40,3936.96,918.40,4500.54
12,Cox’s Bazar,255.46,1076.25,860.87,3631.46,698.50,4311.00
13,Feni,222.85,602.92,489.81,2388.50,512.00,5019.53
14,Khagrachari,1294.34,5459.11,7371.50,27102.17,7384.07,3668.00
15,Lakshmipur,431,4938.81,3266.00,13734.10,3268.00,4216.00
16,Noakhali,328.93,1290.60,1159.15,3917.86,1125.18,3306.78
17,Rangamati,1040.45,5702.32,9323.60,44015.88,9330.50,44035.17
Chattogram Division,,5423.87,27838.95,31432.50,139893.28,31323.90,89425.79
18,Dhaka,343,1800.17,612.35,4300.16,591.29,3547.74
19,Faridpur,207.10,628.63,220.71,1099.10,229.53,1135.96
20,Gazipur,443.50,2310.52,1591.08,9747.93,1605.14,9851.87
21,Gopalganj,760.50,5221.48,798.40,4621.37,769.55,4845.41
22,Kishoreganj,184.14,2574.09,1559.34,11645.04,1568.34,11870.22
23,Madaripur,164.27,871.50,1577.00,10753.39,1573.80,10730.04
24,Manikganj,433.26,1231.28,606.35,3076.31,605.40,3053.32
25,Munshiganj,156.95,595.75,183.00,934.09,187.24,965.55
26,Narayanganj,127.97,541.42,188.60,969.29,189.19,969.83
27,Narsingdi,99.04,585.66,3573.00,22962.73,3535.49,22227.61
28,Rajbari,1114,11565,1066.00,6554.00,1096.00,6693.10
29,Shariatpur,262,1853,427.00,1693.00,432.00,1734.00
30,Tangail,451.35,2372.53,11159.71,89582.56,11068.96,88998.23
Dhaka Division,,4747.08,32151.03,23562.54,167938.97,23451.93,166622.88
31,Bagerhat,637,1978,2272.00,9448.68,2247.50,9355.03
32,Chuadanga,685,5261,1815.00,18062.68,1830.00,18564.66
33,Jashore,1290,8577,2051.00,11029.00,2071.40,11188.97
34,Jhenaidah,3280,21041,8347.00,51349.20,8387.50,51668.59
35,Khulna,872,4590,1303.87,5162.01,1408.96,6389.47
36,Kushtia,598,6115,3935.00,34780.00,3943.00,57593.00
37,Magura,286,1960,1611.00,17069.00,1548.00,15405.02
