District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden (M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons)16,None_7,None_8
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,72.38,88.82,89.82,0.00,0.00,0.00,74.80,87.23,86.00,74.80,87.23,86.00
2,Barishal,563.28,511.48,230.38,0.00,0.00,0.00,389.00,424.00,424.00,389.00,424.00,424.00
3,Bhola,139.78,140.94,52.82,0.00,0.00,0.00,164.49,178.41,121.00,164.49,178.41,121.00
4,Jhallokati,160.80,154.28,42.06,0.00,0.00,0.00,124.00,122.00,123.00,124.00,122.00,123.00
5,Patuakhali,497.48,497.62,106.34,0.00,0.00,0.00,685.22,685.09,819.00,685.22,685.09,819.00
6,Pirojpur,117.16,119.44,449.98,0.00,0.00,0.00,80.02,79.80,1582.00,80.02,79.80,1582.00
Barishal Division,None,1550.88,1512.58,970.40,0.00,0.00,0.00,1517.53,1576.53,3155.00,1517.53,1576.53,3155.00
7,Bandarban,84.84,91.44,46.44,32.15,32.82,0.00,137.95,160.06,75.00,170.10,192.88,75.00
8,Brahmanbaria,168.36,170.26,170.58,0.00,0.00,129.51,404.20,412.17,749.32,404.20,412.17,878.83
9,Chandpur,248.76,249.98,121.86,0.00,0.00,0.00,314.60,316.37,323.37,314.60,316.37,323.37
10,Chattogram,584.14,522.78,24.98,111.36,174.39,33.58,1344.25,1163.33,160.42,1455.61,1337.72,194.00
11,Cumilla,383.24,384.18,179.34,123.09,123.93,125.04,610.21,617.47,624.76,733.30,741.40,749.80
12,Cox’s Bazar,135.70,136.00,57.36,0.00,0.00,0.00,267.50,269.31,276.80,267.50,269.31,276.80
13,Feni,123.60,124.40,51.32,0.00,0.00,0.00,90.30,142.00,139.10,90.30,142.00,139.10
14,Khagrachari,717.60,717.62,84.88,0.00,0.00,0.00,1407.10,1408.75,250.71,1407.10,1408.75,250.71
15,Lakshmipur,114.64,115.32,240.90,0.00,0.00,271.12,78.10,79.29,2298.95,78.10,79.29,2570.07
16,Noakhali,189.30,182.68,52.60,0.00,0.00,0.00,237.60,244.33,417.23,237.60,244.33,417.23
17,Rangamati,427.80,432.32,274.44,131.44,130.48,0.00,745.01,754.11,1287.32,876.45,884.59,128.32
Chattogram Division,None,3177.98,3126.98,1304.70,398.04,461.62,559.25,5636.82,5567.19,6602.97,6034.86,6028.81,7162.22
18,Dhaka,172.16,186.80,77.58,0.00,0.00,0.00,234.66,244.62,244.69,234.66,244.62,244.69
19,Faridpur,561.60,567.88,263.88,0.00,0.00,0.00,687.20,698.60,683.00,687.20,698.60,244.69
20,Gazipur,361.70,363.60,109.14,0.00,0.00,0.00,755.50,757.30,757.30,755.50,757.30,683.00
21,Gopalganj,361.46,364.66,168.46,20.69,33.33,33.25,417.93,411.92,415.76,438.62,445.25,757.30
22,Kishoreganj,454.26,454.06,162.22,0.00,0.00,0.00,1101.00,1128.00,1128.00,1101.00,1128.00,449.01
23,Madaripur,223.74,217.98,94.94,0.00,0.00,0.00,246.66,262.51,279.68,246.66,262.51,1128.00
24,Manikganj,167.70,168.16,39.34,0.00,0.00,0.00,322.59,325.23,244.36,322.59,325.23,279.68
25,Munshiganj,106.34,107.94,32.44,0.00,0.00,0.00,169.30,177.52,190.39,169.30,177.52,244.36
