District/ Division,None,"Area Under Garden
(acre)",None,None,"Production of Inside
Garden (M.Tons)",None,None,"Production of Outside
Garden (M.Tons)",None,None,"Total Production of Inside
& Outside Garden
(M. Tons)",None,None
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,205.00,205.99,202.39,0.00,0.00,0.00,352.00,354.96,341.82,352.00,354.96,341.82
2,Barishal,475.58,137.00,125.00,0.00,0.00,0.00,1005.00,1012.00,866.00,1005.00,"1012.0
0",866.00
3,Bhola,85.01,61.48,52.04,0.00,0.00,0.00,549.60,574.54,557.60,549.60,574.54,557.60
4,Jhallokati,143.00,120.00,111.00,0.00,0.00,0.00,282.00,247.00,222.00,282.00,247.00,222.00
5,Patuakhali,79.05,242.06,242.06,0.00,0.00,0.00,1013.59,1027.59,"1027.5
9",1013.59,"1027.5
9","1027.5
9"
6,Pirojpur,14.74,103.38,102.82,0.00,0.00,0.00,506.81,508.84,506.06,506.81,508.84,506.06
Barishal Division,,1002.38,869.91,835.31,0.00,0.00,0.00,3709.00,3724.93,"3521.0
7",3709.00,"3724.9
3","3521.0
7"
7,Bandarban,0.00,0.00,20.69,0.00,0.00,0.00,0.00,0.00,56.01,0.00,0.00,56.01
8,Brahmanbaria,42.66,43.72,47.93,0.00,0.00,0.00,97.46,98.46,103.59,97.46,98.46,103.59
9,Chandpur,37.17,37.17,37.17,0.00,0.00,0.00,412.86,412.86,422.86,412.86,412.86,422.86
10,Chattogram,8.10,24.57,25.31,0.00,0.00,0.00,61.05,86.20,87.45,61.05,86.20,87.45
11,Cumilla,116.73,118.89,119.03,0.00,0.00,0.00,301.67,306.06,307.68,301.67,306.06,307.68
12,Cox’s Bazar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,Feni,3.01,3.03,4.44,0.00,0.00,0.00,14.07,26.00,12.80,14.07,26.00,12.80
14,Khagrachari,15.61,112.82,104.77,0.00,0.00,0.00,42.44,237.39,218.81,42.44,237.39,218.81
15,Lakshmipur,58.40,40.16,39.77,0.00,0.00,0.00,0.41,347.53,346.35,0.41,347.53,346.35
16,Noakhali,41.64,42.22,42.56,0.00,0.00,0.00,543.60,558.79,549.30,543.60,558.79,549.30
17,Rangamati,375.70,283.43,282.86,957.81,34.49,32.21,207.30,416.51,392.52,1165.11,451.00,424.73
Chattogram Division,,699.02,706.01,724.53,957.81,34.49,32.21,1680.86,2489.80,"2497.3
7",2638.67,2524.29,"2529.5
8"
18,Dhaka,16.21,27.19,25.35,0.00,0.00,0.00,412.56,425.01,402.08,412.56,425.01,402.08
19,Faridpur,65.00,67.00,68.00,0.00,0.00,0.00,86.54,83.73,88.25,86.54,83.73,88.25
20,Gazipur,22.00,22.00,23.00,0.00,0.00,0.00,127.40,127.10,129.70,127.40,127.10,129.70
21,Gopalganj,60.49,60.10,62.14,0.00,0.00,0.00,307.15,324.59,333.73,307.15,324.59,333.73
22,Kishoreganj,4.11,4.15,7.09,0.00,0.00,0.00,16.93,17.64,17.39,16.93,17.64,17.39
23,Madaripur,24.24,24.14,24.74,0.00,0.00,0.00,374.41,362.82,353.22,374.41,362.82,353.22
24,Manikganj,22.06,14.37,14.34,0.00,0.00,0.00,75.20,90.90,95.19,75.20,90.90,95.19
25,Munshiganj,16.21,16.17,17.04,0.00,0.00,0.00,199.91,152.50,171.71,199.91,152.50,171.71
26,Narayanganj,2.56,2.58,2.53,230.00,7.56,7.56,200.54,21.76,20.58,430.54,29.32,28.14
27,Narsingdi,2.99,3.14,3.18,0.00,0.00,0.00,34.44,35.70,36.15,34.44,35.70,36.15
28,Rajbari,7.60,10.58,12.83,0.00,0.00,0.00,44.50,51.19,65.81,44.50,51.19,65.81
29,Shariatpur,58.25,57.97,54.87,0.00,0.00,0.00,372.12,353.18,341.96,372.12,353.18,341.96
30,Tangail,7.41,8.19,8.74,0.00,0.00,0.00,59.10,66.02,67.42,59.10,66.02,67.42
Dhaka Division,,309.13,317.58,323.85,230.00,7.56,7.56,2310.80,2112.14,"2123.1
9",2540.80,2119.70,"2130.7
5"
31,Bagerhat,36.52,40.77,57.83,0.00,0.00,0.00,394.00,398.61,409.40,394.00,398.61,409.40
32,Chuadanga,1.94,1.99,5.36,0.00,0.00,0.00,4.00,3.91,5.54,4.00,3.91,5.54
33,Jashore,2.82,2.90,3.32,0.00,0.00,0.00,45.00,46.08,48.67,45.00,46.08,48.67
34,Jhenaidah,0.38,0.23,0.23,0.00,0.00,0.00,1.00,0.68,0.70,1.00,0.68,0.70
35,Khulna,18.58,18.60,19.46,0.00,0.00,0.00,106.00,102.87,103.05,106.00,102.87,103.05
36,Kushtia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,Magura,9.47,7.67,7.23,0.00,0.00,0.00,37.00,30.81,30.42,37.00,30.81,30.42
38,Meherpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,Narail,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
